sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-1.057674646,0.257754084,0,True,0.298074667,0.298074667
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,-1.401731968,0.197541418,0,True,0.220075037,0.220075037
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,-0.873405218,0.294546241,0,True,0.348914054,0.348914054
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-0.379505724,0.406246116,0,True,0.521290382,0.521290382
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.980946004,0.272704116,0,True,0.318421891,0.318421891
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,0.151261017,0.537743318,1,False,0.771634953,0.771634953
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,-1.073040962,0.254825208,0,True,0.294136467,0.294136467
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-0.999762058,0.268988206,0,True,0.313325685,0.313325685
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-0.586651146,0.357403605,0,True,0.442238443,0.442238443
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-0.815505326,0.306718587,0,True,0.366319282,0.366319282
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,-0.137614325,0.465650610,0,True,0.626705365,0.626705365
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,0.005367320,0.501341827,1,False,0.695834442,0.695834442
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-0.712956667,0.328945854,0,True,0.398905451,0.398905451
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-0.737111986,0.323635996,0,True,0.391023880,0.391023880
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-0.942412317,0.280413323,0,True,0.329078292,0.329078292
15,it2_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-1.019044042,0.265213651,0,True,0.308175504,0.308175504
16,it2_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-0.314274341,0.422071765,0,True,0.548305579,0.548305579
17,it2_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-1.671241760,0.158258690,0,True,0.172282545,0.172282545
18,it2_B057,perf_fpga_nodbg,0,benign,0,config_057/vfpga_c057_0.bin,-1.642977476,0.162060324,0,True,0.176809167,0.176809167
19,it2_B059,euclidean_nodbg,0,benign,0,config_059/vfpga_c059_0.bin,-1.417254448,0.195092360,0,True,0.217027742,0.217027742
20,it2_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-2.140039206,0.105265697,0,True,0.111228473,0.111228473
21,it2_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-1.865469813,0.134066774,0,True,0.143947479,0.143947479
22,it2_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-1.165949464,0.237587918,0,True,0.271268079,0.271268079
23,it1_S012,ro_19000,1,standalone,19000,config_087/vfpga_c087_0.bin,1.325516582,0.790098058,1,True,0.235598217,0.235598217
24,it1_S022,ro_10000,1,standalone,10000,config_097/vfpga_c097_0.bin,0.055748623,0.513933547,1,True,0.665661307,0.665661307
25,it1_S025,ro_16000,1,standalone,16000,config_100/vfpga_c100_0.bin,1.121747375,0.754312693,1,True,0.281948285,0.281948285
26,it1_S028,ro_20000,1,standalone,20000,config_103/vfpga_c103_0.bin,1.753646135,0.852412096,1,True,0.159685188,0.159685188
27,it1_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,1.365147591,0.796595042,1,True,0.227408832,0.227408832
28,it1_S042,ro_19000,1,standalone,19000,config_117/vfpga_c117_0.bin,1.969704270,0.877579345,1,True,0.130587906,0.130587906
29,it1_S052,ro_10000,1,standalone,10000,config_127/vfpga_c127_0.bin,0.004742306,0.501185574,1,True,0.690778839,0.690778839
30,it1_S056,ro_18000,1,standalone,18000,config_131/vfpga_c131_0.bin,0.960256755,0.723173209,1,True,0.324106516,0.324106516
31,it1_S058,ro_20000,1,standalone,20000,config_133/vfpga_c133_0.bin,0.998153746,0.730695428,1,True,0.313758557,0.313758557
32,it1_S071,ro_18000,1,standalone,18000,config_146/vfpga_c146_0.bin,1.359190345,0.795628076,1,True,0.228623444,0.228623444
33,it2_S002,ro_10000,1,standalone,10000,config_077/vfpga_c077_0.bin,0.468328267,0.614988003,1,True,0.486152518,0.486152518
34,it2_S003,ro_11000,1,standalone,11000,config_078/vfpga_c078_0.bin,0.732980430,0.675458966,1,True,0.392362869,0.392362869
35,it2_S005,ro_13000,1,standalone,13000,config_080/vfpga_c080_0.bin,1.221687078,0.772360308,1,True,0.258304118,0.258304118
36,it2_S007,ro_15000,1,standalone,15000,config_082/vfpga_c082_0.bin,0.984532058,0.728006550,1,True,0.317445234,0.317445234
37,it2_S017,ro_10000,1,standalone,10000,config_092/vfpga_c092_0.bin,-0.226851419,0.443529111,0,False,0.812991840,0.812991840
38,it2_S018,ro_11000,1,standalone,11000,config_093/vfpga_c093_0.bin,0.093354627,0.523321722,1,True,0.647558857,0.647558857
39,it2_S019,ro_12000,1,standalone,12000,config_094/vfpga_c094_0.bin,0.448880941,0.610373135,1,True,0.493684813,0.493684813
40,it2_S022,ro_15000,1,standalone,15000,config_097/vfpga_c097_0.bin,0.778035462,0.685256557,1,True,0.377961976,0.377961976
41,it2_S026,ro_19000,1,standalone,19000,config_101/vfpga_c101_0.bin,0.967100441,0.724541177,1,True,0.322216684,0.322216684
42,it2_S034,ro_12000,1,standalone,12000,config_109/vfpga_c109_0.bin,-0.005330641,0.498667343,0,False,0.695816053,0.695816053
43,it2_S035,ro_13000,1,standalone,13000,config_110/vfpga_c110_0.bin,0.173991963,0.543388587,1,True,0.609930586,0.609930586
44,it2_S054,ro_17000,1,standalone,17000,config_129/vfpga_c129_0.bin,1.108820677,0.751909184,1,True,0.285139729,0.285139729
45,it2_S060,ro_8000,1,standalone,8000,config_135/vfpga_c135_0.bin,-0.215000704,0.446455923,0,False,0.806414600,0.806414600
46,it2_S074,ro_22000,1,standalone,22000,config_149/vfpga_c149_0.bin,1.321980238,0.789510978,1,True,0.236341541,0.236341541
