sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-1.140355349,0.242255125,0,True,0.277408526,0.277408526
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,-1.370555043,0.202530186,0,True,0.226311295,0.226311295
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,-0.933043003,0.282307763,0,True,0.331714441,0.331714441
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-0.337864727,0.416328254,0,True,0.538416532,0.538416532
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.980946004,0.272704116,0,True,0.318421891,0.318421891
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,0.285168082,0.570812790,1,False,0.845862068,0.845862068
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,-1.098020196,0.250111034,0,True,0.287830128,0.287830128
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-1.020632863,0.264904145,0,True,0.307754373,0.307754373
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-0.638153434,0.345664077,0,True,0.424134416,0.424134416
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-0.733354390,0.324459062,0,True,0.392241519,0.392241519
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,-0.227173284,0.443449673,0,True,0.585997677,0.585997677
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,0.075418875,0.518845787,1,False,0.731567450,0.731567450
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-0.712956667,0.328945854,0,True,0.398905451,0.398905451
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-0.737111986,0.323635996,0,True,0.391023880,0.391023880
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-0.967528105,0.275373477,0,True,0.322098898,0.322098898
15,it2_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-0.913436472,0.286297144,0,True,0.337288571,0.337288571
16,it2_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-0.314274341,0.422071765,0,True,0.548305579,0.548305579
17,it2_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-1.788560629,0.143249285,0,True,0.154608284,0.154608284
18,it2_B057,perf_fpga_nodbg,0,benign,0,config_057/vfpga_c057_0.bin,-1.487688780,0.184268882,0,True,0.203670491,0.203670491
19,it2_B059,euclidean_nodbg,0,benign,0,config_059/vfpga_c059_0.bin,-1.366630197,0.203164834,0,True,0.227107440,0.227107440
20,it2_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-2.165643692,0.102878401,0,True,0.108563865,0.108563865
21,it2_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-2.028834105,0.116208611,0,True,0.123534229,0.123534229
22,it2_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-1.296500683,0.214754535,0,True,0.241758916,0.241758916
23,it1_S012,ro_19000,1,standalone,19000,config_087/vfpga_c087_0.bin,1.325516582,0.790098058,1,True,0.235598217,0.235598217
24,it1_S022,ro_10000,1,standalone,10000,config_097/vfpga_c097_0.bin,0.055748623,0.513933547,1,True,0.665661307,0.665661307
25,it1_S025,ro_16000,1,standalone,16000,config_100/vfpga_c100_0.bin,1.233077526,0.774356759,1,True,0.255722582,0.255722582
26,it1_S028,ro_20000,1,standalone,20000,config_103/vfpga_c103_0.bin,1.735746026,0.850145925,1,True,0.162347267,0.162347267
27,it1_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,1.385637283,0.799894847,1,True,0.223275001,0.223275001
28,it1_S042,ro_19000,1,standalone,19000,config_117/vfpga_c117_0.bin,1.969704270,0.877579345,1,True,0.130587906,0.130587906
29,it1_S052,ro_10000,1,standalone,10000,config_127/vfpga_c127_0.bin,-0.097981945,0.475524092,0,False,0.743337731,0.743337731
30,it1_S056,ro_18000,1,standalone,18000,config_131/vfpga_c131_0.bin,1.074435472,0.745439505,1,True,0.293781296,0.293781296
31,it1_S058,ro_20000,1,standalone,20000,config_133/vfpga_c133_0.bin,0.888128102,0.708503727,1,True,0.344599959,0.344599959
32,it1_S071,ro_18000,1,standalone,18000,config_146/vfpga_c146_0.bin,1.182116151,0.765328080,1,True,0.267450674,0.267450674
33,it2_S002,ro_10000,1,standalone,10000,config_077/vfpga_c077_0.bin,0.468328267,0.614988003,1,True,0.486152518,0.486152518
