sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-6.151943684,0.002124815,0,True,0.002127075,0.002127075
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-3.293084860,0.035809183,0,True,0.036466061,0.036466061
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-2.869744301,0.053669637,0,True,0.055163550,0.055163550
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,-0.534481525,0.369472251,0,True,0.461198114,0.461198114
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.977416039,0.273404799,0,True,0.319385764,0.319385764
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,-2.517107725,0.074667533,0,True,0.077602183,0.077602183
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-4.780171394,0.008324678,0,True,0.008359522,0.008359522
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-3.254839182,0.037153387,0,True,0.037861160,0.037861160
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-3.076344252,0.044093646,0,True,0.045095327,0.045095327
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-3.605726719,0.026449132,0,True,0.026805203,0.026805203
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-5.694552898,0.003352961,0,True,0.003358595,0.003358595
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-2.678372145,0.064261693,0,True,0.066419429,0.066419429
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-4.651181698,0.009459964,0,True,0.009504994,0.009504994
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-3.510344028,0.029019341,0,True,0.029448729,0.029448729
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-5.866552353,0.002824621,0,True,0.002828618,0.002828618
15,it1_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-4.848933697,0.007775793,0,True,0.007806182,0.007806182
16,it1_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-3.162361383,0.040606959,0,True,0.041454443,0.041454443
17,it2_B001,hls_vadd,0,benign,0,config_001/vfpga_c001_0.bin,-3.426189661,0.031486923,0,True,0.031993294,0.031993294
18,it2_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-3.091631174,0.043453784,0,True,0.044426173,0.044426173
19,it2_B021,euclidean,0,benign,0,config_021/vfpga_c021_0.bin,-3.665029764,0.024964240,0,True,0.025281131,0.025281131
20,it2_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-4.827325344,0.007944294,0,True,0.007976018,0.007976018
21,it2_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-6.367390633,0.001713691,0,True,0.001715161,0.001715161
22,it2_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-4.540083408,0.010559817,0,True,0.010615967,0.010615967
23,it2_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-6.209228516,0.002006753,0,True,0.002008769,0.002008769
24,it1_S013,ro_20000,1,standalone,20000,config_088/vfpga_c088_0.bin,10.106127739,0.999959173,1,True,0.000040828,0.000040828
