sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-1.989453912,0.120314648,0,True,0.128190990,0.128190990
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-4.102280617,0.016265966,0,True,0.016399709,0.016399709
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-2.426568031,0.081169058,0,True,0.084653132,0.084653132
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-2.582387209,0.070280588,0,True,0.072872445,0.072872445
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-2.243811846,0.095884581,0,True,0.100798250,0.100798250
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-3.098042011,0.043188092,0,True,0.044148451,0.044148451
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-1.177310348,0.235536147,0,True,0.268580537,0.268580537
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-1.609304309,0.166685224,0,True,0.182343825,0.182343825
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,-4.460872650,0.011420347,0,True,0.011486060,0.011486060
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,-1.266757607,0.219812801,0,True,0.248221390,0.248221390
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-4.647763729,0.009492046,0,True,0.009537382,0.009537382
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-4.126443863,0.015883806,0,True,0.016011306,0.016011306
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-3.440711021,0.031047087,0,True,0.031539262,0.031539262
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-3.740909338,0.023182337,0,True,0.023455274,0.023455274
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.477615535,0.382815340,0,True,0.482587013,0.482587013
15,it2_B014,euclidean_nodbg,0,benign,0,config_014/vfpga_c014_0.bin,-3.227245331,0.038153208,0,True,0.038900101,0.038900101
