layer,shape,n_values_per_sample,mean_abs_keras,mean_abs_qkeras,mae,rmse,max_abs,rel_rmse,cosine_similarity,reuse_factor,result_precision,accum_precision,weight_precision
output_dense,"(1,)",1,2.268607258796692,2.268607258796692,5.0714768171310425,5.0714768171310425,5.273775339126587,2.291086652798929,0.9999999999999383,1,auto,auto,auto
pool4,"(16, 16, 32)",8192,2.83240711546879,2.83240711546879,0.7432645336105352,1.1317213490778424,3.64892578125,0.30543835693452326,0.954709057371538,1,auto,auto,
conv4,"(32, 32, 32)",32768,2.8096988797830535,2.8096988797830535,0.8129505405858906,1.110739725345574,3.6482439041137695,0.32816570457615,0.9447858321369615,1,auto,auto,auto
act4,"(32, 32, 32)",32768,2.3235987267283633,2.3235987267283633,0.6537458327696442,1.0266441708084255,3.64892578125,0.31702620181532337,0.9491400146331637,1,auto,,
gap,"(1, 1, 32)",32,2.8324072463437915,2.8324072463437915,0.6112892581149936,0.7580082362402545,1.2656474113464355,0.22914274626136846,0.9736158549805054,1,auto,auto,
pool3,"(32, 32, 24)",24576,1.049982251004426,1.049982251004426,0.12903701409147908,0.1783871772621594,0.6553092002868652,0.1239062461746155,0.9944715508623735,1,auto,auto,
pad_conv4,"(34, 34, 24)",27744,0.9300880839347165,0.9300880839347165,0.11430268376269428,0.16789381389379707,0.6553092002868652,0.12390624617461551,0.9944715508623735,1,auto,,
conv3,"(64, 64, 24)",98304,1.002407445951796,1.002407445951796,0.13011332949761312,0.1639290228180102,0.6581790447235107,0.12167890999857676,0.9938125129009163,1,auto,auto,auto
act3,"(64, 64, 24)",98304,0.9242526097918556,0.9242526097918556,0.10327964557417683,0.15162525447005915,0.6584174633026123,0.1134108270542003,0.9950847256787033,1,auto,,
pool2,"(64, 64, 24)",98304,0.4435989173398344,0.4435989173398344,0.0328476497992255,0.04428959416854121,0.1494082808494568,0.07069999269068448,0.9987592291525159,1,auto,auto,
conv2,"(128, 128, 24)",393216,0.4723001283927904,0.4723001283927904,0.037068134411109684,0.04331814583585589,0.15011847019195557,0.07169263551699193,0.9981323596893988,1,auto,auto,auto
pad_conv3,"(66, 66, 24)",104544,0.4171214796657396,0.4171214796657396,0.03088704627585575,0.042947485254343,0.1494082808494568,0.0706999926906845,0.9987592291525159,1,auto,,
act2,"(128, 128, 24)",393216,0.39168423069793756,0.39168423069793756,0.026701762102765907,0.03839870639139413,0.15106737613677979,0.06660453421823809,0.9988723266221361,1,auto,,
conv1,"(256, 256, 16)",1048576,0.7032276255635304,0.7032276255635304,0.018218894169074462,0.021154517996612575,0.07016861438751221,0.02384982997760868,0.9997426646216616,1,auto,auto,auto
pool1,"(128, 128, 16)",262144,0.3285984447740231,0.3285984447740231,0.012722789733878193,0.019900034324558374,0.07031738758087158,0.033760425320975694,0.9998587463454811,1,auto,auto,
pad_conv2,"(130, 130, 16)",270400,0.318565498176189,0.318565498176189,0.01233433059170771,0.019593879950334396,0.07031738758087158,0.033760425320975694,0.999858746345481,1,auto,,
act1,"(256, 256, 16)",1048576,0.2878647646152287,0.2878647646152287,0.010419439086874219,0.01791463088896047,0.07031738758087158,0.03337878251546843,0.9998905928225909,1,auto,,
conv0,"(512, 512, 8)",2097152,0.561087885837601,0.561087885837601,0.011160179703017557,0.011243362701973951,0.015172868967056274,0.015355128700551637,0.9998896987490624,1,auto,auto,auto
pool0,"(256, 256, 8)",524288,0.45643242810480733,0.45643242810480733,0.005773991240192844,0.008174953992077445,0.015525639057159424,0.01057285685075025,0.9999810912924589,1,auto,auto,
pad_conv1,"(258, 258, 8)",532512,0.44938338453633575,0.44938338453633575,0.005684818969972931,0.008111582255704752,0.015525639057159424,0.010572856850750248,0.9999810912924587,1,auto,,
act0,"(512, 512, 8)",2097152,0.38081911058394974,0.38081911058394974,0.00479777463475934,0.007561607131050642,0.01582273840904236,0.011066940739658977,0.9999824374157901,1,auto,,
pad_conv0,"(1028, 1028, 1)",1056784,0.905402267729393,0.905402267729393,0.00028049310690035493,0.00047413901340300776,0.000972747802734375,0.0005113448996450103,0.9999999038220367,1,auto,,
