sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-2.111179590,0.108014963,0,True,0.114305922,0.114305922
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-2.075366497,0.111514223,0,True,0.118236639,0.118236639
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-1.996584654,0.119561978,0,True,0.127335743,0.127335743
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-2.891298294,0.052585400,0,True,0.054018478,0.054018478
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-1.898615241,0.130265282,0,True,0.139567036,0.139567036
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-2.349052429,0.087141120,0,True,0.091173978,0.091173978
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-1.588875651,0.169542144,0,True,0.185778096,0.185778096
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-1.456315041,0.189031577,0,True,0.209526162,0.209526162
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-1.253962159,0.222015024,0,True,0.251048066,0.251048066
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-1.091258407,0.251381386,0,True,0.289525619,0.289525619
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-1.054129601,0.258432893,0,True,0.298989620,0.298989620
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-1.874828815,0.132983976,0,True,0.142697821,0.142697821
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-1.607067466,0.166996156,0,True,0.182717022,0.182717022
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-1.752133727,0.147778275,0,True,0.159908545,0.159908545
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-1.181801319,0.234728469,0,True,0.267524565,0.267524565
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-1.850616217,0.135800562,0,True,0.145951706,0.145951706
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-2.670314550,0.064747918,0,True,0.066939180,0.066939180
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-2.011066437,0.118045905,0,True,0.125615270,0.125615270
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,-3.049009562,0.045260253,0,True,0.046316492,0.046316492
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-2.482510328,0.077093403,0,True,0.080227244,0.080227244
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,-3.350328684,0.033884403,0,True,0.034471786,0.034471786
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-3.541857004,0.028144450,0,True,0.028548097,0.028548097
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-4.644391060,0.009523808,0,True,0.009569449,0.009569449
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-2.205213785,0.099283266,0,True,0.104564461,0.104564461
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,3.443369627,0.969032792,1,True,0.031456826,0.031456826
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,4.409308434,0.987982587,1,True,0.012090205,0.012090205
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,9.176672935,0.999896587,1,True,0.000103419,0.000103419
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,1.121555209,0.754277078,1,True,0.281995501,0.281995501
28,it1_S037,ro_10000,1,standalone,10000,config_112/vfpga_c112_0.bin,3.371505499,0.966802045,1,True,0.033761515,0.033761515
29,it1_S040,ro_16000,1,standalone,16000,config_115/vfpga_c115_0.bin,3.978252888,0.981625624,1,True,0.018545282,0.018545282
30,it1_S055,ro_16000,1,standalone,16000,config_130/vfpga_c130_0.bin,4.970058441,0.993105127,1,True,0.006918752,0.006918752
31,it1_S057,ro_19000,1,standalone,19000,config_132/vfpga_c132_0.bin,6.171014786,0.997915240,1,True,0.002086936,0.002086936
32,it1_S069,ro_14000,1,standalone,14000,config_144/vfpga_c144_0.bin,4.793645859,0.991785825,1,True,0.008248097,0.008248097
33,it1_S074,ro_22000,1,standalone,22000,config_149/vfpga_c149_0.bin,7.900211334,0.999629472,1,True,0.000370597,0.000370597
34,it2_S013,ro_21000,1,standalone,21000,config_088/vfpga_c088_0.bin,8.455087662,0.999787230,1,True,0.000212792,0.000212792
35,it2_S015,ro_8000,1,standalone,8000,config_090/vfpga_c090_0.bin,1.605296254,0.832757309,1,True,0.183013025,0.183013025
36,it2_S020,ro_13000,1,standalone,13000,config_095/vfpga_c095_0.bin,2.506851912,0.924620771,1,True,0.078371603,0.078371603
37,it2_S030,ro_8000,1,standalone,8000,config_105/vfpga_c105_0.bin,0.107885331,0.526945203,1,True,0.640658716,0.640658716
