sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-0.258483887,0.435736439,0,True,0.572233830,0.572233830
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-1.293334961,0.215288869,0,True,0.242439615,0.242439615
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.458496094,0.387342653,0,True,0.489949476,0.489949476
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-1.101928711,0.249378687,0,True,0.286853997,0.286853997
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-1.014648438,0.266071130,0,True,0.309343162,0.309343162
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-0.711486816,0.329270391,0,True,0.399389191,0.399389191
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-0.258117676,0.435826481,0,True,0.572393418,0.572393418
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-0.625183105,0.348603555,0,True,0.428636843,0.428636843
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,-1.397399902,0.198229032,0,True,0.220932288,0.220932288
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,-0.103942871,0.474037653,0,True,0.642525653,0.642525653
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-1.204650879,0.230648884,0,True,0.262207827,0.262207827
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-0.677673340,0.336780787,0,True,0.410649705,0.410649705
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.658752441,0.341019914,0,True,0.417061963,0.417061963
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.845275879,0.300424788,0,True,0.357281968,0.357281968
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,0.072265625,0.518058548,1,False,0.729932641,0.729932641
