sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-2.116821289,0.107472599,0,True,0.113698065,0.113698065
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-1.035827637,0.261955856,0,True,0.303751641,0.303751641
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-0.198547363,0.450525580,0,True,0.598793058,0.598793058
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,0.649047852,0.656795866,1,False,1.069429866,1.069429866
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.407531738,0.399504111,0,True,0.509999484,0.509999484
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,-1.075500488,0.254358451,0,True,0.293510292,0.293510292
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-1.837219238,0.137380500,0,True,0.147781589,0.147781589
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-0.598510742,0.354684486,0,True,0.438015913,0.438015913
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-0.719299316,0.327547297,0,True,0.396823500,0.396823500
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-1.594665527,0.168728502,0,True,0.184798825,0.184798825
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-1.924621582,0.127347086,0,True,0.136217380,0.136217380
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.763427734,0.317902531,0,True,0.382582715,0.382582715
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-2.186218262,0.100994939,0,True,0.106466614,0.106466614
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-1.589172363,0.169500371,0,True,0.185727797,0.185727797
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-2.359252930,0.086333105,0,True,0.090289221,0.090289221
15,it1_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-1.362060547,0.203905614,0,True,0.228037524,0.228037524
16,it1_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-0.300354004,0.425470946,0,True,0.554204611,0.554204611
17,it2_B001,hls_vadd,0,benign,0,config_001/vfpga_c001_0.bin,-0.366699219,0.409338847,0,True,0.526512771,0.526512771
18,it2_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.264892578,0.434161387,0,True,0.569446377,0.569446377
19,it2_B021,euclidean,0,benign,0,config_021/vfpga_c021_0.bin,-0.637756348,0.345753896,0,True,0.424271693,0.424271693
20,it2_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-2.405212402,0.082776087,0,True,0.086403657,0.086403657
21,it2_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-3.353454590,0.033782221,0,True,0.034366026,0.034366026
22,it2_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-2.344360352,0.087515087,0,True,0.091583727,0.091583727
