sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,0.349609375,0.586522850,1,False,0.883153026,0.883153026
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,-0.366210938,0.409456909,0,True,0.526712672,0.526712672
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,-0.013671875,0.496582084,0,True,0.686334608,0.686334608
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-0.344726562,0.414661797,0,True,0.535565475,0.535565475
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.220703125,0.445047100,0,True,0.588872034,0.588872034
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,-0.427734375,0.394667471,0,True,0.501977338,0.501977338
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,-0.236328125,0.441191424,0,True,0.581948305,0.581948305
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-0.175781250,0.456167495,0,True,0.609113974,0.609113974
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-0.310546875,0.422981258,0,True,0.549880532,0.549880532
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-0.458984375,0.387226786,0,True,0.489760372,0.489760372
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,-0.378906250,0.406390723,0,True,0.521533959,0.521533959
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.347656250,0.413950889,0,True,0.534351687,0.534351687
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-0.351562500,0.413003570,0,True,0.532736541,0.532736541
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-0.252929688,0.437102535,0,True,0.574657790,0.574657790
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-0.052734375,0.486819461,0,True,0.667127567,0.667127567
15,it2_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-0.098632812,0.475361768,0,True,0.645046336,0.645046336
16,it2_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,0.127929688,0.531938874,1,False,0.759156381,0.759156381
17,it2_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-0.353515625,0.412530152,0,True,0.531930356,0.531930356
18,it2_B057,perf_fpga_nodbg,0,benign,0,config_057/vfpga_c057_0.bin,-0.150390625,0.462473047,0,True,0.620776375,0.620776375
19,it2_B059,euclidean_nodbg,0,benign,0,config_059/vfpga_c059_0.bin,-0.099609375,0.475118226,0,True,0.644582234,0.644582234
20,it2_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-0.423828125,0.395601077,0,True,0.503520831,0.503520831
21,it2_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-0.284179688,0.429429369,0,True,0.561118312,0.561118312
22,it2_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-0.403320312,0.400514861,0,True,0.511684094,0.511684094
23,it1_S012,ro_19000,1,standalone,19000,config_087/vfpga_c087_0.bin,1.605468750,0.832781331,1,True,0.182984179,0.182984179
24,it1_S022,ro_10000,1,standalone,10000,config_097/vfpga_c097_0.bin,0.026367188,0.506591415,1,True,0.680050488,0.680050488
25,it1_S025,ro_16000,1,standalone,16000,config_100/vfpga_c100_0.bin,0.791992188,0.688258932,1,True,0.373590158,0.373590158
26,it1_S028,ro_20000,1,standalone,20000,config_103/vfpga_c103_0.bin,1.000976562,0.731250539,1,True,0.312999143,0.312999143
27,it1_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,1.076171875,0.745768863,1,True,0.293339562,0.293339562
28,it1_S042,ro_19000,1,standalone,19000,config_117/vfpga_c117_0.bin,0.902343750,0.711430906,1,True,0.340476977,0.340476977
29,it1_S052,ro_10000,1,standalone,10000,config_127/vfpga_c127_0.bin,0.584960938,0.642208117,1,True,0.442842857,0.442842857
30,it1_S056,ro_18000,1,standalone,18000,config_131/vfpga_c131_0.bin,0.890625000,0.709019134,1,True,0.343872766,0.343872766
31,it1_S058,ro_20000,1,standalone,20000,config_133/vfpga_c133_0.bin,0.901367188,0.711230379,1,True,0.340758881,0.340758881
32,it1_S071,ro_18000,1,standalone,18000,config_146/vfpga_c146_0.bin,1.266601562,0.780160436,1,True,0.248255693,0.248255693
33,it2_S002,ro_10000,1,standalone,10000,config_077/vfpga_c077_0.bin,0.096679688,0.524151113,1,True,0.645975252,0.645975252
34,it2_S003,ro_11000,1,standalone,11000,config_078/vfpga_c078_0.bin,0.328125000,0.581303091,1,True,0.542482988,0.542482988
35,it2_S005,ro_13000,1,standalone,13000,config_080/vfpga_c080_0.bin,0.445312500,0.609524163,1,True,0.495076688,0.495076688
36,it2_S007,ro_15000,1,standalone,15000,config_082/vfpga_c082_0.bin,0.429687500,0.605799044,1,True,0.501206959,0.501206959
37,it2_S017,ro_10000,1,standalone,10000,config_092/vfpga_c092_0.bin,0.056640625,0.514156372,1,True,0.665227835,0.665227835
38,it2_S018,ro_11000,1,standalone,11000,config_093/vfpga_c093_0.bin,0.482421875,0.618319602,1,True,0.480749800,0.480749800
39,it2_S019,ro_12000,1,standalone,12000,config_094/vfpga_c094_0.bin,0.394531250,0.597373028,1,True,0.515213523,0.515213523
40,it2_S022,ro_15000,1,standalone,15000,config_097/vfpga_c097_0.bin,0.571289062,0.639060566,1,True,0.447756046,0.447756046
41,it2_S026,ro_19000,1,standalone,19000,config_101/vfpga_c101_0.bin,1.606445312,0.832917280,1,True,0.182820946,0.182820946
42,it2_S034,ro_12000,1,standalone,12000,config_109/vfpga_c109_0.bin,0.266601562,0.566258404,1,True,0.568704761,0.568704761
43,it2_S035,ro_13000,1,standalone,13000,config_110/vfpga_c110_0.bin,0.210937500,0.552539708,1,True,0.593229978,0.593229978
44,it2_S054,ro_17000,1,standalone,17000,config_129/vfpga_c129_0.bin,0.860351562,0.702734101,1,True,0.352776694,0.352776694
45,it2_S060,ro_8000,1,standalone,8000,config_135/vfpga_c135_0.bin,0.279296875,0.569373835,1,True,0.563218057,0.563218057
46,it2_S074,ro_22000,1,standalone,22000,config_149/vfpga_c149_0.bin,1.258789062,0.778817581,1,True,0.249978431,0.249978431
