sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-0.299316406,0.425724602,0,True,0.554646210,0.554646210
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-0.612304688,0.351533647,0,True,0.433145161,0.433145161
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.393066406,0.402979344,0,True,0.515803567,0.515803567
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.355957031,0.411938606,0,True,0.530923925,0.530923925
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-0.458007812,0.387458532,0,True,0.490138637,0.490138637
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-0.512207031,0.374676289,0,True,0.469485825,0.469485825
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-0.318847656,0.420956608,0,True,0.546377862,0.546377862
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-0.407226562,0.399577326,0,True,0.510121414,0.510121414
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,-0.594726562,0.355551098,0,True,0.439359743,0.439359743
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,-0.408203125,0.399343056,0,True,0.509731316,0.509731316
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-0.552734375,0.365230246,0,True,0.454492938,0.454492938
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-0.442871094,0.391057058,0,True,0.496030707,0.496030707
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.562011719,0.363082115,0,True,0.451114540,0.451114540
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.692871094,0.333394689,0,True,0.405557146,0.405557146
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.293945312,0.427038265,0,True,0.556936344,0.556936344
15,it2_B014,euclidean_nodbg,0,benign,0,config_014/vfpga_c014_0.bin,-0.572753906,0.360601618,0,True,0.447227574,0.447227574
16,it2_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-0.625488281,0.348534259,0,True,0.428530468,0.428530468
17,it2_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-0.512695312,0.374561894,0,True,0.469302906,0.469302906
18,it2_B037,cosine,0,benign,0,config_037/vfpga_c037_0.bin,-0.512207031,0.374676289,0,True,0.469485825,0.469485825
19,it2_B058,multithreading_aes_nodbg,0,benign,0,config_058/vfpga_c058_0.bin,-0.411621094,0.398523477,0,True,0.508367775,0.508367775
20,it2_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.644531250,0.344222964,0,True,0.421934431,0.421934431
21,it2_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.520507812,0.372733498,0,True,0.466383785,0.466383785
22,it2_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-0.331542969,0.417865243,0,True,0.541053316,0.541053316
23,it2_B071,user_interrupts_nodbg,0,benign,0,config_071/vfpga_c071_0.bin,-0.546875000,0.366589736,0,True,0.456636941,0.456636941
