sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-0.594238281,0.355662988,0,True,0.439533379,0.439533379
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-1.062988281,0.256738805,0,True,0.296707754,0.296707754
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-1.017089844,0.265594651,0,True,0.308694156,0.308694156
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-1.279541016,0.217628363,0,True,0.245425412,0.245425412
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-1.636962891,0.162878746,0,True,0.177786352,0.177786352
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-1.020996094,0.264833419,0,True,0.307658165,0.307658165
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-1.003173828,0.268317867,0,True,0.312409103,0.312409103
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-0.366210938,0.409456909,0,True,0.526712672,0.526712672
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,-1.182861328,0.234538112,0,True,0.267275852,0.267275852
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,-0.201171875,0.449875961,0,True,0.597611501,0.597611501
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-1.024658203,0.264121033,0,True,0.306689620,0.306689620
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-0.838867188,0.301773421,0,True,0.359211617,0.359211617
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.852783203,0.298849343,0,True,0.355032498,0.355032498
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.729980469,0.325199013,0,True,0.393337466,0.393337466
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.904296875,0.288168289,0,True,0.339913757,0.339913757
15,it2_B014,euclidean_nodbg,0,benign,0,config_014/vfpga_c014_0.bin,-1.083496094,0.252844984,0,True,0.291482597,0.291482597
16,it2_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-0.968505859,0.275178416,0,True,0.321829746,0.321829746
17,it2_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-0.704345703,0.330849435,0,True,0.401746184,0.401746184
18,it2_B037,cosine,0,benign,0,config_037/vfpga_c037_0.bin,-0.967041016,0.275470683,0,True,0.322233053,0.322233053
19,it2_B058,multithreading_aes_nodbg,0,benign,0,config_058/vfpga_c058_0.bin,-0.235107422,0.441492400,0,True,0.582487052,0.582487052
20,it2_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.854003906,0.298593622,0,True,0.354667848,0.354667848
21,it2_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.965332031,0.275811904,0,True,0.322704120,0.322704120
22,it2_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-1.082031250,0.253121814,0,True,0.291853178,0.291853178
23,it2_B071,user_interrupts_nodbg,0,benign,0,config_071/vfpga_c071_0.bin,-1.581298828,0.170611615,0,True,0.187066735,0.187066735
24,it1_S006,ro_8192,1,standalone,8192,config_081/vfpga_c081_0.bin,-0.322021484,0.420183176,0,False,0.867064530,0.867064530
25,it1_S011,ro_18000,1,standalone,18000,config_086/vfpga_c086_0.bin,-0.135498047,0.466177221,0,False,0.763189416,0.763189416
26,it1_S023,ro_12000,1,standalone,12000,config_098/vfpga_c098_0.bin,-0.468750000,0.384912144,0,False,0.954740167,0.954740167
27,it1_S024,ro_14000,1,standalone,14000,config_099/vfpga_c099_0.bin,-0.534667969,0.369428818,0,False,0.995797201,0.995797201
28,it1_S038,ro_12000,1,standalone,12000,config_113/vfpga_c113_0.bin,-0.757568359,0.319174434,0,False,1.142017509,1.142017509
29,it1_S054,ro_14000,1,standalone,14000,config_129/vfpga_c129_0.bin,-0.163085938,0.459318643,0,False,0.778011099,0.778011099
30,it1_S067,ro_10000,1,standalone,10000,config_142/vfpga_c142_0.bin,-1.126953125,0.244723829,0,False,1.407624932,1.407624932
31,it1_S068,ro_12000,1,standalone,12000,config_143/vfpga_c143_0.bin,-0.445800781,0.390359631,0,False,0.940686835,0.940686835
32,it1_S072,ro_19000,1,standalone,19000,config_147/vfpga_c147_0.bin,-0.022705078,0.494323974,0,False,0.704564158,0.704564158
33,it1_S073,ro_20000,1,standalone,20000,config_148/vfpga_c148_0.bin,0.093261719,0.523298545,1,True,0.647603146,0.647603146
34,it2_S000,ro_8000,1,standalone,8000,config_075/vfpga_c075_0.bin,-0.387207031,0.404389831,0,False,0.905375937,0.905375937
35,it2_S004,ro_12000,1,standalone,12000,config_079/vfpga_c079_0.bin,0.116699219,0.529141739,1,True,0.636498945,0.636498945
36,it2_S006,ro_14000,1,standalone,14000,config_081/vfpga_c081_0.bin,0.114990234,0.528715924,1,True,0.637303998,0.637303998
37,it2_S016,ro_9000,1,standalone,9000,config_091/vfpga_c091_0.bin,-0.370361328,0.408453715,0,False,0.895376676,0.895376676
38,it2_S024,ro_17000,1,standalone,17000,config_099/vfpga_c099_0.bin,0.148925781,0.537162785,1,True,0.621454093,0.621454093
39,it2_S040,ro_18000,1,standalone,18000,config_115/vfpga_c115_0.bin,-0.803955078,0.309180126,0,False,1.173831241,1.173831241
40,it2_S043,ro_21000,1,standalone,21000,config_118/vfpga_c118_0.bin,-0.869384766,0.295382336,0,False,1.219484709,1.219484709
41,it2_S048,ro_11000,1,standalone,11000,config_123/vfpga_c123_0.bin,-0.224853516,0.444022271,0,False,0.811880557,0.811880557
42,it2_S052,ro_15000,1,standalone,15000,config_127/vfpga_c127_0.bin,-0.328125000,0.418696909,0,False,0.870607988,0.870607988
43,it2_S057,ro_20000,1,standalone,20000,config_132/vfpga_c132_0.bin,-0.252197266,0.437282751,0,False,0.827175265,0.827175265
44,it2_S058,ro_21000,1,standalone,21000,config_133/vfpga_c133_0.bin,-0.295898438,0.426560449,0,False,0.852001189,0.852001189
45,it2_S062,ro_10000,1,standalone,10000,config_137/vfpga_c137_0.bin,-0.721435547,0.327076944,0,False,1.117559833,1.117559833
46,it2_S070,ro_18000,1,standalone,18000,config_145/vfpga_c145_0.bin,-0.373535156,0.407687080,0,False,0.897255359,0.897255359
