sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-0.474853516,0.383468127,0,True,0.483645257,0.483645257
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,-1.589355469,0.169474597,0,True,0.185696763,0.185696763
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,-0.998535156,0.269229525,0,True,0.313655856,0.313655856
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-0.444091797,0.390766409,0,True,0.495553520,0.495553520
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-1.115722656,0.246805549,0,True,0.283431849,0.283431849
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,-0.159179688,0.460288893,0,True,0.616721270,0.616721270
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,-0.743408203,0.322259314,0,True,0.388990533,0.388990533
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-1.240478516,0.224352704,0,True,0.254057378,0.254057378
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-0.672851562,0.337858623,0,True,0.412276185,0.412276185
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-0.820800781,0.305593703,0,True,0.364698047,0.364698047
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,-0.375000000,0.407333400,0,True,0.523123264,0.523123264
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.457519531,0.387574425,0,True,0.490327854,0.490327854
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-0.882080078,0.292746921,0,True,0.346366716,0.346366716
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-0.613525391,0.351255429,0,True,0.432716212,0.432716212
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-0.754638672,0.319811399,0,True,0.385385164,0.385385164
15,it2_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-0.821777344,0.305386509,0,True,0.364399717,0.364399717
16,it2_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-0.508300781,0.375591946,0,True,0.470951192,0.470951192
17,it2_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-1.035400391,0.262038466,0,True,0.303863578,0.303863578
18,it2_B057,perf_fpga_nodbg,0,benign,0,config_057/vfpga_c057_0.bin,-1.010253906,0.266930164,0,True,0.310514307,0.310514307
19,it2_B059,euclidean_nodbg,0,benign,0,config_059/vfpga_c059_0.bin,-0.715087891,0.328475579,0,True,0.398204895,0.398204895
20,it2_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-1.753173828,0.147647333,0,True,0.159754909,0.159754909
