sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-3.082580566,0.043831536,0,True,0.044821163,0.044821163
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-0.446838379,0.390112732,0,True,0.494481146,0.494481146
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-0.547729492,0.366391344,0,True,0.456323778,0.456323778
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,1.356140137,0.795131653,1,False,1.585387714,1.585387714
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,0.925598145,0.716181392,1,False,1.259419948,1.259419948
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,-0.406982422,0.399635900,0,True,0.510218975,0.510218975
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-2.156921387,0.103686215,0,True,0.109464720,0.109464720
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-0.540283203,0.368121704,0,True,0.459058474,0.459058474
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-0.873718262,0.294481199,0,True,0.348821858,0.348821858
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-1.107666016,0.248306271,0,True,0.285426314,0.285426314
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-2.624877930,0.067554380,0,True,0.069944446,0.069944446
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.308349609,0.423517632,0,True,0.550810523,0.550810523
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-2.022521973,0.116858465,0,True,0.124269803,0.124269803
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.985412598,0.271819127,0,True,0.317205810,0.317205810
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-3.108825684,0.042744669,0,True,0.043685119,0.043685119
15,it1_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-2.129089355,0.106301473,0,True,0.112386779,0.112386779
16,it1_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-0.551025391,0.365626543,0,True,0.455117449,0.455117449
17,it2_B001,hls_vadd,0,benign,0,config_001/vfpga_c001_0.bin,-0.568847656,0.361502765,0,True,0.448637933,0.448637933
18,it2_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.563842773,0.362658783,0,True,0.450450105,0.450450105
19,it2_B021,euclidean,0,benign,0,config_021/vfpga_c021_0.bin,-0.892761230,0.290540335,0,True,0.343251634,0.343251634
20,it2_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-2.201354980,0.099628877,0,True,0.104948242,0.104948242
21,it2_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-3.648681641,0.025365275,0,True,0.025692519,0.025692519
22,it2_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-1.895385742,0.130631609,0,True,0.139988319,0.139988319
23,it2_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-3.336975098,0.034324280,0,True,0.034927195,0.034927195
24,it1_S013,ro_20000,1,standalone,20000,config_088/vfpga_c088_0.bin,9.859436035,0.999947751,1,True,0.000052250,0.000052250
25,it1_S026,ro_18000,1,standalone,18000,config_101/vfpga_c101_0.bin,8.825988770,0.999853155,1,True,0.000146855,0.000146855
26,it1_S039,ro_14000,1,standalone,14000,config_114/vfpga_c114_0.bin,6.405761719,0.998350713,1,True,0.001650648,0.001650648
27,it1_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,10.491271973,0.999972223,1,True,0.000027777,0.000027777
28,it1_S066,ro_8192,1,standalone,8192,config_141/vfpga_c141_0.bin,0.156555176,0.539059050,1,True,0.617930159,0.617930159
