sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-0.666015625,0.339389582,0,True,0.414590996,0.414590996
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,-2.648559570,0.066077845,0,True,0.068362190,0.068362190
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,-0.530395508,0.370424647,0,True,0.462709729,0.462709729
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-0.329833984,0.418281018,0,True,0.541767796,0.541767796
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-1.127563477,0.244611033,0,True,0.280522474,0.280522474
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,-0.500366211,0.377454612,0,True,0.473938740,0.473938740
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,-1.981140137,0.121197351,0,True,0.129194924,0.129194924
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-1.703552246,0.154001891,0,True,0.167238154,0.167238154
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-1.112792969,0.247350560,0,True,0.284155710,0.284155710
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-1.931518555,0.126582594,0,True,0.135341710,0.135341710
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,-1.150085449,0.240473476,0,True,0.275060034,0.275060034
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.123535156,0.469155427,0,True,0.633286008,0.633286008
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-1.860778809,0.134612301,0,True,0.144577666,0.144577666
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-2.358215332,0.086414985,0,True,0.090378843,0.090378843
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-2.157348633,0.103646515,0,True,0.109420429,0.109420429
15,it2_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-2.286132812,0.092277966,0,True,0.096817077,0.096817077
16,it2_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-1.242004395,0.224087285,0,True,0.253715245,0.253715245
17,it2_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-3.065429688,0.044555985,0,True,0.045579109,0.045579109
18,it2_B057,perf_fpga_nodbg,0,benign,0,config_057/vfpga_c057_0.bin,-3.245544434,0.037487322,0,True,0.038208041,0.038208041
19,it2_B059,euclidean_nodbg,0,benign,0,config_059/vfpga_c059_0.bin,-2.212951660,0.098593440,0,True,0.103798891,0.103798891
20,it2_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-4.163146973,0.015320160,0,True,0.015438726,0.015438726
21,it2_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-3.218322754,0.038481997,0,True,0.039241991,0.039241991
22,it2_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-2.069213867,0.112125277,0,True,0.118924623,0.118924623
23,it1_S012,ro_19000,1,standalone,19000,config_087/vfpga_c087_0.bin,4.959167480,0.993030151,1,True,0.006994252,0.006994252
24,it1_S022,ro_10000,1,standalone,10000,config_097/vfpga_c097_0.bin,1.161193848,0.761549576,1,True,0.272400006,0.272400006
25,it1_S025,ro_16000,1,standalone,16000,config_100/vfpga_c100_0.bin,3.569885254,0.972612133,1,True,0.027769907,0.027769907
26,it1_S028,ro_20000,1,standalone,20000,config_103/vfpga_c103_0.bin,5.227111816,0.994659663,1,True,0.005354648,0.005354648
27,it1_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,5.213562012,0.994587204,1,True,0.005427498,0.005427498
28,it1_S042,ro_19000,1,standalone,19000,config_117/vfpga_c117_0.bin,4.205200195,0.985301470,1,True,0.014807623,0.014807623
29,it1_S052,ro_10000,1,standalone,10000,config_127/vfpga_c127_0.bin,0.989379883,0.728965420,1,True,0.316128983,0.316128983
30,it1_S056,ro_18000,1,standalone,18000,config_131/vfpga_c131_0.bin,3.374328613,0.966892536,1,True,0.033667921,0.033667921
31,it1_S058,ro_20000,1,standalone,20000,config_133/vfpga_c133_0.bin,4.117370605,0.983973740,1,True,0.016156069,0.016156069
32,it1_S071,ro_18000,1,standalone,18000,config_146/vfpga_c146_0.bin,4.778625488,0.991662550,1,True,0.008372401,0.008372401
33,it2_S002,ro_10000,1,standalone,10000,config_077/vfpga_c077_0.bin,1.223815918,0.772734383,1,True,0.257819908,0.257819908
34,it2_S003,ro_11000,1,standalone,11000,config_078/vfpga_c078_0.bin,1.870300293,0.866493020,1,True,0.143301225,0.143301225
35,it2_S005,ro_13000,1,standalone,13000,config_080/vfpga_c080_0.bin,2.733337402,0.938965382,1,True,0.062976667,0.062976667
36,it2_S007,ro_15000,1,standalone,15000,config_082/vfpga_c082_0.bin,2.301452637,0.908997274,1,True,0.095413183,0.095413183
37,it2_S017,ro_10000,1,standalone,10000,config_092/vfpga_c092_0.bin,-0.198303223,0.450586019,0,False,0.797206280,0.797206280
38,it2_S018,ro_11000,1,standalone,11000,config_093/vfpga_c093_0.bin,0.411437988,0.601432631,1,True,0.508440751,0.508440751
39,it2_S019,ro_12000,1,standalone,12000,config_094/vfpga_c094_0.bin,1.158264160,0.761017161,1,True,0.273099371,0.273099371
40,it2_S022,ro_15000,1,standalone,15000,config_097/vfpga_c097_0.bin,2.207336426,0.900906393,1,True,0.104353920,0.104353920
41,it2_S026,ro_19000,1,standalone,19000,config_101/vfpga_c101_0.bin,3.823852539,0.978623453,1,True,0.021608335,0.021608335
42,it2_S034,ro_12000,1,standalone,12000,config_109/vfpga_c109_0.bin,0.453430176,0.611454479,1,True,0.491914769,0.491914769
43,it2_S035,ro_13000,1,standalone,13000,config_110/vfpga_c110_0.bin,0.365905762,0.590469297,1,True,0.526837640,0.526837640
44,it2_S054,ro_17000,1,standalone,17000,config_129/vfpga_c129_0.bin,3.149963379,0.958907279,1,True,0.041960894,0.041960894
45,it2_S060,ro_8000,1,standalone,8000,config_135/vfpga_c135_0.bin,0.596252441,0.644798457,1,True,0.438817481,0.438817481
46,it2_S074,ro_22000,1,standalone,22000,config_149/vfpga_c149_0.bin,4.984680176,0.993204528,1,True,0.006818666,0.006818666
