sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-2.673828125,0.064535477,0,True,0.066712057,0.066712057
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-2.850585938,0.054651037,0,True,0.056201147,0.056201147
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-2.691406250,0.063482362,0,True,0.065586923,0.065586923
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-3.609375000,0.026355353,0,True,0.026708881,0.026708881
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-2.547851562,0.072570952,0,True,0.075338985,0.075338985
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-2.877929688,0.053255424,0,True,0.054725941,0.054725941
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-2.078125000,0.111241207,0,True,0.117929404,0.117929404
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-2.081054688,0.110951888,0,True,0.117603926,0.117603926
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-1.791015625,0.142948250,0,True,0.154256977,0.154256977
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-1.782226562,0.144028416,0,True,0.155518100,0.155518100
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-1.853515625,0.135460651,0,True,0.145558458,0.145558458
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-2.643554688,0.066387376,0,True,0.068693676,0.068693676
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-2.408203125,0.082549302,0,True,0.086156436,0.086156436
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-2.590820312,0.069731551,0,True,0.072282080,0.072282080
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-1.780273438,0.144269373,0,True,0.155799641,0.155799641
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-2.548828125,0.072505252,0,True,0.075268148,0.075268148
