sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss,fold
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-2.870330811,0.053639857,0,True,0.055132081,0.055132081,0
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-2.918010712,0.051270377,0,True,0.052631428,0.052631428,0
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-2.844532013,0.054964654,0,True,0.056532949,0.056532949,0
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-3.642536163,0.025517647,0,True,0.025848869,0.025848869,0
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-2.695831299,0.063219790,0,True,0.065306592,0.065306592,0
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-3.048305511,0.045290686,0,True,0.046348368,0.046348368,0
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-2.147819519,0.104535157,0,True,0.110412318,0.110412318,0
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-2.211345673,0.098736261,0,True,0.103957346,0.103957346,0
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-1.945457458,0.125049521,0,True,0.133587990,0.133587990,0
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-1.916797638,0.128219097,0,True,0.137217145,0.137217145,0
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-2.006973267,0.118472716,0,True,0.126099326,0.126099326,0
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-2.677871704,0.064291793,0,True,0.066451595,0.066451595,0
