sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-0.001149510,0.499712622,0,True,0.692572590,0.692572590
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.028686924,0.492828761,0,True,0.678906583,0.678906583
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-0.010924852,0.497268814,0,True,0.687699674,0.687699674
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-0.005422873,0.498644285,0,True,0.690439420,0.690439420
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.041652549,0.489588368,0,True,0.672537757,0.672537757
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-0.019726297,0.495068586,0,True,0.683332672,0.683332672
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,0.021741832,0.505435244,1,False,0.704077184,0.704077184
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.038565654,0.509640219,1,False,0.712615910,0.712615910
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,0.019538367,0.504884436,1,False,0.702964082,0.702964082
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,0.001962523,0.500490630,1,False,0.694128923,0.694128923
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,0.000583778,0.500145944,1,False,0.693439112,0.693439112
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-0.004344208,0.498913950,0,True,0.690977436,0.690977436
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,0.002938556,0.500734638,1,False,0.694617538,0.694617538
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.037918855,0.509478578,1,False,0.712286327,0.712286327
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.026014829,0.506503340,1,False,0.706239189,0.706239189
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,0.050678466,0.512666905,1,False,0.718807417,0.718807417
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,0.020405041,0.505101083,1,False,0.703401746,0.703401746
