sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.363790065,0.410042409,0,True,0.527704624,0.527704624
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-0.205917656,0.448701721,0,True,0.595479275,0.595479275
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-0.295217335,0.426727060,0,True,0.556393340,0.556393340
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,-0.016084667,0.495978920,0,True,0.685137186,0.685137186
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.367918640,0.409044047,0,True,0.526013794,0.526013794
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,-0.288147300,0.428457499,0,True,0.559416431,0.559416431
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-0.361059546,0.410703104,0,True,0.528825154,0.528825154
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-0.086931556,0.478280787,0,True,0.650625742,0.650625742
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,0.004246924,0.501061729,1,False,0.695272897,0.695272897
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-0.197777212,0.450716240,0,True,0.599140105,0.599140105
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-0.401987940,0.400834810,0,True,0.512217942,0.512217942
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.205982476,0.448685686,0,True,0.595450190,0.595450190
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-0.257145494,0.436065538,0,True,0.572817236,0.572817236
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.231676847,0.442338469,0,True,0.584003076,0.584003076
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-0.254333466,0.436757174,0,True,0.574044437,0.574044437
15,it1_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-0.199058205,0.450399124,0,True,0.598562943,0.598562943
16,it1_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-0.082671165,0.479343972,0,True,0.652665670,0.652665670
17,it2_B001,hls_vadd,0,benign,0,config_001/vfpga_c001_0.bin,-0.227999002,0.443245893,0,True,0.585631597,0.585631597
18,it2_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.162896961,0.459365574,0,True,0.615011967,0.615011967
19,it2_B021,euclidean,0,benign,0,config_021/vfpga_c021_0.bin,-0.064974278,0.483762143,0,True,0.661187656,0.661187656
20,it2_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-0.116962880,0.470792570,0,True,0.636374806,0.636374806
21,it2_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.331702679,0.417826393,0,True,0.540986582,0.540986582
22,it2_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-0.154161870,0.461535680,0,True,0.619034044,0.619034044
23,it2_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-0.292412370,0.427413382,0,True,0.557591257,0.557591257
24,it1_S013,ro_20000,1,standalone,20000,config_088/vfpga_c088_0.bin,0.194415092,0.548451259,1,True,0.600656866,0.600656866
25,it1_S026,ro_18000,1,standalone,18000,config_101/vfpga_c101_0.bin,-0.133942932,0.466564241,0,False,0.762359561,0.762359561
26,it1_S039,ro_14000,1,standalone,14000,config_114/vfpga_c114_0.bin,-0.036237802,0.490941541,0,False,0.711430220,0.711430220
27,it1_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,0.063783556,0.515940485,1,True,0.661763859,0.661763859
28,it1_S066,ro_8192,1,standalone,8192,config_141/vfpga_c141_0.bin,-0.197923839,0.450679940,0,False,0.796997859,0.796997859
29,it2_S008,ro_16000,1,standalone,16000,config_083/vfpga_c083_0.bin,0.278445244,0.569165014,1,True,0.563584881,0.563584881
30,it2_S009,ro_17000,1,standalone,17000,config_084/vfpga_c084_0.bin,0.130750149,0.532641049,1,True,0.629907536,0.629907536
