sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-0.134009153,0.466547759,0,True,0.628385733,0.628385733
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-1.388119340,0.199708163,0,True,0.222778822,0.222778822
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-0.492359757,0.379337827,0,True,0.476968350,0.476968350
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-0.310927421,0.422888382,0,True,0.549719586,0.549719586
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-1.065272927,0.256303082,0,True,0.296121695,0.296121695
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-0.583562016,0.358113386,0,True,0.443343605,0.443343605
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,0.497388124,0.621845335,1,False,0.972452000,0.972452000
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.963069022,0.723735853,1,False,1.286397818,1.286397818
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,0.214422643,0.553401215,1,False,0.806094660,0.806094660
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-0.282180071,0.429919384,0,True,0.561977496,0.561977496
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-0.037774689,0.490557450,0,True,0.674438191,0.674438191
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-0.564740479,0.362451315,0,True,0.450124637,0.450124637
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,0.194297791,0.548422209,1,False,0.795007626,0.795007626
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.619722366,0.650155402,1,False,1.050266230,1.050266230
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.297427237,0.573813463,1,False,0.852878149,0.852878149
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,1.285903931,0.783453080,1,False,1.529948035,1.529948035
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-0.091910861,0.477038447,0,True,0.648247329,0.648247329
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-0.430887520,0.393914420,0,True,0.500734081,0.500734081
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,0.175247788,0.543700162,1,False,0.784605146,0.784605146
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,0.078662567,0.519655507,1,False,0.733251740,0.733251740
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,0.589638054,0.643282094,1,False,1.030809990,1.030809990
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-0.207398713,0.448335382,0,True,0.594814993,0.594814993
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-1.255039215,0.221829046,0,True,0.250809043,0.250809043
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-0.815641344,0.306689664,0,True,0.366277565,0.366277565
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,0.527473748,0.628893711,1,True,0.463793017,0.463793017
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,0.428548425,0.605526993,1,True,0.501656138,0.501656138
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,0.264305115,0.565694288,1,True,0.569701473,0.569701473
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,1.310449123,0.787588301,1,True,0.238779787,0.238779787
28,it1_S037,ro_10000,1,standalone,10000,config_112/vfpga_c112_0.bin,1.439431667,0.808366626,1,True,0.212739578,0.212739578
29,it1_S040,ro_16000,1,standalone,16000,config_115/vfpga_c115_0.bin,0.646208227,0.656155487,1,True,0.421357495,0.421357495
30,it1_S055,ro_16000,1,standalone,16000,config_130/vfpga_c130_0.bin,1.257155776,0.778536102,1,True,0.250339915,0.250339915
31,it1_S057,ro_19000,1,standalone,19000,config_132/vfpga_c132_0.bin,1.585961580,0.830047167,1,True,0.186272752,0.186272752
32,it1_S069,ro_14000,1,standalone,14000,config_144/vfpga_c144_0.bin,0.444339097,0.609292464,1,True,0.495456891,0.495456891
