sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-2.066406250,0.112405089,0,True,0.119239821,0.119239821
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-4.125000000,0.015906392,0,True,0.016034256,0.016034256
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-1.335937500,0.208178929,0,True,0.233419833,0.233419833
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-4.171875000,0.015189049,0,True,0.015305584,0.015305584
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,-4.023437500,0.017576883,0,True,0.017733191,0.017733191
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-6.363281250,0.001720735,0,True,0.001722218,0.001722218
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-5.722656250,0.003260346,0,True,0.003265673,0.003265673
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-5.027343750,0.006513499,0,True,0.006534804,0.006534804
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,4.285156250,0.986415607,1,False,4.298833755,4.298833755
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,4.714843750,0.991118325,1,False,4.723765102,4.723765102
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-1.453125000,0.189521091,0,True,0.210129961,0.210129961
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,2.878906250,0.946793793,1,False,2.933580208,2.933580208
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-2.417968750,0.081812712,0,True,0.085353892,0.085353892
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,1.976562500,0.878314245,1,False,2.106313339,2.106313339
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-6.894531250,0.001012286,0,True,0.001012799,0.001012799
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-1.613281250,0.166133553,0,True,0.181682025,0.181682025
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-1.160156250,0.238638895,0,True,0.272647520,0.272647520
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-2.636718750,0.066812326,0,True,0.069148947,0.069148947
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-2.761718750,0.059428221,0,True,0.061267313,0.061267313
19,it2_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-4.593750000,0.010013571,0,True,0.010064044,0.010064044
20,it2_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-1.843750000,0.136608390,0,True,0.146886913,0.146886913
21,it2_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,1.859375000,0.865224083,1,False,2.004141751,2.004141751
22,it2_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-3.339843750,0.034229323,0,True,0.034828867,0.034828867
23,it2_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-4.902343750,0.007374365,0,True,0.007401690,0.007401690
24,it1_S007,ro_10000,1,standalone,10000,config_082/vfpga_c082_0.bin,2.214843750,0.901574588,1,True,0.103612503,0.103612503
25,it1_S010,ro_16000,1,standalone,16000,config_085/vfpga_c085_0.bin,2.792968750,0.942294684,1,True,0.059437225,0.059437225
26,it1_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,-3.015625000,0.046724959,0,False,3.063476811,3.063476811
27,it1_S021,ro_8192,1,standalone,8192,config_096/vfpga_c096_0.bin,-0.714843750,0.328529433,0,False,1.113128846,1.113128846
28,it1_S041,ro_18000,1,standalone,18000,config_116/vfpga_c116_0.bin,2.109375000,0.891811045,1,True,0.114501001,0.114501001
29,it1_S043,ro_20000,1,standalone,20000,config_118/vfpga_c118_0.bin,6.972656250,0.999063717,1,True,0.000936721,0.000936721
30,it1_S044,ro_22000,1,standalone,22000,config_119/vfpga_c119_0.bin,1.652343750,0.839207563,1,True,0.175297209,0.175297209
31,it1_S051,ro_8192,1,standalone,8192,config_126/vfpga_c126_0.bin,4.222656250,0.985552147,1,True,0.014553239,0.014553239
32,it1_S053,ro_12000,1,standalone,12000,config_128/vfpga_c128_0.bin,6.156250000,0.997884297,1,True,0.002117945,0.002117945
33,it1_S070,ro_16000,1,standalone,16000,config_145/vfpga_c145_0.bin,10.183593750,0.999962216,1,True,0.000037784,0.000037784
34,it2_S001,ro_9000,1,standalone,9000,config_076/vfpga_c076_0.bin,12.320312500,0.999995540,1,True,0.000004460,0.000004460
35,it2_S010,ro_18000,1,standalone,18000,config_085/vfpga_c085_0.bin,7.917968750,0.999635991,1,True,0.000364075,0.000364075
36,it2_S011,ro_19000,1,standalone,19000,config_086/vfpga_c086_0.bin,5.710937500,0.996701349,1,True,0.003304104,0.003304104
37,it2_S012,ro_20000,1,standalone,20000,config_087/vfpga_c087_0.bin,8.152343750,0.999712024,1,True,0.000288018,0.000288018
38,it2_S021,ro_14000,1,standalone,14000,config_096/vfpga_c096_0.bin,8.976562500,0.999873680,1,True,0.000126328,0.000126328
39,it2_S025,ro_18000,1,standalone,18000,config_100/vfpga_c100_0.bin,12.910156250,0.999997527,1,True,0.000002473,0.000002473
40,it2_S027,ro_20000,1,standalone,20000,config_102/vfpga_c102_0.bin,5.031250000,0.993511730,1,True,0.006509410,0.006509410
41,it2_S028,ro_21000,1,standalone,21000,config_103/vfpga_c103_0.bin,5.859375000,0.997155090,1,True,0.002848964,0.002848964
42,it2_S037,ro_15000,1,standalone,15000,config_112/vfpga_c112_0.bin,-2.406250000,0.082697343,0,False,2.492567810,2.492567810
43,it2_S038,ro_16000,1,standalone,16000,config_113/vfpga_c113_0.bin,1.972656250,0.877896135,1,True,0.130226990,0.130226990
44,it2_S039,ro_17000,1,standalone,17000,config_114/vfpga_c114_0.bin,4.093750000,0.983596967,1,True,0.016539052,0.016539052
45,it2_S055,ro_18000,1,standalone,18000,config_130/vfpga_c130_0.bin,5.308593750,0.995075490,1,True,0.004936676,0.004936676
46,it2_S063,ro_11000,1,standalone,11000,config_138/vfpga_c138_0.bin,3.351562500,0.966155965,1,True,0.034430004,0.034430004
