sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss,fold
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-7.851562500,0.000388992,0,True,0.000389068,0.000389068,0
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-6.742187500,0.001178672,0,True,0.001179367,0.001179367,0
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-9.328125000,0.000088881,0,True,0.000088885,0.000088885,0
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-2.882812500,0.053009772,0,True,0.054466505,0.054466505,0
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-6.203125000,0.002019014,0,True,0.002021055,0.002021055,0
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-4.550781250,0.010448625,0,True,0.010503596,0.010503596,0
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-5.648437500,0.003510649,0,True,0.003516826,0.003516826,0
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-5.058593750,0.006314365,0,True,0.006334385,0.006334385,0
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-6.441406250,0.001591626,0,True,0.001592894,0.001592894,0
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-8.492187500,0.000205022,0,True,0.000205043,0.000205043,0
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-1.429687500,0.193147380,0,True,0.214614254,0.214614254,0
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-4.496093750,0.011029470,0,True,0.011090746,0.011090746,0
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-2.453125000,0.079210324,0,True,0.082523634,0.082523634,0
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.621093750,0.650467264,1,False,1.051158057,1.051158057,0
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-2.140625000,0.105210537,0,True,0.111166825,0.111166825,0
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-2.917968750,0.051272418,0,True,0.052633580,0.052633580,0
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-0.476562500,0.383064169,0,True,0.482990262,0.482990262,0
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-7.433593750,0.000590710,0,True,0.000590885,0.000590885,0
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,-5.750000000,0.003172683,0,True,0.003177726,0.003177726,0
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,1.648437500,0.838679762,1,False,1.824363835,1.824363835,0
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,4.511718750,0.989139669,1,False,4.522638485,4.522638485,0
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-4.765625000,0.008445627,0,True,0.008481493,0.008481493,0
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-6.054687500,0.002341341,0,True,0.002344086,0.002344086,0
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-2.203125000,0.099470214,0,True,0.104772038,0.104772038,0
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,-0.792968750,0.311531577,0,False,1.166254575,1.166254575,0
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,-1.296875000,0.214691419,0,False,1.538553542,1.538553542,0
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,6.496093750,0.998492951,1,True,0.001508186,0.001508186,0
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,1.089843750,0.748352298,1,True,0.289881426,0.289881426,0
