sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,0.129882812,0.532425133,1,False,0.760195799,0.760195799
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,0.072265625,0.518058548,1,False,0.729932641,0.729932641
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,0.172851562,0.543105619,1,False,0.783303030,0.783303030
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,0.120117188,0.529993243,1,False,0.755008208,0.755008208
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,0.075195312,0.518789975,1,False,0.731451462,0.731451462
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,0.128906250,0.532182011,1,False,0.759675972,0.759675972
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,0.108398438,0.527073105,1,False,0.748814458,0.748814458
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,0.083007812,0.520740046,1,False,0.735512127,0.735512127
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,0.120117188,0.529993243,1,False,0.755008208,0.755008208
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,0.126953125,0.531695722,1,False,0.758637029,0.758637029
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,0.111328125,0.527803321,1,False,0.750359688,0.750359688
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,0.132812500,0.533154405,1,False,0.761756707,0.761756707
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,0.207031250,0.551573731,1,False,0.802011007,0.802011007
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.168945312,0.542136153,1,False,0.781183417,0.781183417
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,0.123046875,0.530722965,1,False,0.756561992,0.756561992
15,it2_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,0.152343750,0.538012448,1,False,0.772217332,0.772217332
16,it2_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,0.107421875,0.526829674,1,False,0.748299857,0.748299857
17,it2_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,0.137695312,0.534369541,1,False,0.764362967,0.764362967
18,it2_B057,perf_fpga_nodbg,0,benign,0,config_057/vfpga_c057_0.bin,0.105468750,0.526342773,1,False,0.747271369,0.747271369
19,it2_B059,euclidean_nodbg,0,benign,0,config_059/vfpga_c059_0.bin,0.137695312,0.534369541,1,False,0.764362967,0.764362967
20,it2_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,0.069335938,0.517327043,1,False,0.728415963,0.728415963
