layer,shape,n_values_per_sample,mean_abs_keras,mean_abs_qkeras,mae,rmse,max_abs,rel_rmse,cosine_similarity,reuse_factor,result_precision,accum_precision,weight_precision
gap,"(1, 1, 16)",16,0.565643310546875,0.565643310546875,0.048370361328125,0.0696773085826223,0.16015625,0.07888219007003967,0.9977568501268472,1,auto,auto,
conv1,"(32, 32, 16)",16384,2.036163330078125,2.036163330078125,0.0025177001953125,0.02465188655497906,0.5,0.01050810805557132,0.9999426834711076,1,auto,auto,"fixed<2,1,TRN,WRAP,0>"
act1,"(32, 32, 16)",16384,0.47315216064453125,0.47315216064453125,0.000396728515625,0.013611601612254429,0.5,0.016994809365273124,0.9998454310293817,1,"ufixed<2,1,RND_CONV,SAT,0>",,
pool1,"(16, 16, 16)",4096,0.565643310546875,0.565643310546875,0.0003662109375,0.012192657592029855,0.5,0.01345688044806858,0.9998887662010049,1,auto,auto,
output_dense,"(1,)",1,0.010498046875,0.010498046875,0.010498046875,0.010498046875,0.015625,1.0,0.0,1,auto,auto,"fixed<2,1,TRN,WRAP,0>"
pool0,"(32, 32, 8)",8192,0.521575927734375,0.521575927734375,0.0001220703125,0.007679397758941673,0.5,0.0093130593999325,0.9999551317163753,1,auto,auto,
pad_conv1,"(34, 34, 8)",9248,0.46201881487889274,0.46201881487889274,0.00010813148788927336,0.007227668479003928,0.5,0.0093130593999325,0.9999551317163753,1,auto,,
act0,"(64, 64, 8)",32768,0.4457740783691406,0.4457740783691406,8.0108642578125e-05,0.006192790632234879,0.5,0.00799481450401989,0.9999666122491131,1,"ufixed<2,1,RND_CONV,SAT,0>",,
conv0,"(64, 64, 8)",32768,1.2785614972650627,1.2785614972650627,0.0006174297349765823,0.000809280557937226,0.0039272308349609375,0.0005165024549742952,0.999999900551038,1,auto,auto,"fixed<2,1,TRN,WRAP,0>"
pad_conv0,"(132, 132, 1)",17424,0.8573087178783104,0.8573087178783104,0.0002639969877643306,0.00045957961463377036,0.000972747802734375,0.0005094566319584558,0.9999999041934331,1,auto,,
