sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.066894531,0.516717399,1,False,0.727153702,0.727153702
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,0.039062500,0.509764383,1,False,0.712869153,0.712869153
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-0.008789062,0.497802749,0,True,0.688762305,0.688762305
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,0.100097656,0.525003541,1,False,0.744447929,0.744447929
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,0.033691406,0.508422055,1,False,0.710134766,0.710134766
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,0.022949219,0.505737053,1,False,0.704687622,0.704687622
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,0.061035156,0.515254054,1,False,0.724130348,0.724130348
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.040527344,0.510130449,1,False,0.713616147,0.713616147
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,0.000000000,0.500000000,1,False,0.693147181,0.693147181
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,0.013671875,0.503417916,1,False,0.700006483,0.700006483
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,0.044433594,0.511106571,1,False,0.715610750,0.715610750
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,0.065429688,0.516351589,1,False,0.726397059,0.726397059
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,0.069335938,0.517327043,1,False,0.728415963,0.728415963
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.098144531,0.524516457,1,False,0.743423007,0.743423007
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.063964844,0.515985761,1,False,0.725640953,0.725640953
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,0.103027344,0.525734077,1,False,0.745987095,0.745987095
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,0.112792969,0.528168385,1,False,0.751133104,0.751133104
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,0.050781250,0.512692585,1,False,0.718860113,0.718860113
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,0.047851562,0.511960608,1,False,0.717359156,0.717359156
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,0.064453125,0.516107705,1,False,0.725892929,0.725892929
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,0.120605469,0.530114873,1,False,0.755267024,0.755267024
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,0.045898438,0.511472595,1,False,0.716359710,0.716359710
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,0.008300781,0.502075183,1,False,0.697306184,0.697306184
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,0.023437500,0.505859107,1,False,0.704934594,0.704934594
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,0.078125000,0.519521322,1,True,0.654847426,0.654847426
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,0.094238281,0.523542150,1,True,0.647137736,0.647137736
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,0.101562500,0.525368822,1,True,0.643654744,0.643654744
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,0.044921875,0.511228581,1,True,0.670938469,0.670938469
28,it1_S037,ro_10000,1,standalone,10000,config_112/vfpga_c112_0.bin,0.056640625,0.514156372,1,True,0.665227835,0.665227835
29,it1_S040,ro_16000,1,standalone,16000,config_115/vfpga_c115_0.bin,0.063476562,0.515863814,1,True,0.661912474,0.661912474
30,it1_S055,ro_16000,1,standalone,16000,config_130/vfpga_c130_0.bin,0.084472656,0.521105615,1,True,0.651802541,0.651802541
31,it1_S057,ro_19000,1,standalone,19000,config_132/vfpga_c132_0.bin,0.133789062,0.533397464,1,True,0.628488422,0.628488422
32,it1_S069,ro_14000,1,standalone,14000,config_144/vfpga_c144_0.bin,0.098632812,0.524638232,1,True,0.645046336,0.645046336
