epoch,train_loss,val_bce_loss,val_log_loss,val_benign_log_loss,val_standalone_log_loss,val_brier_score,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_mcc,val_ece,val_roc_auc,val_pr_auc,val_optimal_threshold,val_optimal_accuracy,val_optimal_f1,val_benign_mean_score,val_standalone_mean_score,aug_val_bce_loss,aug_val_log_loss,aug_val_benign_log_loss,aug_val_standalone_log_loss,aug_val_brier_score,aug_val_accuracy,aug_val_balanced_accuracy,aug_val_precision,aug_val_recall,aug_val_f1,aug_val_mcc,aug_val_ece,aug_val_roc_auc,aug_val_pr_auc,aug_val_optimal_threshold,aug_val_optimal_accuracy,aug_val_optimal_f1,aug_val_benign_mean_score,aug_val_standalone_mean_score
1,0.7154989838600159,0.7203644735179378,0.7203644709701319,0.929419492945241,0.5022201002134963,0.2633217498674261,0.48936170212765956,0.5,0.48936170212765956,1.0,0.6571428571428571,0.0,0.11584055423736572,0.4891304347826087,0.587918501807413,0.6071974039077759,0.5957446808510638,0.3448275862068966,0.6052151322364807,0.6051887273788452,0.7200147195097044,0.7200147155821193,0.9299035191966377,0.5010003118104479,0.2631544428751039,0.48936170212765956,0.5,0.48936170212765956,1.0,0.6571428571428571,0.0,0.11629897356033325,0.526268115942029,0.6084722439823875,0.6071974039077759,0.6382978723404256,0.45161290322580644,0.6054039597511292,0.6059284806251526
2,0.71538245677948,0.7203384797799561,0.7203384816457585,0.9291116637669289,0.502488204649755,0.2633093247393833,0.48936170212765956,0.5,0.48936170212765956,1.0,0.6571428571428571,0.0,0.11569911241531372,0.4782608695652174,0.5846502452147386,0.6069644689559937,0.5957446808510638,0.3870967741935484,0.6050936579704285,0.6050264835357666,0.71995508538721,0.7199550789935717,0.929521932226081,0.5012766234466055,0.26312590681227027,0.48936170212765956,0.5,0.48936170212765956,1.0,0.6571428571428571,0.0,0.11614012718200684,0.5217391304347826,0.5771432437481344,0.6069644689559937,0.5957446808510638,0.42424242424242425,0.6052532196044922,0.6057611703872681
3,0.7150903940200806,0.7203384797799561,0.7203384816457585,0.9291116637669289,0.502488204649755,0.2633093247393833,0.48936170212765956,0.5,0.48936170212765956,1.0,0.6571428571428571,0.0,0.11569911241531372,0.4782608695652174,0.5846502452147386,0.6069644689559937,0.5957446808510638,0.3870967741935484,0.6050936579704285,0.6050264835357666,0.71995508538721,0.7199550789935717,0.929521932226081,0.5012766234466055,0.26312590681227027,0.48936170212765956,0.5,0.48936170212765956,1.0,0.6571428571428571,0.0,0.11614012718200684,0.5217391304347826,0.5771432437481344,0.6069644689559937,0.5957446808510638,0.42424242424242425,0.6052532196044922,0.6057611703872681
4,0.7154500484466553,0.7203384797799561,0.7203384816457585,0.9291116637669289,0.502488204649755,0.2633093247393833,0.48936170212765956,0.5,0.48936170212765956,1.0,0.6571428571428571,0.0,0.11569911241531372,0.4782608695652174,0.5846502452147386,0.6069644689559937,0.5957446808510638,0.3870967741935484,0.6050936579704285,0.6050264835357666,0.71995508538721,0.7199550789935717,0.929521932226081,0.5012766234466055,0.26312590681227027,0.48936170212765956,0.5,0.48936170212765956,1.0,0.6571428571428571,0.0,0.11614012718200684,0.5217391304347826,0.5771432437481344,0.6069644689559937,0.5957446808510638,0.42424242424242425,0.6052532196044922,0.6057611703872681
5,0.7149030566215515,0.7202723854129692,0.7202723821203455,0.9288777181524305,0.5025972488694747,0.2632777429257221,0.48936170212765956,0.5,0.48936170212765956,1.0,0.6571428571428571,0.0,0.1156197190284729,0.4836956521739131,0.5882007704734246,0.6068480014801025,0.5957446808510638,0.3870967741935484,0.6050012707710266,0.6049605011940002,0.7199351375242657,0.7199351349699051,0.9293865152481183,0.5013771729404654,0.26311637022422557,0.48936170212765956,0.5,0.48936170212765956,1.0,0.6571428571428571,0.0,0.11608302593231201,0.5126811594202899,0.5869408729869664,0.6087103486061096,0.5957446808510638,0.3448275862068966,0.6051997542381287,0.6057003140449524
6,0.7109747529029846,0.7134509571126817,0.7134509555687573,0.8911840713782008,0.52799031298499,0.2599976271278273,0.48936170212765956,0.5,0.48936170212765956,1.0,0.6571428571428571,0.0,0.10044944286346436,0.473731884057971,0.5798923353924939,0.5920770764350891,0.5957446808510638,0.2962962962962963,0.5898292660713196,0.5897921323776245,0.7127567869892724,0.7127567867871115,0.8902896521787457,0.527505101161058,0.25966132668439806,0.48936170212765956,0.5,0.48936170212765956,1.0,0.6571428571428571,0.0,0.10040092468261719,0.5389492753623188,0.618380715940381,0.5916052460670471,0.5957446808510638,0.3870967741935484,0.5894591212272644,0.5900793075561523
7,0.7082239389419556,0.7121661780315457,0.712166194810273,0.8841458661259738,0.5327091464808461,0.2593752696519492,0.48936170212765956,0.5,0.48936170212765956,1.0,0.6571428571428571,0.0,0.0976111888885498,0.5217391304347826,0.6167462419666521,0.5879430770874023,0.6170212765957447,0.47058823529411764,0.5869320034980774,0.587015688419342,0.7116162421440795,0.7116162400267502,0.8833865496200448,0.5323776561033124,0.25910822171788384,0.48936170212765956,0.5,0.48936170212765956,1.0,0.6571428571428571,0.0,0.09754514694213867,0.5543478260869565,0.6072916787602647,0.5879430770874023,0.6170212765957447,0.47058823529411764,0.5866153836250305,0.587211012840271
8,0.7051284313201904,0.7095426280444322,0.7095426275664244,0.8671854030376185,0.5450458183790912,0.25809989140769174,0.48936170212765956,0.5,0.48936170212765956,1.0,0.6571428571428571,0.0,0.0904809832572937,0.4990942028985507,0.561446747949368,0.5797573328018188,0.574468085106383,0.5833333333333334,0.5798659324645996,0.5798182487487793,0.7088685001978238,0.7088685018618919,0.8665637647948706,0.5443169231492181,0.2577712548409646,0.48936170212765956,0.5,0.48936170212765956,1.0,0.6571428571428571,0.0,0.090553879737854,0.5978260869565217,0.6171628882585753,0.5795193910598755,0.6382978723404256,0.6666666666666666,0.5796026587486267,0.5802419781684875
9,0.7053455114364624,0.7091600239561736,0.7091600305846762,0.8638157940617535,0.5477801034781605,0.2579133817395744,0.48936170212765956,0.5,0.48936170212765956,1.0,0.6571428571428571,0.0,0.08898180723190308,0.4673913043478261,0.5350387819745368,0.5791624188423157,0.574468085106383,0.47368421052631576,0.578447699546814,0.578234851360321,0.7085284137722163,0.7085284200457285,0.8635021309083656,0.5468167217542813,0.25760518044990904,0.48936170212765956,0.5,0.48936170212765956,1.0,0.6571428571428571,0.0,0.08918642997741699,0.5615942028985508,0.5840055880360704,0.580233097076416,0.6170212765957447,0.47058823529411764,0.5783131122589111,0.5787934064865112
10,0.7054978013038635,0.7091600239561736,0.7091600305846762,0.8638157940617535,0.5477801034781605,0.2579133817395744,0.48936170212765956,0.5,0.48936170212765956,1.0,0.6571428571428571,0.0,0.08898180723190308,0.4673913043478261,0.5350387819745368,0.5791624188423157,0.574468085106383,0.47368421052631576,0.578447699546814,0.578234851360321,0.7085284137722163,0.7085284200457285,0.8635021309083656,0.5468167217542813,0.25760518044990904,0.48936170212765956,0.5,0.48936170212765956,1.0,0.6571428571428571,0.0,0.08918642997741699,0.5615942028985508,0.5840055880360704,0.580233097076416,0.6170212765957447,0.47058823529411764,0.5783131122589111,0.5787934064865112
