sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-0.072753906,0.481819542,0,True,0.657431723,0.657431723
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,-0.086914062,0.478285152,0,True,0.650634109,0.650634109
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,-0.088378906,0.477919644,0,True,0.649933764,0.649933764
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-0.059082031,0.485233787,0,True,0.664042437,0.664042437
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.079589844,0.480113036,0,True,0.654143868,0.654143868
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,-0.082031250,0.479503680,0,True,0.652972461,0.652972461
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,-0.061523438,0.484623990,0,True,0.662858529,0.662858529
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-0.086914062,0.478285152,0,True,0.650634109,0.650634109
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-0.086914062,0.478285152,0,True,0.650634109,0.650634109
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-0.086425781,0.478406994,0,True,0.650867676,0.650867676
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,-0.085449219,0.478650684,0,True,0.651334990,0.651334990
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.062500000,0.484380084,0,True,0.662385382,0.662385382
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-0.076171875,0.480966233,0,True,0.655786337,0.655786337
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-0.064453125,0.483892295,0,True,0.661439804,0.661439804
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-0.055175781,0.486209553,0,True,0.665939788,0.665939788
15,it2_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-0.073242188,0.481697634,0,True,0.657196489,0.657196489
16,it2_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-0.068847656,0.482794881,0,True,0.659315735,0.659315735
17,it2_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-0.083496094,0.479138095,0,True,0.652270330,0.652270330
18,it2_B057,perf_fpga_nodbg,0,benign,0,config_057/vfpga_c057_0.bin,-0.066894531,0.483282601,0,True,0.660259170,0.660259170
19,it2_B059,euclidean_nodbg,0,benign,0,config_059/vfpga_c059_0.bin,-0.071777344,0.482063364,0,True,0.657902369,0.657902369
20,it2_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-0.078125000,0.480478678,0,True,0.654847426,0.654847426
21,it2_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-0.081542969,0.479625546,0,True,0.653206623,0.653206623
22,it2_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-0.087890625,0.478041477,0,True,0.650167153,0.650167153
23,it1_S012,ro_19000,1,standalone,19000,config_087/vfpga_c087_0.bin,-0.043457031,0.489137452,0,False,0.715111742,0.715111742
24,it1_S022,ro_10000,1,standalone,10000,config_097/vfpga_c097_0.bin,-0.062988281,0.484258134,0,False,0.725137180,0.725137180
25,it1_S025,ro_16000,1,standalone,16000,config_100/vfpga_c100_0.bin,-0.044921875,0.488771419,0,False,0.715860344,0.715860344
26,it1_S028,ro_20000,1,standalone,20000,config_103/vfpga_c103_0.bin,-0.053710938,0.486575493,0,False,0.720363214,0.720363214
27,it1_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,-0.040039062,0.489991571,0,False,0.713367089,0.713367089
28,it1_S042,ro_19000,1,standalone,19000,config_117/vfpga_c117_0.bin,-0.017578125,0.495605582,0,False,0.701974866,0.701974866
29,it1_S052,ro_10000,1,standalone,10000,config_127/vfpga_c127_0.bin,-0.058105469,0.485477718,0,False,0.722621886,0.722621886
30,it1_S056,ro_18000,1,standalone,18000,config_131/vfpga_c131_0.bin,-0.048828125,0.487795393,0,False,0.717859237,0.717859237
31,it1_S058,ro_20000,1,standalone,20000,config_133/vfpga_c133_0.bin,-0.022949219,0.494262947,0,False,0.704687622,0.704687622
32,it1_S071,ro_18000,1,standalone,18000,config_146/vfpga_c146_0.bin,-0.059570312,0.485111824,0,False,0.723375849,0.723375849
33,it2_S002,ro_10000,1,standalone,10000,config_077/vfpga_c077_0.bin,-0.062500000,0.484380084,0,False,0.724885382,0.724885382
34,it2_S003,ro_11000,1,standalone,11000,config_078/vfpga_c078_0.bin,-0.061523438,0.484623990,0,False,0.724381966,0.724381966
35,it2_S005,ro_13000,1,standalone,13000,config_080/vfpga_c080_0.bin,-0.035156250,0.491211843,0,False,0.710879793,0.710879793
36,it2_S007,ro_15000,1,standalone,15000,config_082/vfpga_c082_0.bin,-0.069335938,0.482672957,0,False,0.728415963,0.728415963
37,it2_S017,ro_10000,1,standalone,10000,config_092/vfpga_c092_0.bin,-0.030761719,0.492310177,0,False,0.708646321,0.708646321
38,it2_S018,ro_11000,1,standalone,11000,config_093/vfpga_c093_0.bin,-0.070312500,0.482429113,0,False,0.728921284,0.728921284
39,it2_S019,ro_12000,1,standalone,12000,config_094/vfpga_c094_0.bin,-0.072753906,0.481819542,0,False,0.730185629,0.730185629
40,it2_S022,ro_15000,1,standalone,15000,config_097/vfpga_c097_0.bin,-0.058105469,0.485477718,0,False,0.722621886,0.722621886
