sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.000976562,0.499755859,0,True,0.692659019,0.692659019
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,0.019531250,0.504882657,1,False,0.702960489,0.702960489
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,0.009155273,0.502288802,1,False,0.697735295,0.697735295
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,0.005737305,0.501434322,1,False,0.696019947,0.696019947
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,0.004150391,0.501037596,1,False,0.695224529,0.695224529
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,0.001586914,0.500396728,1,False,0.693940952,0.693940952
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,0.003662109,0.500915526,1,False,0.694979912,0.694979912
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,0.001953125,0.500488281,1,False,0.694124220,0.694124220
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,0.015380859,0.503845139,1,False,0.700867181,0.700867181
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-0.002197266,0.499450684,0,True,0.692049151,0.692049151
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,0.004272461,0.501068114,1,False,0.695285693,0.695285693
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,0.003295898,0.500823974,1,False,0.694796488,0.694796488
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,0.005249023,0.501312253,1,False,0.695775136,0.695775136
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.006225586,0.498443609,0,True,0.690039232,0.690039232
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-0.002807617,0.499298096,0,True,0.691744357,0.691744357
15,it1_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-0.003540039,0.499114991,0,True,0.691378728,0.691378728
16,it1_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,0.002807617,0.500701904,1,False,0.694551974,0.694551974
17,it2_B001,hls_vadd,0,benign,0,config_001/vfpga_c001_0.bin,0.005004883,0.501251218,1,False,0.695652753,0.695652753
18,it2_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,0.013061523,0.503265334,1,False,0.699699268,0.699699268
19,it2_B021,euclidean,0,benign,0,config_021/vfpga_c021_0.bin,0.010864258,0.502716038,1,False,0.698594063,0.698594063
20,it2_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,0.015991211,0.503997718,1,False,0.701174751,0.701174751
21,it2_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,0.003417969,0.500854491,1,False,0.694857625,0.694857625
