sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.003280640,0.500820159,1,False,0.694788846,0.694788846
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.024406433,0.493898695,0,True,0.681018421,0.681018421
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-0.006431580,0.498392111,0,True,0.689936561,0.689936561
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-0.001190186,0.499702454,0,True,0.692552265,0.692552265
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.031044006,0.492239622,0,True,0.677745639,0.677745639
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-0.015228271,0.496193006,0,True,0.685562032,0.685562032
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,0.027374268,0.506843140,1,False,0.706927980,0.706927980
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.044807434,0.511199985,1,False,0.715801840,0.715801840
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,0.028251648,0.507062442,1,False,0.707372771,0.707372771
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,0.007240295,0.501810066,1,False,0.696773881,0.696773881
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,0.005790710,0.501447674,1,False,0.696046727,0.696046727
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,0.002258301,0.500564575,1,False,0.694276968,0.694276968
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,0.010330200,0.502582527,1,False,0.698325620,0.698325620
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.043045044,0.510759600,1,False,0.714901294,0.714901294
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.033119202,0.508279044,1,False,0.709843885,0.709843885
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,0.056251526,0.514059174,1,False,0.721668421,0.721668421
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,0.027648926,0.506911791,1,False,0.707067198,0.707067198
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-0.000671387,0.499832153,0,True,0.692811544,0.692811544
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,0.018203735,0.504550808,1,False,0.702290470,0.702290470
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,0.010581970,0.502645468,1,False,0.698452163,0.698452163
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,0.023597717,0.505899156,1,False,0.705015644,0.705015644
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,0.010856628,0.502714130,1,False,0.698590228,0.698590228
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-0.037452698,0.490637920,0,True,0.674596160,0.674596160
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-0.015884399,0.496028984,0,True,0.685236520,0.685236520
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,0.023704529,0.505925855,1,True,0.681365153,0.681365153
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,0.028060913,0.507014768,1,True,0.679215148,0.679215148
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,0.028816223,0.507203557,1,True,0.678842862,0.678842862
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,0.053634644,0.513405447,1,True,0.666689400,0.666689400
28,it1_S037,ro_10000,1,standalone,10000,config_112/vfpga_c112_0.bin,0.061447144,0.515356954,1,True,0.662895503,0.662895503
29,it1_S040,ro_16000,1,standalone,16000,config_115/vfpga_c115_0.bin,0.044708252,0.511175202,1,True,0.671042887,0.671042887
30,it1_S055,ro_16000,1,standalone,16000,config_130/vfpga_c130_0.bin,0.039985657,0.509995082,1,True,0.673354195,0.673354195
31,it1_S057,ro_19000,1,standalone,19000,config_132/vfpga_c132_0.bin,0.048942566,0.512233200,1,True,0.668975290,0.668975290
32,it1_S069,ro_14000,1,standalone,14000,config_144/vfpga_c144_0.bin,0.032409668,0.508101708,1,True,0.677073639,0.677073639
33,it1_S074,ro_22000,1,standalone,22000,config_149/vfpga_c149_0.bin,0.065025330,0.516250607,1,True,0.661162959,0.661162959
34,it2_S013,ro_21000,1,standalone,21000,config_088/vfpga_c088_0.bin,0.082626343,0.520644842,1,True,0.652687156,0.652687156
35,it2_S015,ro_8000,1,standalone,8000,config_090/vfpga_c090_0.bin,0.050125122,0.512528657,1,True,0.668398653,0.668398653
36,it2_S020,ro_13000,1,standalone,13000,config_095/vfpga_c095_0.bin,0.079689026,0.519911720,1,True,0.654096250,0.654096250
37,it2_S030,ro_8000,1,standalone,8000,config_105/vfpga_c105_0.bin,0.048973083,0.512240824,1,True,0.668960404,0.668960404
38,it2_S036,ro_14000,1,standalone,14000,config_111/vfpga_c111_0.bin,0.053543091,0.513382576,1,True,0.666733950,0.666733950
39,it2_S042,ro_20000,1,standalone,20000,config_117/vfpga_c117_0.bin,0.066978455,0.516738357,1,True,0.660218613,0.660218613
40,it2_S045,ro_8000,1,standalone,8000,config_120/vfpga_c120_0.bin,0.024124146,0.506030744,1,True,0.681157853,0.681157853
41,it2_S047,ro_10000,1,standalone,10000,config_122/vfpga_c122_0.bin,0.024536133,0.506133725,1,True,0.680954365,0.680954365
42,it2_S049,ro_12000,1,standalone,12000,config_124/vfpga_c124_0.bin,0.017326355,0.504331480,1,True,0.684521528,0.684521528
43,it2_S050,ro_13000,1,standalone,13000,config_125/vfpga_c125_0.bin,0.028594971,0.507148256,1,True,0.678951901,0.678951901
44,it2_S051,ro_14000,1,standalone,14000,config_126/vfpga_c126_0.bin,0.035751343,0.508936884,1,True,0.675431270,0.675431270
45,it2_S064,ro_12000,1,standalone,12000,config_139/vfpga_c139_0.bin,0.016456604,0.504114058,1,True,0.684952731,0.684952731
46,it2_S068,ro_16000,1,standalone,16000,config_143/vfpga_c143_0.bin,0.037322998,0.509329667,1,True,0.674659797,0.674659797
47,it2_S071,ro_19000,1,standalone,19000,config_146/vfpga_c146_0.bin,0.061866760,0.515461759,1,True,0.662692161,0.662692161
