sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-0.038490295,0.490378614,0,True,0.674087209,0.674087209
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-0.019752502,0.495062035,0,True,0.683319699,0.683319699
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.021789551,0.494552828,0,True,0.682311752,0.682311752
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.049324036,0.487671490,0,True,0.668789239,0.668789239
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-0.045494080,0.488628441,0,True,0.670658832,0.670658832
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-0.050567627,0.487360786,0,True,0.668182969,0.668182969
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-0.021873474,0.494531849,0,True,0.682270248,0.682270248
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-0.034393311,0.491402520,0,True,0.676098380,0.676098380
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,-0.027221680,0.493195000,0,True,0.679628965,0.679628965
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,-0.045654297,0.488588408,0,True,0.670580549,0.670580549
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-0.057830811,0.485546325,0,True,0.664649767,0.664649767
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-0.039466858,0.490134566,0,True,0.673608443,0.673608443
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.023765564,0.494058889,0,True,0.681334997,0.681334997
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.033973694,0.491507393,0,True,0.676304603,0.676304603
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.014450073,0.496387545,0,True,0.685948244,0.685948244
15,it2_B014,euclidean_nodbg,0,benign,0,config_014/vfpga_c014_0.bin,-0.021896362,0.494526128,0,True,0.682258930,0.682258930
16,it2_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,0.002227783,0.500556946,1,False,0.694261693,0.694261693
17,it2_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-0.020820618,0.494795034,0,True,0.682791058,0.682791058
18,it2_B037,cosine,0,benign,0,config_037/vfpga_c037_0.bin,-0.018959045,0.495260381,0,True,0.683712588,0.683712588
19,it2_B058,multithreading_aes_nodbg,0,benign,0,config_058/vfpga_c058_0.bin,-0.031730652,0.492068003,0,True,0.677407704,0.677407704
20,it2_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.044387817,0.488904867,0,True,0.671199536,0.671199536
21,it2_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.026145935,0.493463889,0,True,0.680159662,0.680159662
22,it2_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-0.015693665,0.496076664,0,True,0.685331134,0.685331134
23,it2_B071,user_interrupts_nodbg,0,benign,0,config_071/vfpga_c071_0.bin,-0.093254089,0.476703358,0,True,0.647606783,0.647606783
24,it1_S006,ro_8192,1,standalone,8192,config_081/vfpga_c081_0.bin,-0.014381409,0.496404710,0,False,0.700363738,0.700363738
25,it1_S011,ro_18000,1,standalone,18000,config_086/vfpga_c086_0.bin,-0.006774902,0.498306281,0,False,0.696540369,0.696540369
