sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss,fold
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.003280640,0.500820159,1,False,0.694788846,0.694788846,0
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.024406433,0.493898695,0,True,0.681018421,0.681018421,0
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-0.006431580,0.498392111,0,True,0.689936561,0.689936561,0
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-0.001190186,0.499702454,0,True,0.692552265,0.692552265,0
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.031044006,0.492239622,0,True,0.677745639,0.677745639,0
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-0.015228271,0.496193006,0,True,0.685562032,0.685562032,0
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,0.027374268,0.506843140,1,False,0.706927980,0.706927980,0
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.044807434,0.511199985,1,False,0.715801840,0.715801840,0
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,0.028251648,0.507062442,1,False,0.707372771,0.707372771,0
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,0.007240295,0.501810066,1,False,0.696773881,0.696773881,0
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,0.005790710,0.501447674,1,False,0.696046727,0.696046727,0
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,0.002258301,0.500564575,1,False,0.694276968,0.694276968,0
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,0.010330200,0.502582527,1,False,0.698325620,0.698325620,0
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.043045044,0.510759600,1,False,0.714901294,0.714901294,0
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.033119202,0.508279044,1,False,0.709843885,0.709843885,0
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,0.056251526,0.514059174,1,False,0.721668421,0.721668421,0
