sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-0.160156250,0.460046302,0,True,0.616271888,0.616271888
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.105468750,0.473657227,0,True,0.641802619,0.641802619
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-0.164062500,0.459076128,0,True,0.614476727,0.614476727
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-0.390625000,0.403566854,0,True,0.516788120,0.516788120
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,-0.308593750,0.423458026,0,True,0.550707133,0.550707133
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.214843750,0.446494712,0,True,0.591483973,0.591483973
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.179687500,0.455198604,0,True,0.607333962,0.607333962
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.265625000,0.433981465,0,True,0.569128454,0.569128454
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-0.085937500,0.478528838,0,True,0.651101303,0.651101303
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-0.191406250,0.452293996,0,True,0.602016626,0.602016626
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.339843750,0.415847433,0,True,0.537593085,0.537593085
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-0.261718750,0.434941248,0,True,0.570825568,0.570825568
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.242187500,0.439747346,0,True,0.579367430,0.579367430
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.250000000,0.437823499,0,True,0.575939420,0.575939420
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.152343750,0.461987552,0,True,0.619873582,0.619873582
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-0.234375000,0.441673006,0,True,0.582810477,0.582810477
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.242187500,0.439747346,0,True,0.579367430,0.579367430
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-0.203125000,0.449392634,0,True,0.596733309,0.596733309
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-0.152343750,0.461987552,0,True,0.619873582,0.619873582
19,it2_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.285156250,0.429190109,0,True,0.560699065,0.560699065
20,it2_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.222656250,0.444564769,0,True,0.588003273,0.588003273
21,it2_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-0.203125000,0.449392634,0,True,0.596733309,0.596733309
22,it2_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-0.257812500,0.435901520,0,True,0.572526433,0.572526433
23,it2_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-0.328125000,0.418696909,0,True,0.542482988,0.542482988
