sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-0.067382812,0.483160668,0,True,0.660023222,0.660023222
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.115234375,0.471223243,0,True,0.637188946,0.637188946
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-0.113281250,0.471709934,0,True,0.638109779,0.638109779
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,0.025390625,0.506347315,1,False,0.705923076,0.705923076
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.129882812,0.467574867,0,True,0.630312987,0.630312987
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-0.105468750,0.473657227,0,True,0.641802619,0.641802619
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-0.068359375,0.482916808,0,True,0.659551505,0.659551505
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-0.080078125,0.479991160,0,True,0.653909467,0.653909467
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-0.043945312,0.489015440,0,True,0.671415904,0.671415904
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-0.102539062,0.474387672,0,True,0.643191356,0.643191356
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-0.054687500,0.486331531,0,True,0.666177224,0.666177224
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-0.024414062,0.493896788,0,True,0.681014653,0.681014653
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-0.086914062,0.478285152,0,True,0.650634109,0.650634109
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.008789062,0.502197251,1,False,0.697551368,0.697551368
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-0.081054688,0.479747415,0,True,0.653440845,0.653440845
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,0.032226562,0.508055943,1,False,0.709390275,0.709390275
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-0.046875000,0.488283395,0,True,0.669984314,0.669984314
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-0.130859375,0.467331761,0,True,0.629856490,0.629856490
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,-0.114257812,0.471466582,0,True,0.637649243,0.637649243
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-0.073242188,0.481697634,0,True,0.657196489,0.657196489
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,0.015625000,0.503906171,1,False,0.700990198,0.700990198
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-0.067382812,0.483160668,0,True,0.660023222,0.660023222
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-0.125000000,0.468790627,0,True,0.632599035,0.632599035
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-0.111328125,0.472196679,0,True,0.639031563,0.639031563
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,-0.047851562,0.488039392,0,False,0.717359156,0.717359156
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,-0.046875000,0.488283395,0,False,0.716859314,0.716859314
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,-0.072265625,0.481941452,0,False,0.729932641,0.729932641
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,0.007812500,0.501953115,1,True,0.689248560,0.689248560
