idx,label,keras_logit,hls_logit,abs_err,rel_err
0,0,-0.0732421875,0.125,0.1982421875,2.7066666666666666
1,0,-0.1435546875,0.0625,0.2060546875,1.435374149659864
2,0,-0.11328125,0.125,0.23828125,2.103448275862069
3,0,-0.1025390625,0.125,0.2275390625,2.219047619047619
4,0,-0.1298828125,0.125,0.2548828125,1.962406015037594
5,0,-0.0986328125,0.125,0.2236328125,2.267326732673267
6,0,-0.060546875,0.125,0.185546875,3.064516129032258
7,0,0.021484375,0.125,0.103515625,4.818181818181818
8,0,-0.0673828125,0.125,0.1923828125,2.8550724637681157
9,0,-0.068359375,0.125,0.193359375,2.8285714285714287
10,0,-0.0810546875,0.125,0.2060546875,2.5421686746987953
11,0,-0.0517578125,0.125,0.1767578125,3.4150943396226414
12,0,-0.0869140625,0.125,0.2119140625,2.438202247191011
13,0,0.0087890625,0.125,0.1162109375,13.222222222222221
14,0,-0.0068359375,0.125,0.1318359375,19.285714285714285
15,0,0.0263671875,0.125,0.0986328125,3.740740740740741
16,0,-0.046875,0.125,0.171875,3.6666666666666665
17,0,-0.1064453125,0.125,0.2314453125,2.1743119266055047
18,0,-0.072265625,0.125,0.197265625,2.72972972972973
19,0,-0.0322265625,0.125,0.1572265625,4.878787878787879
20,0,0.0009765625,0.125,0.1240234375,127.0
21,0,-0.056640625,0.125,0.181640625,3.206896551724138
22,0,-0.158203125,0.0625,0.220703125,1.3950617283950617
23,0,-0.111328125,0.125,0.236328125,2.1228070175438596
24,1,-0.0478515625,0.125,0.1728515625,3.6122448979591835
25,1,-0.0126953125,0.125,0.1376953125,10.846153846153847
26,1,-0.0244140625,0.125,0.1494140625,6.12
27,1,0.009765625,0.125,0.115234375,11.8
28,1,0.0087890625,0.125,0.1162109375,13.222222222222221
29,1,-0.0390625,0.125,0.1640625,4.2
30,1,-0.0205078125,0.125,0.1455078125,7.095238095238095
31,1,0.06640625,0.125,0.05859375,0.8823529411764706
32,1,-0.0107421875,0.125,0.1357421875,12.636363636363637
33,1,0.0693359375,0.125,0.0556640625,0.8028169014084507
34,1,0.048828125,0.125,0.076171875,1.56
35,1,0.01953125,0.125,0.10546875,5.4
36,1,0.0771484375,0.125,0.0478515625,0.620253164556962
37,1,0.0400390625,0.125,0.0849609375,2.1219512195121952
38,1,0.0380859375,0.125,0.0869140625,2.282051282051282
39,1,0.0087890625,0.125,0.1162109375,13.222222222222221
40,1,-0.03125,0.125,0.15625,5.0
41,1,-0.0302734375,0.125,0.1552734375,5.129032258064516
42,1,-0.060546875,0.125,0.185546875,3.064516129032258
43,1,-0.041015625,0.125,0.166015625,4.0476190476190474
44,1,-0.0234375,0.125,0.1484375,6.333333333333333
45,1,-0.087890625,0.125,0.212890625,2.422222222222222
46,1,-0.013671875,0.125,0.138671875,10.142857142857142
47,1,0.001953125,0.125,0.123046875,63.0
