sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-0.018310547,0.495422491,0,True,0.684033816,0.684033816
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.170410156,0.457500259,0,True,0.611567671,0.611567671
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-0.119995117,0.470037165,0,True,0.634948397,0.634948397
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-0.024902344,0.493774736,0,True,0.680773523,0.680773523
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.186767578,0.453443360,0,True,0.604117335,0.604117335
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-0.134094238,0.466526583,0,True,0.628346038,0.628346038
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,0.047973633,0.511991109,1,False,0.717421653,0.717421653
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.105895996,0.526449287,1,False,0.747496269,0.747496269
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,0.001525879,0.500381470,1,False,0.693910411,0.693910411
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-0.054138184,0.486468759,0,True,0.666444412,0.666444412
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-0.024536133,0.493866275,0,True,0.680954365,0.680954365
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-0.100646973,0.474859476,0,True,0.644089387,0.644089387
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-0.028930664,0.492767838,0,True,0.678786468,0.678786468
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.125488281,0.531330966,1,False,0.757858445,0.757858445
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.065551758,0.516382074,1,False,0.726460092,0.726460092
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,0.192382812,0.547947910,1,False,0.793957863,0.793957863
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,0.053161621,0.513287276,1,False,0.720081219,0.720081219
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-0.113586426,0.471633885,0,True,0.637965836,0.637965836
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,-0.007019043,0.498245246,0,True,0.689643817,0.689643817
