sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,0.226562500,0.556399579,1,False,0.812831075,0.812831075
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,0.453125000,0.611381973,1,False,0.945158354,0.945158354
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,0.132812500,0.533154405,1,False,0.761756707,0.761756707
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,0.054687500,0.513668469,1,False,0.720864724,0.720864724
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.031250000,0.492188136,0,True,0.677644246,0.677644246
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,0.250000000,0.562176501,1,False,0.825939420,0.825939420
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,0.117187500,0.529263393,1,False,0.753456563,0.753456563
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,0.195312500,0.548673494,1,False,0.795564242,0.795564242
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,0.218750000,0.554470465,1,False,0.808491738,0.808491738
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,0.062500000,0.515619916,1,False,0.724885382,0.724885382
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,0.304687500,0.575588013,1,False,0.857050629,0.857050629
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,0.203125000,0.550607366,1,False,0.799858309,0.799858309
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,0.437500000,0.607663170,1,False,0.935634548,0.935634548
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.460937500,0.613236554,1,False,0.949942023,0.949942023
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,0.179687500,0.544801396,1,False,0.787021462,0.787021462
15,it2_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,0.351562500,0.586996430,1,False,0.884299041,0.884299041
16,it2_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,0.156250000,0.538983221,1,False,0.774320839,0.774320839
17,it2_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,0.031250000,0.507811864,1,False,0.708894246,0.708894246
18,it2_B057,perf_fpga_nodbg,0,benign,0,config_057/vfpga_c057_0.bin,0.226562500,0.556399579,1,False,0.812831075,0.812831075
19,it2_B059,euclidean_nodbg,0,benign,0,config_059/vfpga_c059_0.bin,0.406250000,0.600188359,1,False,0.916761741,0.916761741
