sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-0.593750000,0.355774894,0,True,0.439707070,0.439707070
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-0.367187500,0.409220795,0,True,0.526312927,0.526312927
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.464843750,0.385837383,0,True,0.487495537,0.487495537
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.828125000,0.304041675,0,True,0.362465498,0.362465498
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-0.769531250,0.316580515,0,True,0.380646428,0.380646428
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-0.753906250,0.319970745,0,True,0.385619460,0.385619460
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-0.371093750,0.408276759,0,True,0.524716253,0.524716253
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-0.519531250,0.372961850,0,True,0.466747894,0.466747894
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,-0.683593750,0.335459687,0,True,0.408659737,0.408659737
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,-0.351562500,0.413003570,0,True,0.532736541,0.532736541
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-0.890625000,0.290980866,0,True,0.343872766,0.343872766
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-0.660156250,0.340704513,0,True,0.416583458,0.416583458
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.511718750,0.374790697,0,True,0.469668800,0.469668800
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.531250000,0.370225393,0,True,0.462393290,0.462393290
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.449218750,0.389546531,0,True,0.493553207,0.493553207
15,it2_B014,euclidean_nodbg,0,benign,0,config_014/vfpga_c014_0.bin,-0.703125000,0.331119740,0,True,0.402150218,0.402150218
16,it2_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-0.496093750,0.378459090,0,True,0.475553546,0.475553546
17,it2_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-0.546875000,0.366589736,0,True,0.456636941,0.456636941
18,it2_B037,cosine,0,benign,0,config_037/vfpga_c037_0.bin,-0.507812500,0.375706466,0,True,0.471134615,0.471134615
19,it2_B058,multithreading_aes_nodbg,0,benign,0,config_058/vfpga_c058_0.bin,-0.761718750,0.318273223,0,True,0.383126322,0.383126322
20,it2_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.824218750,0.304868871,0,True,0.363654776,0.363654776
21,it2_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.441406250,0.391405939,0,True,0.496603800,0.496603800
22,it2_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-0.324218750,0.419647952,0,True,0.544120380,0.544120380
23,it2_B071,user_interrupts_nodbg,0,benign,0,config_071/vfpga_c071_0.bin,-1.191406250,0.233007523,0,True,0.265278287,0.265278287
24,it1_S006,ro_8192,1,standalone,8192,config_081/vfpga_c081_0.bin,-0.609375000,0.352201782,0,False,1.043551023,1.043551023
25,it1_S011,ro_18000,1,standalone,18000,config_086/vfpga_c086_0.bin,-0.363281250,0.410165501,0,False,0.891194541,0.891194541
26,it1_S023,ro_12000,1,standalone,12000,config_098/vfpga_c098_0.bin,-0.144531250,0.463929955,0,False,0.768021696,0.768021696
27,it1_S024,ro_14000,1,standalone,14000,config_099/vfpga_c099_0.bin,-0.457031250,0.387690330,0,False,0.947548377,0.947548377
28,it1_S038,ro_12000,1,standalone,12000,config_113/vfpga_c113_0.bin,-0.054687500,0.486331531,0,False,0.720864724,0.720864724
29,it1_S054,ro_14000,1,standalone,14000,config_129/vfpga_c129_0.bin,-0.484375000,0.381219566,0,False,0.964379780,0.964379780
30,it1_S067,ro_10000,1,standalone,10000,config_142/vfpga_c142_0.bin,-0.503906250,0.376623126,0,False,0.976510258,0.976510258
31,it1_S068,ro_12000,1,standalone,12000,config_143/vfpga_c143_0.bin,-0.429687500,0.394200956,0,False,0.930894459,0.930894459
32,it1_S072,ro_19000,1,standalone,19000,config_147/vfpga_c147_0.bin,-0.089843750,0.477554159,0,False,0.739077704,0.739077704
33,it1_S073,ro_20000,1,standalone,20000,config_148/vfpga_c148_0.bin,-0.015625000,0.496093829,0,False,0.700990198,0.700990198
34,it2_S000,ro_8000,1,standalone,8000,config_075/vfpga_c075_0.bin,-0.445312500,0.390475837,0,False,0.940389188,0.940389188
35,it2_S004,ro_12000,1,standalone,12000,config_079/vfpga_c079_0.bin,-0.011718750,0.497070346,0,False,0.699023722,0.699023722
36,it2_S006,ro_14000,1,standalone,14000,config_081/vfpga_c081_0.bin,-0.339843750,0.415847433,0,False,0.877436835,0.877436835
37,it2_S016,ro_9000,1,standalone,9000,config_091/vfpga_c091_0.bin,-0.437500000,0.392336830,0,False,0.935634548,0.935634548
38,it2_S024,ro_17000,1,standalone,17000,config_099/vfpga_c099_0.bin,-0.050781250,0.487307415,0,False,0.718860113,0.718860113
39,it2_S040,ro_18000,1,standalone,18000,config_115/vfpga_c115_0.bin,0.015625000,0.503906171,1,True,0.685365198,0.685365198
40,it2_S043,ro_21000,1,standalone,21000,config_118/vfpga_c118_0.bin,-0.156250000,0.461016779,0,False,0.774320839,0.774320839
41,it2_S048,ro_11000,1,standalone,11000,config_123/vfpga_c123_0.bin,-0.277343750,0.431105111,0,False,0.841403341,0.841403341
42,it2_S052,ro_15000,1,standalone,15000,config_127/vfpga_c127_0.bin,-0.261718750,0.434941248,0,False,0.832544318,0.832544318
43,it2_S057,ro_20000,1,standalone,20000,config_132/vfpga_c132_0.bin,-0.105468750,0.473657227,0,False,0.747271369,0.747271369
44,it2_S058,ro_21000,1,standalone,21000,config_133/vfpga_c133_0.bin,0.156250000,0.538983221,1,True,0.618070839,0.618070839
45,it2_S062,ro_10000,1,standalone,10000,config_137/vfpga_c137_0.bin,-0.691406250,0.333720319,0,False,1.097452005,1.097452005
46,it2_S070,ro_18000,1,standalone,18000,config_145/vfpga_c145_0.bin,-0.296875000,0.426321593,0,False,0.852561305,0.852561305
