sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,0.046875000,0.511716605,1,False,0.716859314,0.716859314
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,-0.070312500,0.482429113,0,True,0.658608784,0.658608784
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,-0.007812500,0.498046885,0,True,0.689248560,0.689248560
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-0.074218750,0.481453825,0,True,0.656726200,0.656726200
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.152343750,0.461987552,0,True,0.619873582,0.619873582
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,0.195312500,0.548673494,1,False,0.795564242,0.795564242
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,0.027343750,0.506835512,1,False,0.706912513,0.706912513
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-0.007812500,0.498046885,0,True,0.689248560,0.689248560
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,0.144531250,0.536070045,1,False,0.768021696,0.768021696
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,0.000000000,0.500000000,1,False,0.693147181,0.693147181
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,0.089843750,0.522445841,1,False,0.739077704,0.739077704
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,0.019531250,0.504882657,1,False,0.702960489,0.702960489
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-0.003906250,0.499023439,0,True,0.691195963,0.691195963
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.199218750,0.549640617,1,False,0.797709387,0.797709387
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,0.003906250,0.500976561,1,False,0.695102213,0.695102213
15,it2_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-0.089843750,0.477554159,0,True,0.649233954,0.649233954
16,it2_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-0.066406250,0.483404536,0,True,0.660495178,0.660495178
17,it2_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-0.089843750,0.477554159,0,True,0.649233954,0.649233954
18,it2_B057,perf_fpga_nodbg,0,benign,0,config_057/vfpga_c057_0.bin,0.089843750,0.522445841,1,False,0.739077704,0.739077704
19,it2_B059,euclidean_nodbg,0,benign,0,config_059/vfpga_c059_0.bin,0.058593750,0.514644248,1,False,0.722873148,0.722873148
20,it2_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-0.261718750,0.434941248,0,True,0.570825568,0.570825568
21,it2_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-0.210937500,0.447460292,0,True,0.593229978,0.593229978
22,it2_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-0.042968750,0.489259465,0,True,0.671893577,0.671893577
23,it1_S012,ro_19000,1,standalone,19000,config_087/vfpga_c087_0.bin,0.078125000,0.519521322,1,True,0.654847426,0.654847426
24,it1_S022,ro_10000,1,standalone,10000,config_097/vfpga_c097_0.bin,-0.175781250,0.456167495,0,False,0.784895224,0.784895224
25,it1_S025,ro_16000,1,standalone,16000,config_100/vfpga_c100_0.bin,-0.027343750,0.493164488,0,False,0.706912513,0.706912513
26,it1_S028,ro_20000,1,standalone,20000,config_103/vfpga_c103_0.bin,0.140625000,0.535098429,1,True,0.625304570,0.625304570
27,it1_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,0.082031250,0.520496320,1,True,0.652972461,0.652972461
28,it1_S042,ro_19000,1,standalone,19000,config_117/vfpga_c117_0.bin,0.199218750,0.549640617,1,True,0.598490637,0.598490637
29,it1_S052,ro_10000,1,standalone,10000,config_127/vfpga_c127_0.bin,0.148437500,0.537041387,1,True,0.621680117,0.621680117
30,it1_S056,ro_18000,1,standalone,18000,config_131/vfpga_c131_0.bin,0.203125000,0.550607366,1,True,0.596733309,0.596733309
31,it1_S058,ro_20000,1,standalone,20000,config_133/vfpga_c133_0.bin,0.078125000,0.519521322,1,True,0.654847426,0.654847426
32,it1_S071,ro_18000,1,standalone,18000,config_146/vfpga_c146_0.bin,0.117187500,0.529263393,1,True,0.636269063,0.636269063
33,it2_S002,ro_10000,1,standalone,10000,config_077/vfpga_c077_0.bin,0.171875000,0.542863283,1,True,0.610897771,0.610897771
34,it2_S003,ro_11000,1,standalone,11000,config_078/vfpga_c078_0.bin,0.218750000,0.554470465,1,True,0.589741738,0.589741738
35,it2_S005,ro_13000,1,standalone,13000,config_080/vfpga_c080_0.bin,0.316406250,0.578448179,1,True,0.547406315,0.547406315
36,it2_S007,ro_15000,1,standalone,15000,config_082/vfpga_c082_0.bin,0.281250000,0.569852651,1,True,0.562377458,0.562377458
37,it2_S017,ro_10000,1,standalone,10000,config_092/vfpga_c092_0.bin,0.183593750,0.545769947,1,True,0.605557735,0.605557735
38,it2_S018,ro_11000,1,standalone,11000,config_093/vfpga_c093_0.bin,0.148437500,0.537041387,1,True,0.621680117,0.621680117
39,it2_S019,ro_12000,1,standalone,12000,config_094/vfpga_c094_0.bin,0.296875000,0.573678407,1,True,0.555686305,0.555686305
40,it2_S022,ro_15000,1,standalone,15000,config_097/vfpga_c097_0.bin,0.257812500,0.564098480,1,True,0.572526433,0.572526433
41,it2_S026,ro_19000,1,standalone,19000,config_101/vfpga_c101_0.bin,0.355468750,0.587943105,1,True,0.531125095,0.531125095
42,it2_S034,ro_12000,1,standalone,12000,config_109/vfpga_c109_0.bin,0.050781250,0.512692585,1,True,0.668078863,0.668078863
43,it2_S035,ro_13000,1,standalone,13000,config_110/vfpga_c110_0.bin,0.089843750,0.522445841,1,True,0.649233954,0.649233954
44,it2_S054,ro_17000,1,standalone,17000,config_129/vfpga_c129_0.bin,0.082031250,0.520496320,1,True,0.652972461,0.652972461
45,it2_S060,ro_8000,1,standalone,8000,config_135/vfpga_c135_0.bin,-0.007812500,0.498046885,0,False,0.697061060,0.697061060
46,it2_S074,ro_22000,1,standalone,22000,config_149/vfpga_c149_0.bin,0.089843750,0.522445841,1,True,0.649233954,0.649233954
