sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.766113281,0.317320481,0,True,0.381729755,0.381729755
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-0.503417969,0.376737770,0,True,0.472787934,0.472787934
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-0.785156250,0.313209662,0,True,0.375726218,0.375726218
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,-0.051269531,0.487185424,0,True,0.667840950,0.667840950
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.867675781,0.295738154,0,True,0.350605051,0.350605051
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,-0.701171875,0.331552459,0,True,0.402797359,0.402797359
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-0.776367188,0.315103368,0,True,0.378487354,0.378487354
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-0.113281250,0.471709934,0,True,0.638109779,0.638109779
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-0.024414062,0.493896788,0,True,0.681014653,0.681014653
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-0.354003906,0.412411822,0,True,0.531728954,0.531728954
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-0.962890625,0.276299817,0,True,0.323378084,0.323378084
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.288574219,0.428352958,0,True,0.559233537,0.559233537
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-0.528320312,0.370908734,0,True,0.463478935,0.463478935
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.481933594,0.381795639,0,True,0.480936195,0.480936195
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-0.313476562,0.422266377,0,True,0.548642376,0.548642376
