sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.375000000,0.592666600,1,False,0.898123264,0.898123264
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,0.218750000,0.554470465,1,False,0.808491738,0.808491738
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,0.062500000,0.515619916,1,False,0.724885382,0.724885382
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,0.687500000,0.665410559,1,False,1.094851047,1.094851047
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,0.187500000,0.546738152,1,False,0.791285290,0.791285290
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,0.406250000,0.600188359,1,False,0.916761741,0.916761741
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,0.156250000,0.538983221,1,False,0.774320839,0.774320839
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,0.000000000,0.500000000,1,False,0.693147181,0.693147181
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,0.000000000,0.500000000,1,False,0.693147181,0.693147181
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,0.250000000,0.562176501,1,False,0.825939420,0.825939420
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,0.218750000,0.554470465,1,False,0.808491738,0.808491738
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,0.000000000,0.500000000,1,False,0.693147181,0.693147181
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,0.312500000,0.577495365,1,False,0.861554862,0.861554862
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.093750000,0.476579651,0,True,0.647370411,0.647370411
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.031250000,0.492188136,0,True,0.677644246,0.677644246
15,it2_B014,euclidean_nodbg,0,benign,0,config_014/vfpga_c014_0.bin,0.156250000,0.538983221,1,False,0.774320839,0.774320839
16,it2_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-0.125000000,0.468790627,0,True,0.632599035,0.632599035
17,it2_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,0.531250000,0.629774607,1,False,0.993643290,0.993643290
18,it2_B037,cosine,0,benign,0,config_037/vfpga_c037_0.bin,0.250000000,0.562176501,1,False,0.825939420,0.825939420
19,it2_B058,multithreading_aes_nodbg,0,benign,0,config_058/vfpga_c058_0.bin,0.281250000,0.569852651,1,False,0.843627458,0.843627458
20,it2_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.312500000,0.422504635,0,True,0.549054862,0.549054862
21,it2_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,0.312500000,0.577495365,1,False,0.861554862,0.861554862
22,it2_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,0.656250000,0.658417501,1,False,1.074166050,1.074166050
23,it2_B071,user_interrupts_nodbg,0,benign,0,config_071/vfpga_c071_0.bin,0.031250000,0.507811864,1,False,0.708894246,0.708894246
24,it1_S006,ro_8192,1,standalone,8192,config_081/vfpga_c081_0.bin,0.250000000,0.562176501,1,True,0.575939420,0.575939420
25,it1_S011,ro_18000,1,standalone,18000,config_086/vfpga_c086_0.bin,0.281250000,0.569852651,1,True,0.562377458,0.562377458
26,it1_S023,ro_12000,1,standalone,12000,config_098/vfpga_c098_0.bin,0.218750000,0.554470465,1,True,0.589741738,0.589741738
27,it1_S024,ro_14000,1,standalone,14000,config_099/vfpga_c099_0.bin,0.375000000,0.592666600,1,True,0.523123264,0.523123264
28,it1_S038,ro_12000,1,standalone,12000,config_113/vfpga_c113_0.bin,0.125000000,0.531209373,1,True,0.632599035,0.632599035
29,it1_S054,ro_14000,1,standalone,14000,config_129/vfpga_c129_0.bin,0.093750000,0.523420349,1,True,0.647370411,0.647370411
30,it1_S067,ro_10000,1,standalone,10000,config_142/vfpga_c142_0.bin,0.250000000,0.562176501,1,True,0.575939420,0.575939420
31,it1_S068,ro_12000,1,standalone,12000,config_143/vfpga_c143_0.bin,-0.093750000,0.476579651,0,False,0.741120411,0.741120411
32,it1_S072,ro_19000,1,standalone,19000,config_147/vfpga_c147_0.bin,0.343750000,0.585101154,1,True,0.535970534,0.535970534
33,it1_S073,ro_20000,1,standalone,20000,config_148/vfpga_c148_0.bin,0.156250000,0.538983221,1,True,0.618070839,0.618070839
34,it2_S000,ro_8000,1,standalone,8000,config_075/vfpga_c075_0.bin,-0.281250000,0.430147349,0,False,0.843627458,0.843627458
35,it2_S004,ro_12000,1,standalone,12000,config_079/vfpga_c079_0.bin,0.468750000,0.615087856,1,True,0.485990167,0.485990167
36,it2_S006,ro_14000,1,standalone,14000,config_081/vfpga_c081_0.bin,0.343750000,0.585101154,1,True,0.535970534,0.535970534
37,it2_S016,ro_9000,1,standalone,9000,config_091/vfpga_c091_0.bin,0.156250000,0.538983221,1,True,0.618070839,0.618070839
