sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-1.535156250,0.177240517,0,True,0.195091365,0.195091365
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-0.117187500,0.470736607,0,True,0.636269063,0.636269063
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-0.359375000,0.411110869,0,True,0.529517346,0.529517346
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,0.492187500,0.620621616,1,False,0.969221197,0.969221197
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-1.109375000,0.247987426,0,True,0.285002235,0.285002235
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,-1.066406250,0.256087117,0,True,0.295831343,0.295831343
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-1.753906250,0.147555183,0,True,0.159646802,0.159646802
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-1.000000000,0.268941421,0,True,0.313261688,0.313261688
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-0.363281250,0.410165501,0,True,0.527913291,0.527913291
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-0.121093750,0.469763502,0,True,0.634432149,0.634432149
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-1.234375000,0.225416616,0,True,0.255429963,0.255429963
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,0.886718750,0.708212574,1,False,1.231729735,1.231729735
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-0.687500000,0.334589441,0,True,0.407351047,0.407351047
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-1.078125000,0.253861007,0,True,0.292843378,0.292843378
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-1.558593750,0.173848527,0,True,0.190977141,0.190977141
15,it1_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-1.460937500,0.188323979,0,True,0.208654007,0.208654007
16,it1_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-1.074218750,0.254601623,0,True,0.293836469,0.293836469
17,it2_B001,hls_vadd,0,benign,0,config_001/vfpga_c001_0.bin,-0.289062500,0.428233398,0,True,0.559024409,0.559024409
18,it2_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,0.070312500,0.517570887,1,False,0.728921284,0.728921284
19,it2_B021,euclidean,0,benign,0,config_021/vfpga_c021_0.bin,-0.390625000,0.403566854,0,True,0.516788120,0.516788120
20,it2_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-0.246093750,0.438785193,0,True,0.577651546,0.577651546
21,it2_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-2.234375000,0.096705793,0,True,0.101706968,0.101706968
22,it2_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-0.500000000,0.377540669,0,True,0.474076984,0.474076984
23,it2_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-2.093750000,0.109705774,0,True,0.116203280,0.116203280
24,it1_S013,ro_20000,1,standalone,20000,config_088/vfpga_c088_0.bin,1.156250000,0.760650653,1,True,0.273581090,0.273581090
25,it1_S026,ro_18000,1,standalone,18000,config_101/vfpga_c101_0.bin,0.460937500,0.613236554,1,True,0.489004523,0.489004523
26,it1_S039,ro_14000,1,standalone,14000,config_114/vfpga_c114_0.bin,-0.117187500,0.470736607,0,False,0.753456563,0.753456563
27,it1_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,1.453125000,0.810478909,1,True,0.210129961,0.210129961
28,it1_S066,ro_8192,1,standalone,8192,config_141/vfpga_c141_0.bin,-0.882812500,0.292595299,0,False,1.228964857,1.228964857
29,it2_S008,ro_16000,1,standalone,16000,config_083/vfpga_c083_0.bin,2.812500000,0.943347575,1,True,0.058320480,0.058320480
30,it2_S009,ro_17000,1,standalone,17000,config_084/vfpga_c084_0.bin,0.996093750,0.730289870,1,True,0.314313741,0.314313741
31,it2_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,2.027343750,0.883638236,1,True,0.123707535,0.123707535
32,it2_S023,ro_16000,1,standalone,16000,config_098/vfpga_c098_0.bin,2.234375000,0.903294207,1,True,0.101706968,0.101706968
33,it2_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,3.734375000,0.976669231,1,True,0.023607240,0.023607240
34,it2_S031,ro_9000,1,standalone,9000,config_106/vfpga_c106_0.bin,2.058593750,0.886813093,1,True,0.120121037,0.120121037
35,it2_S032,ro_10000,1,standalone,10000,config_107/vfpga_c107_0.bin,-0.738281250,0.323380101,0,False,1.128926863,1.128926863
36,it2_S033,ro_11000,1,standalone,11000,config_108/vfpga_c108_0.bin,0.968750000,0.724870276,1,True,0.321762570,0.321762570
37,it2_S041,ro_19000,1,standalone,19000,config_116/vfpga_c116_0.bin,0.558593750,0.636127099,1,True,0.452356895,0.452356895
38,it2_S046,ro_9000,1,standalone,9000,config_121/vfpga_c121_0.bin,0.503906250,0.623376874,1,True,0.472604008,0.472604008
39,it2_S053,ro_16000,1,standalone,16000,config_128/vfpga_c128_0.bin,1.000000000,0.731058579,1,True,0.313261688,0.313261688
40,it2_S056,ro_19000,1,standalone,19000,config_131/vfpga_c131_0.bin,1.562500000,0.826711794,1,True,0.190299140,0.190299140
41,it2_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,0.035156250,0.508788157,1,True,0.675723543,0.675723543
42,it2_S061,ro_9000,1,standalone,9000,config_136/vfpga_c136_0.bin,0.218750000,0.554470465,1,True,0.589741738,0.589741738
43,it2_S065,ro_13000,1,standalone,13000,config_140/vfpga_c140_0.bin,-0.468750000,0.384912144,0,False,0.954740167,0.954740167
44,it2_S066,ro_14000,1,standalone,14000,config_141/vfpga_c141_0.bin,0.503906250,0.623376874,1,True,0.472604008,0.472604008
45,it2_S067,ro_15000,1,standalone,15000,config_142/vfpga_c142_0.bin,-0.105468750,0.473657227,0,False,0.747271369,0.747271369
46,it2_S072,ro_20000,1,standalone,20000,config_147/vfpga_c147_0.bin,0.996093750,0.730289870,1,True,0.314313741,0.314313741
47,it2_S073,ro_21000,1,standalone,21000,config_148/vfpga_c148_0.bin,0.210937500,0.552539708,1,True,0.593229978,0.593229978
