sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,0.733642578,0.675604102,1,False,1.125790601,1.125790601
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,0.205566406,0.551211389,1,False,0.801203303,0.801203303
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-1.153564453,0.239838624,0,True,0.274224531,0.274224531
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-1.986328125,0.120645871,0,True,0.128567585,0.128567585
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,-1.699951172,0.154471642,0,True,0.167793572,0.167793572
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.589111328,0.356838783,0,True,0.441359860,0.441359860
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-1.502685547,0.182025326,0,True,0.200923903,0.200923903
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-2.500000000,0.075858180,0,True,0.078889734,0.078889734
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,2.382080078,0.915450573,1,False,2.470418983,2.470418983
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,0.323486328,0.580173661,1,False,0.867914132,0.867914132
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.304443359,0.424471628,0,True,0.552466752,0.552466752
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-0.698242188,0.332202073,0,True,0.403769655,0.403769655
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.869140625,0.295433152,0,True,0.350172064,0.350172064
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.888427734,0.291434394,0,True,0.344512626,0.344512626
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.424560547,0.395425968,0,True,0.503231148,0.503231148
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-1.284423828,0.216798131,0,True,0.244364802,0.244364802
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,0.782470703,0.686212363,1,False,1.159038836,1.159038836
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,0.182128906,0.545406780,1,False,0.788352283,0.788352283
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,0.502929688,0.623147571,1,False,0.975901604,0.975901604
19,it2_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.369628906,0.408630694,0,True,0.525314573,0.525314573
20,it2_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-1.392578125,0.198996493,0,True,0.221889953,0.221889953
21,it2_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-1.638916016,0.162612614,0,True,0.177468489,0.177468489
22,it2_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,0.343261719,0.584982615,1,False,0.879434869,0.879434869
23,it2_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-1.731933594,0.150340419,0,True,0.162919503,0.162919503
24,it1_S007,ro_10000,1,standalone,10000,config_082/vfpga_c082_0.bin,0.737548828,0.676459620,1,True,0.390882523,0.390882523
25,it1_S010,ro_16000,1,standalone,16000,config_085/vfpga_c085_0.bin,0.308349609,0.576482368,1,True,0.550810523,0.550810523
26,it1_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,0.533935547,0.630400547,1,True,0.461399873,0.461399873
27,it1_S021,ro_8192,1,standalone,8192,config_096/vfpga_c096_0.bin,0.366699219,0.590661153,1,True,0.526512771,0.526512771
28,it1_S041,ro_18000,1,standalone,18000,config_116/vfpga_c116_0.bin,2.267578125,0.906156041,1,True,0.098543758,0.098543758
29,it1_S043,ro_20000,1,standalone,20000,config_118/vfpga_c118_0.bin,1.743652344,0.851150387,1,True,0.161166448,0.161166448
30,it1_S044,ro_22000,1,standalone,22000,config_119/vfpga_c119_0.bin,2.849365234,0.945285862,1,True,0.056267898,0.056267898
31,it1_S051,ro_8192,1,standalone,8192,config_126/vfpga_c126_0.bin,1.029296875,0.736779558,1,True,0.305466539,0.305466539
32,it1_S053,ro_12000,1,standalone,12000,config_128/vfpga_c128_0.bin,-0.614990234,0.350921700,0,False,1.047192157,1.047192157
33,it1_S070,ro_16000,1,standalone,16000,config_145/vfpga_c145_0.bin,1.038085938,0.738480518,1,True,0.303160558,0.303160558
34,it2_S001,ro_9000,1,standalone,9000,config_076/vfpga_c076_0.bin,0.590820312,0.643553341,1,True,0.440750363,0.440750363
35,it2_S010,ro_18000,1,standalone,18000,config_085/vfpga_c085_0.bin,1.937744141,0.874104104,1,True,0.134555798,0.134555798
36,it2_S011,ro_19000,1,standalone,19000,config_086/vfpga_c086_0.bin,3.429199219,0.968604725,1,True,0.031898670,0.031898670
37,it2_S012,ro_20000,1,standalone,20000,config_087/vfpga_c087_0.bin,3.009277344,0.952991491,1,True,0.048149304,0.048149304
38,it2_S021,ro_14000,1,standalone,14000,config_096/vfpga_c096_0.bin,-0.071289062,0.482185278,0,False,0.729426844,0.729426844
39,it2_S025,ro_18000,1,standalone,18000,config_100/vfpga_c100_0.bin,1.564697266,0.827026347,1,True,0.189918726,0.189918726
40,it2_S027,ro_20000,1,standalone,20000,config_102/vfpga_c102_0.bin,1.539550781,0.823399413,1,True,0.194313883,0.194313883
41,it2_S028,ro_21000,1,standalone,21000,config_103/vfpga_c103_0.bin,3.056884766,0.955078833,1,True,0.045961395,0.045961395
42,it2_S037,ro_15000,1,standalone,15000,config_112/vfpga_c112_0.bin,1.512451172,0.819424186,1,True,0.199153397,0.199153397
43,it2_S038,ro_16000,1,standalone,16000,config_113/vfpga_c113_0.bin,-0.045410156,0.488649411,0,False,0.716109997,0.716109997
44,it2_S039,ro_17000,1,standalone,17000,config_114/vfpga_c114_0.bin,2.777587891,0.941452632,1,True,0.060331244,0.060331244
45,it2_S055,ro_18000,1,standalone,18000,config_130/vfpga_c130_0.bin,1.655273438,0.839602497,1,True,0.174826716,0.174826716
46,it2_S063,ro_11000,1,standalone,11000,config_138/vfpga_c138_0.bin,0.843505859,0.699203076,1,True,0.357814055,0.357814055
47,it2_S069,ro_17000,1,standalone,17000,config_144/vfpga_c144_0.bin,2.644775391,0.933688243,1,True,0.068612683,0.068612683
