layer,shape,n_values_per_sample,mean_abs_keras,mean_abs_qkeras,mae,rmse,max_abs,rel_rmse,cosine_similarity,reuse_factor,result_precision,accum_precision,weight_precision
output_dense,"(1,)",1,1.12481689453125,1.12481689453125,0.05084228515625,0.05084228515625,0.089111328125,0.044316979868512206,0.9999999999986597,1,auto,auto,"fixed<8,1,TRN,WRAP,0>"
gap,"(1, 1, 32)",32,1.05908203125,1.05908203125,0.0302734375,0.038962617794515486,0.09375,0.02792432001442107,0.9996436306902952,1,auto,auto,
pool4,"(2, 2, 32)",128,1.05908203125,1.05908203125,0.01025390625,0.0355699069158841,0.125,0.024267805624539632,0.9997034868431608,1,auto,auto,
act4,"(4, 4, 32)",512,0.6444091796875,0.6444091796875,0.00726318359375,0.030109164064352947,0.125,0.02990548836374876,0.9995524990074339,1,"ufixed<8,5,RND_CONV,SAT,0>",,
pool3,"(4, 4, 24)",384,0.7103678385416666,0.7103678385416666,0.0048828125,0.01743348671309748,0.0625,0.019584909025808825,0.9998073399570998,1,auto,auto,
act3,"(8, 8, 24)",1536,0.5094197591145834,0.5094197591145834,0.00469970703125,0.017137763206729772,0.0625,0.02405447335293951,0.9997108701427071,1,"ufixed<8,4,RND_CONV,SAT,0>",,
conv4,"(4, 4, 32)",512,0.8329050540924072,0.8329050540924072,0.011996746063232422,0.015302793204332563,0.06689453125,0.013904273697965824,0.9999031675388197,1,auto,auto,"fixed<8,1,TRN,WRAP,0>"
pad_conv4,"(6, 6, 24)",864,0.31571903935185186,0.31571903935185186,0.002170138888888889,0.011622324475398321,0.0625,0.019584909025808825,0.9998073399570998,1,auto,,
conv3,"(8, 8, 24)",1536,0.6368637084960938,0.6368637084960938,0.006660262743631999,0.008649872508399062,0.042724609375,0.011120828730856196,0.9999382248924339,1,auto,auto,"fixed<8,1,TRN,WRAP,0>"
pool2,"(8, 8, 24)",1536,0.4130045572916667,0.4130045572916667,0.0023396809895833335,0.008543841346256242,0.03125,0.014425816136503657,0.9998959437095145,1,auto,auto,
act2,"(16, 16, 24)",6144,0.3113263448079427,0.3113263448079427,0.0019467671712239583,0.007797704298360143,0.03125,0.015717487119172237,0.9998765256120409,1,"ufixed<8,3,RND_CONV,SAT,0>",,
pad_conv3,"(10, 10, 24)",2400,0.2643229166666667,0.2643229166666667,0.0014973958333333334,0.006835073077004993,0.03125,0.014425816136503655,0.9998959437095145,1,auto,,
conv2,"(16, 16, 24)",6144,0.4227154403924942,0.4227154403924942,0.0027372936407725015,0.003662844892209261,0.01904296875,0.006546825066842886,0.9999785784869339,1,auto,auto,"fixed<8,1,TRN,WRAP,0>"
pool1,"(16, 16, 16)",4096,0.3955507278442383,0.3955507278442383,0.000823974609375,0.003586607047531555,0.015625,0.005814709886171103,0.9999830827937287,1,auto,auto,
pad_conv2,"(18, 18, 16)",5184,0.3125339084201389,0.3125339084201389,0.0006510416666666666,0.0031880951533613824,0.015625,0.005814709886171103,0.9999830827937287,1,auto,,
act1,"(32, 32, 16)",16384,0.31003379821777344,0.31003379821777344,0.0006494522094726562,0.00318367354876091,0.015625,0.005987441942364408,0.9999820582069971,1,"ufixed<8,2,RND_CONV,SAT,0>",,
conv1,"(32, 32, 16)",16384,0.6824746523052454,0.6824746523052454,0.0012223292142152786,0.001936737609010512,0.0130615234375,0.002175785041931181,0.9999976360297462,1,auto,auto,"fixed<8,1,TRN,WRAP,0>"
pool0,"(32, 32, 8)",8192,0.44692134857177734,0.44692134857177734,0.00022172927856445312,0.0018606095732716754,0.015625,0.002468386327928688,0.9999969597092226,1,auto,auto,
pad_conv1,"(34, 34, 8)",9248,0.39588880703935986,0.39588880703935986,0.00019641071042387543,0.0017511619513145183,0.015625,0.0024683863279286876,0.9999969597092226,1,auto,,
act0,"(64, 64, 8)",32768,0.34426772594451904,0.34426772594451904,0.00017905235290527344,0.0016724997489414696,0.015625,0.0025787348243360695,0.9999967102230602,1,"ufixed<8,2,RND_CONV,SAT,0>",,
conv0,"(64, 64, 8)",32768,0.7098465483432737,0.7098465483432737,0.00037097083843384837,0.0004795130809891259,0.0021920204162597656,0.0005221214312379353,0.9999998979356899,1,auto,auto,"fixed<8,1,TRN,WRAP,0>"
pad_conv0,"(132, 132, 1)",17424,0.8573087178783104,0.8573087178783104,0.0002639969877643306,0.00045957961463377036,0.000972747802734375,0.0005094566319584558,0.9999999041934331,1,auto,,
