sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-0.037897468,0.490526767,0,True,0.674377963,0.674377963
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,0.009877644,0.502469391,1,False,0.698098199,0.698098199
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-0.037609600,0.490598708,0,True,0.674519181,0.674519181
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-0.074373357,0.481415227,0,True,0.656651767,0.656651767
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,0.023366474,0.505841353,1,False,0.704898665,0.704898665
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.007442251,0.498139446,0,True,0.689432979,0.689432979
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.005437173,0.498640710,0,True,0.690432289,0.690432289
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.008107506,0.497973135,0,True,0.689101644,0.689101644
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,0.022278912,0.505569498,1,False,0.704348679,0.704348679
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-0.010852762,0.497286836,0,True,0.687735523,0.687735523
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.031529188,0.492118356,0,True,0.677506843,0.677506843
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-0.046303898,0.488426093,0,True,0.670263214,0.670263214
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,0.014417842,0.503604398,1,False,0.700382086,0.700382086
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,0.013264477,0.503316071,1,False,0.699801412,0.699801412
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.004451431,0.498887144,0,True,0.690923942,0.690923942
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,0.008897536,0.502224369,1,False,0.697605844,0.697605844
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.007079825,0.498230051,0,True,0.689613534,0.689613534
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,0.009241231,0.502310291,1,False,0.697778471,0.697778471
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,0.036035128,0.509007807,1,False,0.711327052,0.711327052
19,it2_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.016558319,0.495860515,0,True,0.684902293,0.684902293
20,it2_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,0.022790439,0.505697363,1,False,0.704607324,0.704607324
21,it2_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-0.054262742,0.486437642,0,True,0.666383820,0.666383820
22,it2_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-0.055234522,0.486194879,0,True,0.665911228,0.665911228
23,it2_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-0.083831675,0.479054346,0,True,0.652109554,0.652109554
24,it1_S007,ro_10000,1,standalone,10000,config_082/vfpga_c082_0.bin,-0.005981512,0.498504626,0,False,0.696142409,0.696142409
25,it1_S010,ro_16000,1,standalone,16000,config_085/vfpga_c085_0.bin,0.020315461,0.505078691,1,True,0.683041039,0.683041039
