sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-0.006163295,0.498459181,0,True,0.690070281,0.690070281
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,-0.024571437,0.493857450,0,True,0.680936929,0.680936929
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,-0.023016293,0.494246181,0,True,0.681705252,0.681705252
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-0.009894554,0.497526382,0,True,0.688212141,0.688212141
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.041387748,0.489654540,0,True,0.672667410,0.672667410
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,0.019005347,0.504751194,1,False,0.702695004,0.702695004
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,-0.011780944,0.497054798,0,True,0.687274057,0.687274057
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-0.024182495,0.493954671,0,True,0.681129031,0.681129031
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,0.004203301,0.501050824,1,False,0.695251039,0.695251039
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-0.009628650,0.497592856,0,True,0.688344444,0.688344444
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,0.024118822,0.506029413,1,False,0.705279305,0.705279305
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,0.025927540,0.506481522,1,False,0.706194978,0.706194978
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-0.002090570,0.499477358,0,True,0.692102442,0.692102442
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.016074527,0.504018545,1,False,0.701216743,0.701216743
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,0.004159931,0.501039981,1,False,0.695229309,0.695229309
