sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-0.508728385,0.375491669,0,True,0.470790609,0.470790609
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.071688123,0.482085641,0,True,0.657945380,0.657945380
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-0.363115698,0.410205553,0,True,0.527981198,0.527981198
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-0.645214081,0.344068842,0,True,0.421699438,0.421699438
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,-0.022005595,0.494498823,0,True,0.682204912,0.682204912
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.211178631,0.447400676,0,True,0.593122089,0.593122089
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.169808865,0.457649500,0,True,0.611842807,0.611842807
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.276301354,0.431360781,0,True,0.564509107,0.564509107
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,0.043410473,0.510850914,1,False,0.715087957,0.715087957
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-0.257066458,0.436084974,0,True,0.572851702,0.572851702
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.387895495,0.404224020,0,True,0.517890555,0.517890555
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-0.484262586,0.381246084,0,True,0.480047637,0.480047637
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.096695192,0.475845020,0,True,0.645967874,0.645967874
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.066781051,0.483310939,0,True,0.660314015,0.660314015
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.217880547,0.445744329,0,True,0.590129198,0.590129198
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-0.210532278,0.447560481,0,True,0.593411319,0.593411319
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.279601753,0.430551414,0,True,0.563086780,0.563086780
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-0.146357089,0.463475901,0,True,0.622643799,0.622643799
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,0.132718921,0.533131113,1,False,0.761706816,0.761706816
19,it2_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.328805059,0.418531399,0,True,0.542198305,0.542198305
20,it2_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,0.021137111,0.505284081,1,False,0.703771582,0.703771582
21,it2_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-0.506528676,0.376007637,0,True,0.471617149,0.471617149
22,it2_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-0.542185366,0.367679357,0,True,0.458358667,0.458358667
23,it2_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-0.774973094,0.315404309,0,True,0.378926847,0.378926847
24,it1_S007,ro_10000,1,standalone,10000,config_082/vfpga_c082_0.bin,-0.153786451,0.461628981,0,False,0.772993781,0.772993781
25,it1_S010,ro_16000,1,standalone,16000,config_085/vfpga_c085_0.bin,0.115187041,0.528764963,1,True,0.637211251,0.637211251
26,it1_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,0.364806086,0.590203352,1,True,0.527288137,0.527288137
27,it1_S021,ro_8192,1,standalone,8192,config_096/vfpga_c096_0.bin,-0.382894784,0.405428900,0,False,0.902809759,0.902809759
28,it1_S041,ro_18000,1,standalone,18000,config_116/vfpga_c116_0.bin,0.344717503,0.585336004,1,True,0.535569231,0.535569231
29,it1_S043,ro_20000,1,standalone,20000,config_118/vfpga_c118_0.bin,0.521883607,0.627588111,1,True,0.465871202,0.465871202
30,it1_S044,ro_22000,1,standalone,22000,config_119/vfpga_c119_0.bin,0.585175157,0.642257338,1,True,0.442766217,0.442766217
31,it1_S051,ro_8192,1,standalone,8192,config_126/vfpga_c126_0.bin,-0.304268479,0.424514351,0,False,0.856809467,0.856809467
32,it1_S053,ro_12000,1,standalone,12000,config_128/vfpga_c128_0.bin,-0.062546022,0.484368590,0,False,0.724909113,0.724909113
33,it1_S070,ro_16000,1,standalone,16000,config_145/vfpga_c145_0.bin,0.226915121,0.556486611,1,True,0.586112168,0.586112168
34,it2_S001,ro_9000,1,standalone,9000,config_076/vfpga_c076_0.bin,0.130037814,0.532463720,1,True,0.630240515,0.630240515
