layer,shape,n_values_per_sample,mean_abs_keras,mean_abs_qkeras,mae,rmse,max_abs,rel_rmse,cosine_similarity,reuse_factor,result_precision,accum_precision,weight_precision
output_dense,"(1,)",1,0.1771288849413395,0.1771288849413395,0.4797190688550472,0.4797190688550472,0.484809085726738,3.2256957847431034,0.999999999989268,1,auto,auto,auto
pool2,"(16, 16, 24)",6144,0.7604357497905596,0.7604357497905596,0.09576014061071685,0.12676573287403936,0.3184765577316284,0.1320944637698935,0.9923197189682859,1,auto,auto,
conv2,"(32, 32, 24)",24576,0.7610862871844576,0.7610862871844576,0.10196719128000531,0.12399993135325914,0.32108473777770996,0.13628833759867748,0.9909713940389464,1,auto,auto,auto
act2,"(32, 32, 24)",24576,0.6057581273350708,0.6057581273350708,0.08666310266461726,0.11831727460912317,0.3215949535369873,0.14482298176064942,0.9903589851541243,1,auto,,
gap,"(1, 1, 24)",24,0.7604357389112314,0.7604357389112314,0.08780132854978244,0.105757570540699,0.19746410846710205,0.1239369889119877,0.9926568079583518,1,auto,auto,
pool1,"(32, 32, 16)",16384,0.5336957678574077,0.5336957678574077,0.02689794752774155,0.03444913486797857,0.07703578472137451,0.04140891421140309,0.9994617032574833,1,auto,auto,
conv1,"(64, 64, 16)",65536,0.7783723127399176,0.7783723127399176,0.029643490858687116,0.03411836806677189,0.07652121782302856,0.0319773074005021,0.9995363916033122,1,auto,auto,auto
pad_conv2,"(34, 34, 16)",18496,0.4727547286210947,0.4727547286210947,0.023826555595508087,0.032422715169862185,0.07703578472137451,0.04140891421140309,0.9994617032574832,1,auto,,
act1,"(64, 64, 16)",65536,0.43875645236536664,0.43875645236536664,0.02107967822247625,0.030130618915337692,0.07732421159744263,0.04034223334285728,0.9994596909658201,1,auto,,
conv0,"(128, 128, 8)",131072,0.5885708243915602,0.5885708243915602,0.011574107554090496,0.011698476547040124,0.015537440776824951,0.01380554257763603,0.999926468783654,1,auto,auto,auto
pool0,"(64, 64, 8)",32768,0.6130175624710521,0.6130175624710521,0.00868060781778901,0.010213579650703486,0.01637423038482666,0.010841026043801983,0.9999747071510496,1,auto,auto,
pad_conv1,"(66, 66, 8)",34848,0.5764279007992262,0.5764279007992262,0.008162481547673045,0.009904077237045806,0.01637423038482666,0.010841026043801983,0.9999747071510495,1,auto,,
act0,"(128, 128, 8)",131072,0.5025463599700193,0.5025463599700193,0.006151507793710653,0.00867480850689075,0.01642298698425293,0.010417940671019445,0.9999835795075539,1,auto,,
pad_conv0,"(260, 260, 1)",67600,0.8846841305467633,0.8846841305467633,0.00027427549984205526,0.00046882548768631394,0.000972747802734375,0.0005115040917160544,0.9999999038147784,1,auto,,
