sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-1.723753095,0.151388373,0,True,0.164153645,0.164153645
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,-4.011969566,0.017776010,0,True,0.017935901,0.017935901
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,-0.794055283,0.311298585,0,True,0.372947462,0.372947462
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,1.030467272,0.737006476,1,False,1.335625871,1.335625871
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-4.170828342,0.015204713,0,True,0.015321490,0.015321490
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,-0.449664086,0.389440636,0,True,0.493379751,0.493379751
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,-2.393223286,0.083690917,0,True,0.087401544,0.087401544
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-2.727203369,0.061387104,0,True,0.063352136,0.063352136
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-0.697161615,0.332441834,0,True,0.404128753,0.404128753
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-2.675372839,0.064442284,0,True,0.066612440,0.066612440
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,-0.481158823,0.381978523,0,True,0.481232070,0.481232070
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,1.856530190,0.864892001,1,False,2.001680824,2.001680824
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-2.729545593,0.061252286,0,True,0.063208511,0.063208511
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-0.666656435,0.339245925,0,True,0.414373558,0.414373558
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-2.614994287,0.068179626,0,True,0.070615214,0.070615214
15,it2_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-2.221435308,0.097842038,0,True,0.102965650,0.102965650
16,it2_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-1.557595253,0.173991983,0,True,0.191150800,0.191150800
17,it2_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-4.100693703,0.016291378,0,True,0.016425542,0.016425542
18,it2_B057,perf_fpga_nodbg,0,benign,0,config_057/vfpga_c057_0.bin,-3.470113039,0.030174673,0,True,0.030639299,0.030639299
19,it2_B059,euclidean_nodbg,0,benign,0,config_059/vfpga_c059_0.bin,-2.471296549,0.077895056,0,True,0.081096240,0.081096240
20,it2_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-4.125058651,0.015905474,0,True,0.016033323,0.016033323
21,it2_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-4.186478138,0.014972150,0,True,0.015085364,0.015085364
22,it2_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-3.265171528,0.036785530,0,True,0.037479182,0.037479182
23,it1_S012,ro_19000,1,standalone,19000,config_087/vfpga_c087_0.bin,7.328486919,0.999343865,1,True,0.000656351,0.000656351
24,it1_S022,ro_10000,1,standalone,10000,config_097/vfpga_c097_0.bin,0.521071613,0.627398311,1,True,0.466173675,0.466173675
25,it1_S025,ro_16000,1,standalone,16000,config_100/vfpga_c100_0.bin,4.887882233,0.992519019,1,True,0.007509104,0.007509104
26,it1_S028,ro_20000,1,standalone,20000,config_103/vfpga_c103_0.bin,4.966070652,0.993077768,1,True,0.006946302,0.006946302
27,it1_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,3.224365950,0.961740985,1,True,0.039010111,0.039010111
28,it1_S042,ro_19000,1,standalone,19000,config_117/vfpga_c117_0.bin,5.197118282,0.994497955,1,True,0.005517237,0.005517237
29,it1_S052,ro_10000,1,standalone,10000,config_127/vfpga_c127_0.bin,3.800053120,0.978119866,1,True,0.022123054,0.022123054
30,it1_S056,ro_18000,1,standalone,18000,config_131/vfpga_c131_0.bin,2.892218828,0.947460443,1,True,0.053970092,0.053970092
