layer,shape,n_values_per_sample,mean_abs_qkeras,mae,rmse,max_abs,rel_rmse,cosine_similarity,reuse_factor,result_precision,accum_precision,weight_precision
gap,"(1, 1, 32)",32,4.32080078125,0.1181640625,0.14372944949434635,0.28125,0.021018674802058573,0.9997857620251842,1,auto,auto,
pool4,"(4, 4, 32)",512,4.32080078125,0.0400390625,0.14118177306178817,0.5,0.018999550438577956,0.9998201141797809,1,auto,auto,
output_dense,"(1,)",1,6.669677734375,0.118896484375,0.118896484375,0.21875,0.020472915476997658,0.9999999999999702,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
act4,"(8, 8, 32)",2048,2.48394775390625,0.02581787109375,0.11336828269535706,0.5,0.021157578320355665,0.9997760521822595,1,"ufixed<6,5,RND_CONV,SAT,0>",,
conv4,"(8, 8, 32)",2048,6.293063163757324,0.07650279998779297,0.09949720231091443,0.5390625,0.0122381535628004,0.9999254530570504,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pool3,"(8, 8, 24)",1536,2.8810628255208335,0.025594075520833332,0.07986935045656654,0.25,0.01856171377533213,0.999827732593644,1,auto,auto,
act3,"(16, 16, 24)",6144,1.652862548828125,0.018524169921875,0.06801976225100864,0.5,0.02208669008270653,0.9997554632946127,1,"ufixed<6,4,RND_CONV,SAT,0>",,
pad_conv4,"(10, 10, 24)",2400,1.8438802083333334,0.016380208333333333,0.06389548036525322,0.25,0.01856171377533213,0.999827732593644,1,auto,,
conv3,"(16, 16, 24)",6144,3.6472222010294595,0.03441826502482096,0.04699305820427485,0.296875,0.010212862302818926,0.999948057098322,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pool2,"(16, 16, 24)",6144,2.2004801432291665,0.0088653564453125,0.03321334634713647,0.125,0.011089405454565129,0.9999389140684306,1,auto,auto,
act2,"(32, 32, 24)",24576,1.5313351949055989,0.007464090983072917,0.030498261935302667,0.125,0.012588521607759506,0.9999212825053965,1,"ufixed<6,3,RND_CONV,SAT,0>",,
pad_conv3,"(18, 18, 24)",7776,1.738650977366255,0.0070047260802469135,0.029522974530787977,0.125,0.011089405454565129,0.9999389140684306,1,auto,,
conv2,"(32, 32, 24)",24576,2.1179464856783548,0.010439793268839518,0.017075659069376338,0.15625,0.00629285141733317,0.9999807418747201,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pool1,"(32, 32, 16)",16384,1.104710578918457,0.0020418167114257812,0.01126085901566954,0.0625,0.008213192938214637,0.9999665913133549,1,auto,auto,
act1,"(64, 64, 16)",65536,0.8812520503997803,0.0018475055694580078,0.010725429012441445,0.125,0.009319833341100774,0.999956943351467,1,"ufixed<6,2,RND_CONV,SAT,0>",,
pad_conv2,"(34, 34, 16)",18496,0.9785671564121973,0.0018086680903979238,0.01059845554415957,0.0625,0.008213192938214639,0.9999665913133549,1,auto,,
conv1,"(64, 64, 16)",65536,0.9537128657102585,0.0020269975066184998,0.006719638659565428,0.087890625,0.005688417547378023,0.9999842548998973,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pool0,"(64, 64, 8)",32768,0.2303786277770996,0.00023221969604492188,0.003801267653724912,0.0625,0.010104059177119436,0.9999487341193984,1,auto,auto,
pad_conv1,"(66, 66, 8)",34848,0.2166278373220845,0.0002183590162993572,0.0036860777248241567,0.0625,0.010104059177119436,0.9999487341193984,1,auto,,
act0,"(128, 128, 8)",131072,0.13663041591644287,0.00012099742889404297,0.0027475861777762254,0.0625,0.009249783479330403,0.9999571502095166,1,"ufixed<6,2,RND_CONV,SAT,0>",,
pad_conv0,"(260, 260, 1)",67600,0.8846841305467633,0.00027427549984205526,0.00046882548768631394,0.000972747802734375,0.0005115040917160544,0.9999999038147784,1,auto,,
conv0,"(128, 128, 8)",131072,0.23917028295492138,0.00029501557943056866,0.00038056269720682746,0.0019418001174926758,0.0011068623750344216,0.9999993877042821,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
