sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.037902832,0.509474574,1,False,0.712278164,0.712278164
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-2.101928711,0.108909502,0,True,0.115309288,0.115309288
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-1.830200195,0.138214426,0,True,0.148748793,0.148748793
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-3.478027344,0.029943927,0,True,0.030401402,0.030401402
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-2.758666992,0.059599033,0,True,0.061448934,0.061448934
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-1.674316406,0.157849538,0,True,0.171796585,0.171796585
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-1.349914551,0.205884342,0,True,0.230526163,0.230526163
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-1.630432129,0.163771172,0,True,0.178852986,0.178852986
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,-2.282348633,0.092595429,0,True,0.097166874,0.097166874
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,-1.189331055,0.233378597,0,True,0.265762208,0.265762208
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-2.692260742,0.063431580,0,True,0.065532700,0.065532700
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-0.927673340,0.283396982,0,True,0.333233262,0.333233262
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-2.018188477,0.117306436,0,True,0.124777179,0.124777179
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-1.948425293,0.124725165,0,True,0.133217345,0.133217345
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-1.331481934,0.208914342,0,True,0.234349026,0.234349026
15,it2_B014,euclidean_nodbg,0,benign,0,config_014/vfpga_c014_0.bin,-1.605163574,0.167261171,0,True,0.183035216,0.183035216
16,it2_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-0.280517578,0.430326889,0,True,0.562692573,0.562692573
17,it2_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-2.431884766,0.080773415,0,True,0.084222630,0.084222630
18,it2_B037,cosine,0,benign,0,config_037/vfpga_c037_0.bin,-0.179260254,0.455304560,0,True,0.607528467,0.607528467
19,it2_B058,multithreading_aes_nodbg,0,benign,0,config_058/vfpga_c058_0.bin,-1.173217773,0.236273849,0,True,0.269545995,0.269545995
20,it2_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-3.067138672,0.044483289,0,True,0.045503026,0.045503026
21,it2_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-1.593688965,0.168865518,0,True,0.184963666,0.184963666
22,it2_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-0.502441406,0.376967101,0,True,0.473155954,0.473155954
