sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-1.769714355,0.145577855,0,True,0.157329893,0.157329893
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.359802246,0.411007437,0,True,0.529341723,0.529341723
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-0.504516602,0.376479839,0,True,0.472374180,0.472374180
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-1.348876953,0.206054037,0,True,0.230739877,0.230739877
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,-1.136901855,0.242889638,0,True,0.278246248,0.278246248
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-2.070007324,0.112046310,0,True,0.118835688,0.118835688
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-1.098754883,0.249973265,0,True,0.287646426,0.287646426
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-1.215759277,0.228683600,0,True,0.259656613,0.259656613
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,0.881408691,0.707114051,1,False,1.227972000,1.227972000
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-0.468750000,0.384912144,0,True,0.485990167,0.485990167
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-1.185546875,0.234056319,0,True,0.266646636,0.266646636
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-2.260192871,0.094473868,0,True,0.099239143,0.099239143
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.612304688,0.351533647,0,True,0.433145161,0.433145161
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.787048340,0.312802799,0,True,0.375133982,0.375133982
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.692321777,0.333516781,0,True,0.405740318,0.405740318
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-1.329956055,0.209166634,0,True,0.234667996,0.234667996
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-1.975463867,0.121803223,0,True,0.129884591,0.129884591
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-1.370361328,0.202561475,0,True,0.226350532,0.226350532
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,0.418640137,0.603157801,1,False,0.924216560,0.924216560
19,it2_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-2.463928223,0.078425953,0,True,0.081672150,0.081672150
20,it2_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.618835449,0.350046357,0,True,0.430854237,0.430854237
21,it2_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-1.514892578,0.180214845,0,True,0.198712979,0.198712979
22,it2_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-2.402526855,0.082980214,0,True,0.086626230,0.086626230
23,it2_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-2.712280273,0.062252602,0,True,0.064274665,0.064274665
24,it1_S007,ro_10000,1,standalone,10000,config_082/vfpga_c082_0.bin,0.711975098,0.670837437,1,True,0.399228441,0.399228441
25,it1_S010,ro_16000,1,standalone,16000,config_085/vfpga_c085_0.bin,2.174499512,0.897936072,1,True,0.107656403,0.107656403
26,it1_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,3.054260254,0.954966098,1,True,0.046079439,0.046079439
27,it1_S021,ro_8192,1,standalone,8192,config_096/vfpga_c096_0.bin,-0.596984863,0.355033812,0,False,1.035542249,1.035542249
28,it1_S041,ro_18000,1,standalone,18000,config_116/vfpga_c116_0.bin,2.266906738,0.906098932,1,True,0.098606782,0.098606782
29,it1_S043,ro_20000,1,standalone,20000,config_118/vfpga_c118_0.bin,2.903259277,0.948007320,1,True,0.053393056,0.053393056
30,it1_S044,ro_22000,1,standalone,22000,config_119/vfpga_c119_0.bin,3.234130859,0.962098672,1,True,0.038638264,0.038638264
31,it1_S051,ro_8192,1,standalone,8192,config_126/vfpga_c126_0.bin,0.257385254,0.563993421,1,True,0.572712692,0.572712692
32,it1_S053,ro_12000,1,standalone,12000,config_128/vfpga_c128_0.bin,0.453796387,0.611541479,1,True,0.491772495,0.491772495
33,it1_S070,ro_16000,1,standalone,16000,config_145/vfpga_c145_0.bin,2.028930664,0.883801306,1,True,0.123523009,0.123523009
34,it2_S001,ro_9000,1,standalone,9000,config_076/vfpga_c076_0.bin,0.226318359,0.556339320,1,True,0.586376883,0.586376883
35,it2_S010,ro_18000,1,standalone,18000,config_085/vfpga_c085_0.bin,2.069824219,0.887935471,1,True,0.118856206,0.118856206
36,it2_S011,ro_19000,1,standalone,19000,config_086/vfpga_c086_0.bin,2.585876465,0.929947063,1,True,0.072627616,0.072627616
37,it2_S012,ro_20000,1,standalone,20000,config_087/vfpga_c087_0.bin,2.343688965,0.912431284,1,True,0.091642502,0.091642502
38,it2_S021,ro_14000,1,standalone,14000,config_096/vfpga_c096_0.bin,1.341308594,0.792705057,1,True,0.232304060,0.232304060
39,it2_S025,ro_18000,1,standalone,18000,config_100/vfpga_c100_0.bin,2.014221191,0.882282145,1,True,0.125243382,0.125243382
40,it2_S027,ro_20000,1,standalone,20000,config_102/vfpga_c102_0.bin,2.371459961,0.914624932,1,True,0.089241208,0.089241208
41,it2_S028,ro_21000,1,standalone,21000,config_103/vfpga_c103_0.bin,1.322937012,0.789669934,1,True,0.236140226,0.236140226
42,it2_S037,ro_15000,1,standalone,15000,config_112/vfpga_c112_0.bin,1.113464355,0.752774410,1,True,0.283989684,0.283989684
43,it2_S038,ro_16000,1,standalone,16000,config_113/vfpga_c113_0.bin,2.425048828,0.918717567,1,True,0.084776531,0.084776531
44,it2_S039,ro_17000,1,standalone,17000,config_114/vfpga_c114_0.bin,2.065185547,0.887473064,1,True,0.119377108,0.119377108
45,it2_S055,ro_18000,1,standalone,18000,config_130/vfpga_c130_0.bin,1.685241699,0.843597372,1,True,0.170079946,0.170079946
46,it2_S063,ro_11000,1,standalone,11000,config_138/vfpga_c138_0.bin,-0.056274414,0.485935108,0,False,0.721680187,0.721680187
