sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.009460449,0.502365095,1,False,0.697888593,0.697888593
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-0.168884277,0.457878997,0,True,0.612266050,0.612266050
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.176818848,0.455910100,0,True,0.608640789,0.608640789
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.201904297,0.449694703,0,True,0.597282068,0.597282068
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-0.287353516,0.428651893,0,True,0.559756611,0.559756611
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-0.103210449,0.474220268,0,True,0.642872915,0.642872915
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-0.112548828,0.471892457,0,True,0.638455336,0.638455336
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-0.077209473,0.480707215,0,True,0.655287422,0.655287422
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,-0.078247070,0.480448207,0,True,0.654788776,0.654788776
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,-0.044189453,0.488954434,0,True,0.671296523,0.671296523
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-0.166625977,0.458439619,0,True,0.613300712,0.613300712
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-0.088928223,0.477782584,0,True,0.649671272,0.649671272
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.121154785,0.469748299,0,True,0.634403477,0.634403477
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.039184570,0.490205111,0,True,0.673746812,0.673746812
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.062561035,0.484364840,0,True,0.662355819,0.662355819
15,it2_B014,euclidean_nodbg,0,benign,0,config_014/vfpga_c014_0.bin,-0.133056641,0.466784829,0,True,0.628830238,0.628830238
16,it2_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,0.007446289,0.501861564,1,False,0.696877256,0.696877256
17,it2_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-0.171752930,0.457167010,0,True,0.610953576,0.610953576
18,it2_B037,cosine,0,benign,0,config_037/vfpga_c037_0.bin,0.033203125,0.508300019,1,False,0.709886543,0.709886543
19,it2_B058,multithreading_aes_nodbg,0,benign,0,config_058/vfpga_c058_0.bin,-0.082824707,0.479305652,0,True,0.652592074,0.652592074
20,it2_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.174560547,0.456470341,0,True,0.609671004,0.609671004
21,it2_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.109863281,0.472561772,0,True,0.639723524,0.639723524
22,it2_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-0.047790527,0.488054642,0,True,0.669537382,0.669537382
23,it2_B071,user_interrupts_nodbg,0,benign,0,config_071/vfpga_c071_0.bin,-0.314453125,0.422028155,0,True,0.548230123,0.548230123
24,it1_S006,ro_8192,1,standalone,8192,config_081/vfpga_c081_0.bin,0.038818359,0.509703371,1,True,0.673926347,0.673926347
25,it1_S011,ro_18000,1,standalone,18000,config_086/vfpga_c086_0.bin,0.138427734,0.534551777,1,True,0.626326683,0.626326683
26,it1_S023,ro_12000,1,standalone,12000,config_098/vfpga_c098_0.bin,-0.042480469,0.489381480,0,False,0.714612972,0.714612972
27,it1_S024,ro_14000,1,standalone,14000,config_099/vfpga_c099_0.bin,0.039489746,0.509871154,1,True,0.673597225,0.673597225
28,it1_S038,ro_12000,1,standalone,12000,config_113/vfpga_c113_0.bin,0.132812500,0.533154405,1,True,0.628944207,0.628944207
29,it1_S054,ro_14000,1,standalone,14000,config_129/vfpga_c129_0.bin,0.118408203,0.529567513,1,True,0.635694619,0.635694619
30,it1_S067,ro_10000,1,standalone,10000,config_142/vfpga_c142_0.bin,-0.031433105,0.492142371,0,False,0.708987233,0.708987233
31,it1_S068,ro_12000,1,standalone,12000,config_143/vfpga_c143_0.bin,0.078613281,0.519643205,1,True,0.654612847,0.654612847
32,it1_S072,ro_19000,1,standalone,19000,config_147/vfpga_c147_0.bin,0.282409668,0.570136887,1,True,0.561878795,0.561878795
33,it1_S073,ro_20000,1,standalone,20000,config_148/vfpga_c148_0.bin,0.207397461,0.551664308,1,True,0.594815555,0.594815555
34,it2_S000,ro_8000,1,standalone,8000,config_075/vfpga_c075_0.bin,0.094482422,0.523603050,1,True,0.647021421,0.647021421
35,it2_S004,ro_12000,1,standalone,12000,config_079/vfpga_c079_0.bin,0.204162598,0.550864094,1,True,0.596267154,0.596267154
