sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss,fold
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.125488281,0.531330966,1,False,0.757858445,0.757858445,0
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,0.089416504,0.522339244,1,False,0.738854514,0.738854514,0
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,0.006408691,0.501602167,1,False,0.696356660,0.696356660,0
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,0.109985352,0.527468653,1,False,0.749651192,0.749651192,0
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,0.045227051,0.511304836,1,False,0.716016370,0.716016370,0
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,0.048400879,0.512097858,1,False,0.717640422,0.717640422,0
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,0.169433594,0.542257354,1,False,0.781448161,0.781448161,0
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.184204102,0.545921252,1,False,0.789484642,0.789484642,0
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,0.034179688,0.508544090,1,False,0.710383049,0.710383049,0
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,0.063964844,0.515985761,1,False,0.725640953,0.725640953,0
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,0.151733398,0.537860738,1,False,0.771889001,0.771889001,0
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,0.094726562,0.523663948,1,False,0.741631683,0.741631683,0
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-0.005615234,0.498596195,0,True,0.690343505,0.690343505,0
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.165222168,0.541211833,1,False,0.779166686,0.779166686,0
