sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-0.008789062,0.497802749,0,True,0.688762305,0.688762305
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-0.036132812,0.490967780,0,True,0.675243963,0.675243963
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.012695312,0.496826215,0,True,0.686819671,0.686819671
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.039062500,0.490235617,0,True,0.673806653,0.673806653
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-0.045898438,0.488527405,0,True,0.670461272,0.670461272
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-0.032226562,0.491944057,0,True,0.677163713,0.677163713
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-0.035156250,0.491211843,0,True,0.675723543,0.675723543
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-0.022460938,0.494385002,0,True,0.681979772,0.681979772
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,-0.052734375,0.486819461,0,True,0.667127567,0.667127567
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,-0.031250000,0.492188136,0,True,0.677644246,0.677644246
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-0.030273438,0.492432219,0,True,0.678125018,0.678125018
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-0.023437500,0.494140893,0,True,0.681497094,0.681497094
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.025390625,0.493652685,0,True,0.680532451,0.680532451
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.026367188,0.493408585,0,True,0.680050488,0.680050488
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.025390625,0.493652685,0,True,0.680532451,0.680532451
15,it2_B014,euclidean_nodbg,0,benign,0,config_014/vfpga_c014_0.bin,-0.025390625,0.493652685,0,True,0.680532451,0.680532451
16,it2_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-0.007812500,0.498046885,0,True,0.689248560,0.689248560
17,it2_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-0.015625000,0.496093829,0,True,0.685365198,0.685365198
18,it2_B037,cosine,0,benign,0,config_037/vfpga_c037_0.bin,-0.017578125,0.495605582,0,True,0.684396741,0.684396741
19,it2_B058,multithreading_aes_nodbg,0,benign,0,config_058/vfpga_c058_0.bin,-0.029296875,0.492676305,0,True,0.678606028,0.678606028
20,it2_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.041992188,0.489503495,0,True,0.672371489,0.672371489
21,it2_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.030273438,0.492432219,0,True,0.678125018,0.678125018
22,it2_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-0.031250000,0.492188136,0,True,0.677644246,0.677644246
23,it2_B071,user_interrupts_nodbg,0,benign,0,config_071/vfpga_c071_0.bin,-0.049804688,0.487551401,0,True,0.668554868,0.668554868
