sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.037109375,0.509276279,1,False,0.711873996,0.711873996
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,0.031982422,0.507994924,1,False,0.709266245,0.709266245
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,0.019775391,0.504943687,1,False,0.703083758,0.703083758
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,0.071533203,0.517875679,1,False,0.729553271,0.729553271
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,0.060058594,0.515010137,1,False,0.723627289,0.723627289
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,0.099365234,0.524820890,1,False,0.744063472,0.744063472
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,0.111572266,0.527864167,1,False,0.750488553,0.750488553
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.226562500,0.556399579,1,False,0.812831075,0.812831075
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,0.119384766,0.529810793,1,False,0.754620097,0.754620097
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,0.041992188,0.510496505,1,False,0.714363676,0.714363676
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,0.139892578,0.534916221,1,False,0.765537719,0.765537719
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,0.131347656,0.532789786,1,False,0.760975986,0.760975986
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,0.014892578,0.503723076,1,False,0.700621193,0.700621193
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.175537109,0.543771939,1,False,0.784762460,0.784762460
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.087890625,0.521958523,1,False,0.738057778,0.738057778
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,0.163574219,0.540802617,1,False,0.778275133,0.778275133
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,0.157226562,0.539225868,1,False,0.774847308,0.774847308
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,0.108886719,0.527194816,1,False,0.749071848,0.749071848
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,0.109863281,0.527438228,1,False,0.749586806,0.749586806
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,0.073730469,0.518424271,1,False,0.730691784,0.730691784
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,0.104492188,0.526099304,1,False,0.746757481,0.746757481
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,0.070556641,0.517631846,1,False,0.729047652,0.729047652
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,0.011230469,0.502807588,1,False,0.698778180,0.698778180
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,0.064697266,0.516168677,1,False,0.726018939,0.726018939
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,0.170898438,0.542620927,1,True,0.611344312,0.611344312
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,0.148925781,0.537162785,1,True,0.621454093,0.621454093
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,0.189453125,0.547222122,1,True,0.602900485,0.602900485
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,0.192871094,0.548068855,1,True,0.601354352,0.601354352
28,it1_S037,ro_10000,1,standalone,10000,config_112/vfpga_c112_0.bin,0.207275391,0.551634116,1,True,0.594870285,0.594870285
29,it1_S040,ro_16000,1,standalone,16000,config_115/vfpga_c115_0.bin,0.260986328,0.564878738,1,True,0.571144195,0.571144195
30,it1_S055,ro_16000,1,standalone,16000,config_130/vfpga_c130_0.bin,0.172363281,0.542984454,1,True,0.610674590,0.610674590
31,it1_S057,ro_19000,1,standalone,19000,config_132/vfpga_c132_0.bin,0.198974609,0.549580183,1,True,0.598600596,0.598600596
32,it1_S069,ro_14000,1,standalone,14000,config_144/vfpga_c144_0.bin,0.150634766,0.537587644,1,True,0.620663474,0.620663474
33,it1_S074,ro_22000,1,standalone,22000,config_149/vfpga_c149_0.bin,0.218994141,0.554530775,1,True,0.589632973,0.589632973
34,it2_S013,ro_21000,1,standalone,21000,config_088/vfpga_c088_0.bin,0.272216797,0.567637044,1,True,0.566273071,0.566273071
35,it2_S015,ro_8000,1,standalone,8000,config_090/vfpga_c090_0.bin,0.154541016,0.538558544,1,True,0.618859072,0.618859072
36,it2_S020,ro_13000,1,standalone,13000,config_095/vfpga_c095_0.bin,0.216064453,0.553806950,1,True,0.590939119,0.590939119
37,it2_S030,ro_8000,1,standalone,8000,config_105/vfpga_c105_0.bin,0.166992188,0.541651300,1,True,0.613132843,0.613132843
38,it2_S036,ro_14000,1,standalone,14000,config_111/vfpga_c111_0.bin,0.232910156,0.557965736,1,True,0.583457723,0.583457723
39,it2_S042,ro_20000,1,standalone,20000,config_117/vfpga_c117_0.bin,0.246093750,0.561214807,1,True,0.577651546,0.577651546
40,it2_S045,ro_8000,1,standalone,8000,config_120/vfpga_c120_0.bin,0.087402344,0.521836687,1,True,0.650400601,0.650400601
41,it2_S047,ro_10000,1,standalone,10000,config_122/vfpga_c122_0.bin,0.184082031,0.545890992,1,True,0.605335972,0.605335972
