sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-0.126464844,0.468425859,0,True,0.631912597,0.631912597
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.085205078,0.478711608,0,True,0.651451855,0.651451855
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-0.133789062,0.466602536,0,True,0.628488422,0.628488422
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-0.263427734,0.434521283,0,True,0.570082619,0.570082619
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,-0.085693359,0.478589760,0,True,0.651218139,0.651218139
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.122558594,0.469398646,0,True,0.633744286,0.633744286
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.124511719,0.468912223,0,True,0.632827967,0.632827967
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.160644531,0.459925014,0,True,0.616047285,0.616047285
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-0.058837891,0.485294769,0,True,0.664160910,0.664160910
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-0.147705078,0.463140719,0,True,0.622019265,0.622019265
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.144042969,0.464051393,0,True,0.623717004,0.623717004
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-0.216552734,0.446072397,0,True,0.590721281,0.590721281
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.117675781,0.470614956,0,True,0.636039241,0.636039241
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.108886719,0.472805184,0,True,0.640185129,0.640185129
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.101806641,0.474570300,0,True,0.643538875,0.643538875
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-0.138671875,0.465387480,0,True,0.626213056,0.626213056
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.160400391,0.459985657,0,True,0.616159579,0.616159579
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-0.076904297,0.480783396,0,True,0.655434134,0.655434134
