sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss,fold
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.058105469,0.514522282,1,False,0.722621886,0.722621886,0
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,0.085693359,0.521410240,1,False,0.736911499,0.736911499,0
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,0.056884766,0.514217358,1,False,0.721993993,0.721993993,0
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,0.110351562,0.527559929,1,False,0.749844374,0.749844374,0
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,0.060058594,0.515010137,1,False,0.723627289,0.723627289,0
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,0.083496094,0.520861905,1,False,0.735766424,0.735766424,0
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,0.128173828,0.531999660,1,False,0.759286257,0.759286257,0
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.195312500,0.548673494,1,False,0.795564242,0.795564242,0
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,0.129150391,0.532242793,1,False,0.759805906,0.759805906,0
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,0.065185547,0.516290619,1,False,0.726271004,0.726271004,0
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,0.157714844,0.539347185,1,False,0.775110632,0.775110632,0
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,0.114990234,0.528715924,1,False,0.752294232,0.752294232,0
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,0.014892578,0.503723076,1,False,0.700621193,0.700621193,0
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.175537109,0.543771939,1,False,0.784762460,0.784762460,0
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.116210938,0.529020082,1,False,0.752939823,0.752939823,0
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,0.148193359,0.536980686,1,False,0.769986511,0.769986511,0
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,0.157226562,0.539225868,1,False,0.774847308,0.774847308,0
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,0.110595703,0.527620778,1,False,0.749973180,0.749973180,0
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,0.105224609,0.526281907,1,False,0.747142875,0.747142875,0
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,0.095703125,0.523907536,1,False,0.742143192,0.742143192,0
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,0.099121094,0.524760005,1,False,0.743935349,0.743935349,0
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,0.072265625,0.518058548,1,False,0.729932641,0.729932641,0
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,0.026123047,0.506530390,1,False,0.706294003,0.706294003,0
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,0.064697266,0.516168677,1,False,0.726018939,0.726018939,0
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,0.170898438,0.542620927,1,True,0.611344312,0.611344312,0
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,0.177490234,0.544256436,1,True,0.608334753,0.608334753,0
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,0.201171875,0.550124039,1,True,0.597611501,0.597611501,0
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,0.178466797,0.544498654,1,True,0.607889809,0.607889809,0
28,it1_S037,ro_10000,1,standalone,10000,config_112/vfpga_c112_0.bin,0.207275391,0.551634116,1,True,0.594870285,0.594870285,0
29,it1_S040,ro_16000,1,standalone,16000,config_115/vfpga_c115_0.bin,0.287841797,0.571467687,1,True,0.559547338,0.559547338,0
30,it1_S055,ro_16000,1,standalone,16000,config_130/vfpga_c130_0.bin,0.206054688,0.551332176,1,True,0.595417791,0.595417791,0
31,it1_S057,ro_19000,1,standalone,19000,config_132/vfpga_c132_0.bin,0.178955078,0.544619754,1,True,0.607667426,0.607667426,0
32,it1_S069,ro_14000,1,standalone,14000,config_144/vfpga_c144_0.bin,0.145263672,0.536252192,1,True,0.623150721,0.623150721,0
33,it1_S074,ro_22000,1,standalone,22000,config_149/vfpga_c149_0.bin,0.218994141,0.554530775,1,True,0.589632973,0.589632973,0
34,it2_S013,ro_21000,1,standalone,21000,config_088/vfpga_c088_0.bin,0.282714844,0.570211678,1,True,0.561747622,0.561747622,0
35,it2_S015,ro_8000,1,standalone,8000,config_090/vfpga_c090_0.bin,0.187255859,0.546677649,1,True,0.603895957,0.603895957,0
36,it2_S020,ro_13000,1,standalone,13000,config_095/vfpga_c095_0.bin,0.208984375,0.552056769,1,True,0.594104396,0.594104396,0
37,it2_S030,ro_8000,1,standalone,8000,config_105/vfpga_c105_0.bin,0.167236328,0.541711911,1,True,0.613020949,0.613020949,0
38,it2_S036,ro_14000,1,standalone,14000,config_111/vfpga_c111_0.bin,0.196289062,0.548915310,1,True,0.599811112,0.599811112,0
39,it2_S042,ro_20000,1,standalone,20000,config_117/vfpga_c117_0.bin,0.253906250,0.563137727,1,True,0.574231049,0.574231049,0
40,it2_S045,ro_8000,1,standalone,8000,config_120/vfpga_c120_0.bin,0.087402344,0.521836687,1,True,0.650400601,0.650400601,0
41,it2_S047,ro_10000,1,standalone,10000,config_122/vfpga_c122_0.bin,0.180175781,0.544922483,1,True,0.607111727,0.607111727,0
42,it2_S049,ro_12000,1,standalone,12000,config_124/vfpga_c124_0.bin,0.168945312,0.542136153,1,True,0.612238104,0.612238104,0
43,it2_S050,ro_13000,1,standalone,13000,config_125/vfpga_c125_0.bin,0.166259766,0.541469459,1,True,0.613468614,0.613468614,0
44,it2_S051,ro_14000,1,standalone,14000,config_126/vfpga_c126_0.bin,0.217041016,0.554048250,1,True,0.590503502,0.590503502,0
45,it2_S064,ro_12000,1,standalone,12000,config_139/vfpga_c139_0.bin,0.117919922,0.529445868,1,True,0.635924352,0.635924352,0
46,it2_S068,ro_16000,1,standalone,16000,config_143/vfpga_c143_0.bin,0.197998047,0.549338431,1,True,0.599040577,0.599040577,0
47,it2_S071,ro_19000,1,standalone,19000,config_146/vfpga_c146_0.bin,0.190185547,0.547403588,1,True,0.602568927,0.602568927,0
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.064941406,0.483770352,0,True,0.661203558,0.661203558,1
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-0.007324219,0.498168953,0,True,0.689491777,0.689491777,1
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-0.072998047,0.481758588,0,True,0.657314099,0.657314099,1
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,-0.038818359,0.490296629,0,True,0.673926347,0.673926347,1
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.070800781,0.482307195,0,True,0.658373253,0.658373253,1
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,-0.111083984,0.472257526,0,True,0.639146852,0.639146852,1
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-0.067382812,0.483160668,0,True,0.660023222,0.660023222,1
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-0.005615234,0.498596195,0,True,0.690343505,0.690343505,1
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,0.047607422,0.511899608,1,False,0.717234173,0.717234173,1
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-0.069824219,0.482551034,0,True,0.658844375,0.658844375,1
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-0.059326172,0.485172806,0,True,0.663923979,0.663923979,1
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.004150391,0.498962404,0,True,0.691074138,0.691074138,1
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-0.109863281,0.472561772,0,True,0.639723524,0.639723524,1
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.032470703,0.491883037,0,True,0.677043617,0.677043617,1
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-0.107421875,0.473170326,0,True,0.640877982,0.640877982,1
15,it1_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-0.032714844,0.491822018,0,True,0.676923535,0.676923535,1
16,it1_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-0.055908203,0.486026589,0,True,0.665583744,0.665583744,1
17,it2_B001,hls_vadd,0,benign,0,config_001/vfpga_c001_0.bin,-0.019775391,0.495056313,0,True,0.683308368,0.683308368,1
18,it2_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,0.014892578,0.503723076,1,False,0.700621193,0.700621193,1
19,it2_B021,euclidean,0,benign,0,config_021/vfpga_c021_0.bin,0.017089844,0.504272357,1,False,0.701728610,0.701728610,1
20,it2_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-0.007568359,0.498107919,0,True,0.689370161,0.689370161,1
21,it2_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.041992188,0.489503495,0,True,0.672371489,0.672371489,1
22,it2_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-0.006347656,0.498413091,0,True,0.689978389,0.689978389,1
23,it2_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-0.075439453,0.481149076,0,True,0.656138674,0.656138674,1
24,it1_S013,ro_20000,1,standalone,20000,config_088/vfpga_c088_0.bin,0.062988281,0.515741866,1,True,0.662148898,0.662148898,1
25,it1_S026,ro_18000,1,standalone,18000,config_101/vfpga_c101_0.bin,0.049316406,0.512326603,1,True,0.668792960,0.668792960,1
26,it1_S039,ro_14000,1,standalone,14000,config_114/vfpga_c114_0.bin,0.053466797,0.513363516,1,True,0.666771077,0.666771077,1
27,it1_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,0.077392578,0.519338493,1,True,0.655199406,0.655199406,1
28,it1_S066,ro_8192,1,standalone,8192,config_141/vfpga_c141_0.bin,-0.036865234,0.490784735,0,False,0.711749669,0.711749669,1
29,it2_S008,ro_16000,1,standalone,16000,config_083/vfpga_c083_0.bin,0.081542969,0.520374454,1,True,0.653206623,0.653206623,1
30,it2_S009,ro_17000,1,standalone,17000,config_084/vfpga_c084_0.bin,0.116210938,0.529020082,1,True,0.636728885,0.636728885,1
31,it2_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,0.130615234,0.532607464,1,True,0.629970592,0.629970592,1
32,it2_S023,ro_16000,1,standalone,16000,config_098/vfpga_c098_0.bin,0.128173828,0.531999660,1,True,0.631112429,0.631112429,1
33,it2_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,0.109863281,0.527438228,1,True,0.639723524,0.639723524,1
34,it2_S031,ro_9000,1,standalone,9000,config_106/vfpga_c106_0.bin,0.009033203,0.502258285,1,True,0.688640779,0.688640779,1
35,it2_S032,ro_10000,1,standalone,10000,config_107/vfpga_c107_0.bin,0.040527344,0.510130449,1,True,0.673088803,0.673088803,1
36,it2_S033,ro_11000,1,standalone,11000,config_108/vfpga_c108_0.bin,0.034912109,0.508727141,1,True,0.675843475,0.675843475,1
37,it2_S041,ro_19000,1,standalone,19000,config_116/vfpga_c116_0.bin,0.050048828,0.512509596,1,True,0.668435844,0.668435844,1
38,it2_S046,ro_9000,1,standalone,9000,config_121/vfpga_c121_0.bin,-0.010986328,0.497253446,0,False,0.698655432,0.698655432,1
39,it2_S053,ro_16000,1,standalone,16000,config_128/vfpga_c128_0.bin,0.024414062,0.506103212,1,True,0.681014653,0.681014653,1
40,it2_S056,ro_19000,1,standalone,19000,config_131/vfpga_c131_0.bin,0.055175781,0.513790447,1,True,0.665939788,0.665939788,1
41,it2_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,0.067382812,0.516839332,1,True,0.660023222,0.660023222,1
42,it2_S061,ro_9000,1,standalone,9000,config_136/vfpga_c136_0.bin,-0.038818359,0.490296629,0,False,0.712744707,0.712744707,1
43,it2_S065,ro_13000,1,standalone,13000,config_140/vfpga_c140_0.bin,-0.015380859,0.496154861,0,False,0.700867181,0.700867181,1
44,it2_S066,ro_14000,1,standalone,14000,config_141/vfpga_c141_0.bin,-0.008056641,0.497985851,0,False,0.697183615,0.697183615,1
45,it2_S067,ro_15000,1,standalone,15000,config_142/vfpga_c142_0.bin,0.027099609,0.506774488,1,True,0.679689172,0.679689172,1
46,it2_S072,ro_20000,1,standalone,20000,config_147/vfpga_c147_0.bin,0.054687500,0.513668469,1,True,0.666177224,0.666177224,1
47,it2_S073,ro_21000,1,standalone,21000,config_148/vfpga_c148_0.bin,0.092773438,0.523176738,1,True,0.647835940,0.647835940,1
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-0.126464844,0.468425859,0,True,0.631912597,0.631912597,2
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.085205078,0.478711608,0,True,0.651451855,0.651451855,2
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-0.133789062,0.466602536,0,True,0.628488422,0.628488422,2
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-0.263427734,0.434521283,0,True,0.570082619,0.570082619,2
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,-0.085693359,0.478589760,0,True,0.651218139,0.651218139,2
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.122558594,0.469398646,0,True,0.633744286,0.633744286,2
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.124511719,0.468912223,0,True,0.632827967,0.632827967,2
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.160644531,0.459925014,0,True,0.616047285,0.616047285,2
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-0.058837891,0.485294769,0,True,0.664160910,0.664160910,2
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-0.147705078,0.463140719,0,True,0.622019265,0.622019265,2
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.144042969,0.464051393,0,True,0.623717004,0.623717004,2
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-0.216552734,0.446072397,0,True,0.590721281,0.590721281,2
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.117675781,0.470614956,0,True,0.636039241,0.636039241,2
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.108886719,0.472805184,0,True,0.640185129,0.640185129,2
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.101806641,0.474570300,0,True,0.643538875,0.643538875,2
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-0.138671875,0.465387480,0,True,0.626213056,0.626213056,2
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.160400391,0.459985657,0,True,0.616159579,0.616159579,2
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-0.076904297,0.480783396,0,True,0.655434134,0.655434134,2
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-0.022216797,0.494446029,0,True,0.682100479,0.682100479,2
19,it2_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.188964844,0.452898862,0,True,0.603121598,0.603121598,2
20,it2_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.113037109,0.471770774,0,True,0.638224950,0.638224950,2
