sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-0.241912842,0.439815015,0,True,0.579488219,0.579488219
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.017745972,0.495563624,0,True,0.684313559,0.684313559
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-0.195678711,0.451235822,0,True,0.600086478,0.600086478
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-0.355468750,0.412056895,0,True,0.531125095,0.531125095
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,0.041473389,0.510366861,1,False,0.714098865,0.714098865
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.113296509,0.471706132,0,True,0.638102581,0.638102581
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.095153809,0.476229480,0,True,0.646701630,0.646701630
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.122070312,0.469520261,0,True,0.633973514,0.633973514
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,0.063980103,0.515989572,1,False,0.725648826,0.725648826
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-0.144165039,0.464021033,0,True,0.623660359,0.623660359
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.187561035,0.453246723,0,True,0.603757625,0.603757625
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-0.248062134,0.438300531,0,True,0.576788325,0.576788325
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,0.003799438,0.500949858,1,False,0.695048704,0.695048704
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,0.024047852,0.506011673,1,False,0.705243392,0.705243392
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.089202881,0.477714056,0,True,0.649540055,0.649540055
