sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-0.165699959,0.458669533,0,True,0.613725342,0.613725342
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,0.073458672,0.518356414,1,False,0.730550887,0.730550887
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-0.130726814,0.467364760,0,True,0.629918442,0.629918442
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-0.539303780,0.368349556,0,True,0.459419132,0.459419132
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,0.115285873,0.528789589,1,False,0.752450552,0.752450552
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.104125977,0.473992000,0,True,0.642438858,0.642438858
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.065414429,0.483652222,0,True,0.660974752,0.660974752
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.187822342,0.453181968,0,True,0.603639197,0.603639197
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,0.156216621,0.538974927,1,False,0.774302849,0.774302849
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-0.214582443,0.446559291,0,True,0.591600653,0.591600653
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.183407784,0.454276155,0,True,0.605642210,0.605642210
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-0.407911301,0.399413058,0,True,0.509847865,0.509847865
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,0.038242340,0.509559420,1,False,0.712451149,0.712451149
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,0.064172745,0.516037683,1,False,0.725748232,0.725748232
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.035408974,0.491148681,0,True,0.675599410,0.675599410
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-0.101387024,0.474674934,0,True,0.643738035,0.643738035
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.131612778,0.467144219,0,True,0.629504471,0.629504471
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,0.083555222,0.520876661,1,False,0.735797222,0.735797222
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,0.250321388,0.562255604,1,False,0.826120110,0.826120110
19,it2_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.163533211,0.459207567,0,True,0.614719746,0.614719746
20,it2_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,0.047424316,0.511853858,1,False,0.717140446,0.717140446
21,it2_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-0.291384697,0.427664904,0,True,0.558030627,0.558030627
22,it2_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-0.411474228,0.398558682,0,True,0.508426307,0.508426307
23,it2_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-0.613435745,0.351275857,0,True,0.432747702,0.432747702
24,it1_S007,ro_10000,1,standalone,10000,config_082/vfpga_c082_0.bin,-0.028322220,0.492919918,0,False,0.707408556,0.707408556
25,it1_S010,ro_16000,1,standalone,16000,config_085/vfpga_c085_0.bin,0.269474030,0.566963775,1,True,0.567459865,0.567459865
26,it1_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,0.369466782,0.591330128,1,True,0.525380826,0.525380826
27,it1_S021,ro_8192,1,standalone,8192,config_096/vfpga_c096_0.bin,-0.200697899,0.449993267,0,False,0.798522658,0.798522658
28,it1_S041,ro_18000,1,standalone,18000,config_116/vfpga_c116_0.bin,0.457829475,0.612499141,1,True,0.490207739,0.490207739
29,it1_S043,ro_20000,1,standalone,20000,config_118/vfpga_c118_0.bin,0.589791298,0.643317258,1,True,0.441117273,0.441117273
30,it1_S044,ro_22000,1,standalone,22000,config_119/vfpga_c119_0.bin,0.793858528,0.688659230,1,True,0.373008716,0.373008716
31,it1_S051,ro_8192,1,standalone,8192,config_126/vfpga_c126_0.bin,-0.089621544,0.477609599,0,False,0.738961619,0.738961619
32,it1_S053,ro_12000,1,standalone,12000,config_128/vfpga_c128_0.bin,0.219961166,0.554769643,1,True,0.589202309,0.589202309
33,it1_S070,ro_16000,1,standalone,16000,config_145/vfpga_c145_0.bin,0.351092339,0.586882443,1,True,0.532930747,0.532930747
34,it2_S001,ro_9000,1,standalone,9000,config_076/vfpga_c076_0.bin,0.191769600,0.547796013,1,True,0.601852301,0.601852301
35,it2_S010,ro_18000,1,standalone,18000,config_085/vfpga_c085_0.bin,0.531862259,0.629917349,1,True,0.462166660,0.462166660
36,it2_S011,ro_19000,1,standalone,19000,config_086/vfpga_c086_0.bin,0.548720360,0.633838654,1,True,0.455960846,0.455960846
37,it2_S012,ro_20000,1,standalone,20000,config_087/vfpga_c087_0.bin,0.559205055,0.636268585,1,True,0.452134501,0.452134501
38,it2_S021,ro_14000,1,standalone,14000,config_096/vfpga_c096_0.bin,0.464184761,0.614006447,1,True,0.487749851,0.487749851
39,it2_S025,ro_18000,1,standalone,18000,config_100/vfpga_c100_0.bin,0.460502625,0.613133406,1,True,0.489172739,0.489172739
40,it2_S027,ro_20000,1,standalone,20000,config_102/vfpga_c102_0.bin,0.594832420,0.644473158,1,True,0.439322106,0.439322106
41,it2_S028,ro_21000,1,standalone,21000,config_103/vfpga_c103_0.bin,0.367611885,0.590881800,1,True,0.526139282,0.526139282
42,it2_S037,ro_15000,1,standalone,15000,config_112/vfpga_c112_0.bin,0.315297127,0.578177700,1,True,0.547874018,0.547874018
43,it2_S038,ro_16000,1,standalone,16000,config_113/vfpga_c113_0.bin,0.340739250,0.584370084,1,True,0.537220791,0.537220791
44,it2_S039,ro_17000,1,standalone,17000,config_114/vfpga_c114_0.bin,0.324725151,0.580475374,1,True,0.543907901,0.543907901
45,it2_S055,ro_18000,1,standalone,18000,config_130/vfpga_c130_0.bin,0.328886032,0.581488307,1,True,0.542164416,0.542164416
46,it2_S063,ro_11000,1,standalone,11000,config_138/vfpga_c138_0.bin,-0.089195251,0.477715959,0,False,0.738738951,0.738738951
47,it2_S069,ro_17000,1,standalone,17000,config_144/vfpga_c144_0.bin,0.196166039,0.548884848,1,True,0.599866608,0.599866608
