sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-0.018146515,0.495463496,0,True,0.684115085,0.684115085
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-0.271857262,0.432451197,0,True,0.566428537,0.566428537
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.143239975,0.464251109,0,True,0.624089715,0.624089715
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.375513077,0.407209543,0,True,0.522914303,0.522914303
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-0.397974014,0.401799202,0,True,0.513828799,0.513828799
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-0.076649666,0.480846960,0,True,0.655556564,0.655556564
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-0.060440063,0.484894582,0,True,0.663383704,0.663383704
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-0.056646347,0.485842199,0,True,0.665225055,0.665225055
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,-0.251044273,0.437566485,0,True,0.575482347,0.575482347
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,-0.062047005,0.484493223,0,True,0.662604830,0.662604830
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-0.262261391,0.434807890,0,True,0.570589587,0.570589587
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-0.133442879,0.466688697,0,True,0.628649967,0.628649967
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.026135445,0.493466511,0,True,0.680164838,0.680164838
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.070470810,0.482389585,0,True,0.658532414,0.658532414
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.100342751,0.474935339,0,True,0.644233861,0.644233861
15,it2_B014,euclidean_nodbg,0,benign,0,config_014/vfpga_c014_0.bin,-0.020193100,0.494951897,0,True,0.683101600,0.683101600
16,it2_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,0.178455353,0.544495815,1,False,0.786350375,0.786350375
17,it2_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-0.241590500,0.439894434,0,True,0.579630003,0.579630003
18,it2_B037,cosine,0,benign,0,config_037/vfpga_c037_0.bin,0.032188416,0.508046409,1,False,0.709370894,0.709370894
19,it2_B058,multithreading_aes_nodbg,0,benign,0,config_058/vfpga_c058_0.bin,-0.134059906,0.466535128,0,True,0.628362055,0.628362055
20,it2_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.269887924,0.432934610,0,True,0.567280655,0.567280655
21,it2_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.214558601,0.446565184,0,True,0.591611300,0.591611300
22,it2_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-0.079291344,0.480187543,0,True,0.654287193,0.654287193
23,it2_B071,user_interrupts_nodbg,0,benign,0,config_071/vfpga_c071_0.bin,-0.477431297,0.382858870,0,True,0.482657546,0.482657546
24,it1_S006,ro_8192,1,standalone,8192,config_081/vfpga_c081_0.bin,-0.030321121,0.492420300,0,False,0.708422658,0.708422658
25,it1_S011,ro_18000,1,standalone,18000,config_086/vfpga_c086_0.bin,0.163748741,0.540845957,1,True,0.614620778,0.614620778
26,it1_S023,ro_12000,1,standalone,12000,config_098/vfpga_c098_0.bin,-0.098247528,0.475457856,0,False,0.743477032,0.743477032
27,it1_S024,ro_14000,1,standalone,14000,config_099/vfpga_c099_0.bin,0.001144409,0.500286102,1,True,0.692575140,0.692575140
28,it1_S038,ro_12000,1,standalone,12000,config_113/vfpga_c113_0.bin,0.252062798,0.562684160,1,True,0.575036802,0.575036802
29,it1_S054,ro_14000,1,standalone,14000,config_129/vfpga_c129_0.bin,0.068000793,0.516993650,1,True,0.659724686,0.659724686
30,it1_S067,ro_10000,1,standalone,10000,config_142/vfpga_c142_0.bin,-0.057465553,0.485637564,0,False,0.722292687,0.722292687
31,it1_S068,ro_12000,1,standalone,12000,config_143/vfpga_c143_0.bin,0.060091019,0.515018236,1,True,0.663552970,0.663552970
32,it1_S072,ro_19000,1,standalone,19000,config_147/vfpga_c147_0.bin,0.210091591,0.552330557,1,True,0.593608578,0.593608578
33,it1_S073,ro_20000,1,standalone,20000,config_148/vfpga_c148_0.bin,0.258945465,0.564377046,1,True,0.572032729,0.572032729
34,it2_S000,ro_8000,1,standalone,8000,config_075/vfpga_c075_0.bin,0.158660889,0.539582222,1,True,0.616960101,0.616960101
35,it2_S004,ro_12000,1,standalone,12000,config_079/vfpga_c079_0.bin,0.159184456,0.539712291,1,True,0.616719075,0.616719075
36,it2_S006,ro_14000,1,standalone,14000,config_081/vfpga_c081_0.bin,0.254279137,0.563229461,1,True,0.574068166,0.574068166
37,it2_S016,ro_9000,1,standalone,9000,config_091/vfpga_c091_0.bin,0.257749557,0.564083003,1,True,0.572553870,0.572553870
38,it2_S024,ro_17000,1,standalone,17000,config_099/vfpga_c099_0.bin,0.405159950,0.599926760,1,True,0.510947698,0.510947698
39,it2_S040,ro_18000,1,standalone,18000,config_115/vfpga_c115_0.bin,0.214529991,0.553427746,1,True,0.591624076,0.591624076
40,it2_S043,ro_21000,1,standalone,21000,config_118/vfpga_c118_0.bin,0.307780266,0.576343357,1,True,0.551051690,0.551051690
41,it2_S048,ro_11000,1,standalone,11000,config_123/vfpga_c123_0.bin,0.144482613,0.536057948,1,True,0.623513011,0.623513011
42,it2_S052,ro_15000,1,standalone,15000,config_127/vfpga_c127_0.bin,0.229933739,0.557231506,1,True,0.584774495,0.584774495
43,it2_S057,ro_20000,1,standalone,20000,config_132/vfpga_c132_0.bin,0.215831757,0.553749449,1,True,0.591042954,0.591042954
44,it2_S058,ro_21000,1,standalone,21000,config_133/vfpga_c133_0.bin,0.198987007,0.549583252,1,True,0.598595011,0.598595011
45,it2_S062,ro_10000,1,standalone,10000,config_137/vfpga_c137_0.bin,-0.168231964,0.458040923,0,False,0.780796748,0.780796748
46,it2_S070,ro_18000,1,standalone,18000,config_145/vfpga_c145_0.bin,0.079847336,0.519951235,1,True,0.654020251,0.654020251
