epoch,train_loss,val_bce_loss,val_log_loss,val_benign_log_loss,val_standalone_log_loss,val_brier_score,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_mcc,val_ece,val_roc_auc,val_pr_auc,val_optimal_threshold,val_optimal_accuracy,val_optimal_f1,val_benign_mean_score,val_standalone_mean_score,aug_val_bce_loss,aug_val_log_loss,aug_val_benign_log_loss,aug_val_standalone_log_loss,aug_val_brier_score,aug_val_accuracy,aug_val_balanced_accuracy,aug_val_precision,aug_val_recall,aug_val_f1,aug_val_mcc,aug_val_ece,aug_val_roc_auc,aug_val_pr_auc,aug_val_optimal_threshold,aug_val_optimal_accuracy,aug_val_optimal_f1,aug_val_benign_mean_score,aug_val_standalone_mean_score
1,0.8030873537063599,0.77358212580421,0.7735821169105197,0.3655810139616542,1.1815832198593854,0.2871439576850904,0.5,0.5,0.0,0.0,0.0,0.0,0.19349327062567076,0.548611111111111,0.5511680903805518,0.3048688769340515,0.5833333333333334,0.6551724137931034,0.30619534850120544,0.3068180978298187,0.7745039629933115,0.7745039517879997,0.3665267138883362,1.182481189687663,0.28753695577286037,0.5,0.5,0.0,0.0,0.0,0.0,0.20580121998985607,0.46874999999999994,0.4986076479294025,0.3015677034854889,0.5625,0.6956521739130435,0.3068518340587616,0.306539386510849
2,0.7512664794921875,0.7364668629340819,0.7364668660087511,0.43724465463354284,1.0356890773839595,0.27074526575361824,0.5,0.5,0.0,0.0,0.0,0.0,0.1454104483127594,0.5659722222222222,0.6007409433880022,0.3557748794555664,0.625,0.6086956521739131,0.3541788160800934,0.35500022768974304,0.7380094429259865,0.7380094405112644,0.4371847927183195,1.0388340883042095,0.27145224901511833,0.5,0.5,0.0,0.0,0.0,0.0,0.14598903059959412,0.48003472222222227,0.49391285356801523,0.35667070746421814,0.5208333333333334,0.3783783783783784,0.354140967130661,0.35388097167015076
3,0.7322933673858643,0.7229582491494395,0.7229582539795465,0.4741503230609643,0.9717661848981285,0.26446866336661445,0.5,0.5,0.0,0.0,0.0,0.0,0.12199652194976807,0.5833333333333334,0.6006997668903441,0.37937837839126587,0.5833333333333334,0.5454545454545454,0.3775818347930908,0.37842509150505066,0.7243607355536371,0.7243607353952838,0.4751393215062725,0.9735821492842952,0.26512950442973654,0.5,0.5,0.0,0.0,0.0,0.0,0.1220349371433258,0.40798611111111116,0.45044912635253115,0.3747906982898712,0.5208333333333334,0.6567164179104478,0.37819525599479675,0.3777347803115845
4,0.7230441570281982,0.7220169304719276,0.7220169326844813,0.47661157704818446,0.967422288320778,0.26402468718382427,0.5,0.5,0.0,0.0,0.0,0.0,0.12040731310844421,0.6111111111111112,0.6221605142941349,0.38029855489730835,0.625,0.625,0.37911257147789,0.38007280230522156,0.7233744528754205,0.7233744599702359,0.4771099040377919,0.9696390159026799,0.26466515207143176,0.5,0.5,0.0,0.0,0.0,0.0,0.12067568302154541,0.4678819444444444,0.4978772941545448,0.3757064640522003,0.5208333333333334,0.6666666666666666,0.3794201910495758,0.3792284429073334
5,0.7238295078277588,0.7220169304719276,0.7220169326844813,0.47661157704818446,0.967422288320778,0.26402468718382427,0.5,0.5,0.0,0.0,0.0,0.0,0.12040731310844421,0.6111111111111112,0.6221605142941349,0.38029855489730835,0.625,0.625,0.37911257147789,0.38007280230522156,0.7233744528754205,0.7233744599702359,0.4771099040377919,0.9696390159026799,0.26466515207143176,0.5,0.5,0.0,0.0,0.0,0.0,0.12067568302154541,0.4678819444444444,0.4978772941545448,0.3757064640522003,0.5208333333333334,0.6666666666666666,0.3794201910495758,0.3792284429073334
6,0.7202890515327454,0.7142379586219371,0.7142379470663264,0.5101324146389287,0.918343479493724,0.2603248515304601,0.5,0.5,0.0,0.0,0.0,0.0,0.100614994764328,0.48871527777777773,0.5208359718617961,0.4016878008842468,0.5625,0.43243243243243246,0.3995795249938965,0.3991905450820923,0.7136584671957248,0.7136584607405654,0.5089732824382158,0.918343639042915,0.26004772640116425,0.5,0.5,0.0,0.0,0.0,0.0,0.1009652428328991,0.513888888888889,0.53678585500394,0.4007493555545807,0.5416666666666666,0.47619047619047616,0.3988790214061737,0.3991905748844147
7,0.7050063014030457,0.6990938862496326,0.6990938898983163,0.5875874938481384,0.8106002859484942,0.2529547473019313,0.5,0.5,0.0,0.0,0.0,0.0,0.05553296208381653,0.5373263888888888,0.5855929995571232,0.4484262764453888,0.5833333333333334,0.375,0.44432565569877625,0.4446084499359131,0.698214438972672,0.6982144422383586,0.5880961086494887,0.8083327758272287,0.2525210412069201,0.5,0.5,0.0,0.0,0.0,0.0,0.05489024519920349,0.5651041666666666,0.6051756146868033,0.4445647597312927,0.6041666666666666,0.6415094339622641,0.4446072578430176,0.4456122815608978
8,0.7005573511123657,0.699165825812135,0.6991658264566482,0.5880937625264773,0.8102378903868191,0.2529903141328812,0.5,0.5,0.0,0.0,0.0,0.0,0.055312007665634155,0.5295138888888888,0.5485041275133553,0.4484262764453888,0.5625,0.36363636363636365,0.4446069300174713,0.4447690546512604,0.6981591281750884,0.6981591303883675,0.5885275869990892,0.8077906737776458,0.2524935764425585,0.5,0.5,0.0,0.0,0.0,0.0,0.0546492338180542,0.5633680555555556,0.6066505104811556,0.4445647597312927,0.6041666666666666,0.6545454545454545,0.44484806060791016,0.44585347175598145
9,0.7007325887680054,0.6992485846216515,0.6992485941869296,0.5806637546083423,0.817833433765517,0.25303217708501424,0.5,0.5,0.0,0.0,0.0,0.0,0.0590682327747345,0.6258680555555556,0.6411440451042163,0.44167301058769226,0.625,0.6086956521739131,0.4404700994491577,0.4413934648036957,0.6993896829918441,0.6993896900537534,0.5820298395971613,0.8167495405103455,0.25310135890163465,0.5,0.5,0.0,0.0,0.0,0.0,0.05844572186470032,0.5598958333333334,0.605643392143286,0.44263648986816406,0.6041666666666666,0.5581395348837209,0.44123268127441406,0.4418758451938629
10,0.7002776861190796,0.6985043015782395,0.6985043053196662,0.8057953817927569,0.5912132288465756,0.2526648148508363,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.05346357822418213,0.5616319444444444,0.6041850643206376,0.5535053014755249,0.5833333333333334,0.6,0.5532630681991577,0.5536640286445618,0.6983006312674327,0.6983006307521986,0.801144912486018,0.5954563490183792,0.25256353012132665,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.051248133182525635,0.515625,0.5519184423596187,0.5573635101318359,0.5416666666666666,0.21428571428571427,0.5511679649353027,0.5513283014297485
