sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-0.080078125,0.479991160,0,True,0.653909467,0.653909467
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-0.076171875,0.480966233,0,True,0.655786337,0.655786337
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.208984375,0.447943231,0,True,0.594104396,0.594104396
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.011718750,0.497070346,0,True,0.687304972,0.687304972
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-0.001953125,0.499511719,0,True,0.692171095,0.692171095
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-0.105468750,0.473657227,0,True,0.641802619,0.641802619
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-0.117187500,0.470736607,0,True,0.636269063,0.636269063
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,0.033203125,0.508300019,1,False,0.709886543,0.709886543
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,-0.162109375,0.459561177,0,True,0.615373834,0.615373834
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,-0.146484375,0.463444250,0,True,0.622584807,0.622584807
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-0.199218750,0.450359383,0,True,0.598490637,0.598490637
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-0.128906250,0.467817989,0,True,0.630769722,0.630769722
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,0.015625000,0.503906171,1,False,0.700990198,0.700990198
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.015625000,0.496093829,0,True,0.685365198,0.685365198
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.064453125,0.483892295,0,True,0.661439804,0.661439804
15,it2_B014,euclidean_nodbg,0,benign,0,config_014/vfpga_c014_0.bin,-0.001953125,0.499511719,0,True,0.692171095,0.692171095
16,it2_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,0.021484375,0.505370887,1,False,0.703947064,0.703947064
17,it2_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-0.197265625,0.450842898,0,True,0.599370717,0.599370717
18,it2_B037,cosine,0,benign,0,config_037/vfpga_c037_0.bin,-0.121093750,0.469763502,0,True,0.634432149,0.634432149
19,it2_B058,multithreading_aes_nodbg,0,benign,0,config_058/vfpga_c058_0.bin,-0.097656250,0.475605322,0,True,0.645510675,0.645510675
20,it2_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.113281250,0.471709934,0,True,0.638109779,0.638109779
21,it2_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.033203125,0.491699981,0,True,0.676683418,0.676683418
22,it2_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-0.039062500,0.490235617,0,True,0.673806653,0.673806653
23,it2_B071,user_interrupts_nodbg,0,benign,0,config_071/vfpga_c071_0.bin,-0.101562500,0.474631178,0,True,0.643654744,0.643654744
24,it1_S006,ro_8192,1,standalone,8192,config_081/vfpga_c081_0.bin,0.056640625,0.514156372,1,True,0.665227835,0.665227835
25,it1_S011,ro_18000,1,standalone,18000,config_086/vfpga_c086_0.bin,-0.109375000,0.472683477,0,False,0.749329297,0.749329297
26,it1_S023,ro_12000,1,standalone,12000,config_098/vfpga_c098_0.bin,-0.113281250,0.471709934,0,False,0.751391029,0.751391029
27,it1_S024,ro_14000,1,standalone,14000,config_099/vfpga_c099_0.bin,0.060546875,0.515132096,1,True,0.663331914,0.663331914
28,it1_S038,ro_12000,1,standalone,12000,config_113/vfpga_c113_0.bin,0.054687500,0.513668469,1,True,0.666177224,0.666177224
