sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,0.012817383,0.503204302,1,False,0.699576407,0.699576407
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,-1.024780273,0.264097308,0,True,0.306657381,0.306657381
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,-0.627075195,0.348174024,0,True,0.427977660,0.427977660
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,0.223632812,0.555676358,1,False,0.811202058,0.811202058
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-1.202758789,0.230984807,0,True,0.262644553,0.262644553
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,0.313476562,0.577733623,1,False,0.862118939,0.862118939
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,-0.113403320,0.471679514,0,True,0.638052199,0.638052199
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-0.671386719,0.338186401,0,True,0.412771335,0.412771335
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-0.015991211,0.496002282,0,True,0.685183540,0.685183540
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-0.356323242,0.411849896,0,True,0.530773084,0.530773084
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,0.212158203,0.552841495,1,False,0.804842149,0.804842149
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,0.651367188,0.657318489,1,False,1.070953803,1.070953803
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-0.371459961,0.408188291,0,True,0.524566753,0.524566753
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.530761719,0.629660753,1,False,0.993335810,0.993335810
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-0.217163086,0.445921589,0,True,0.590449066,0.590449066
15,it2_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,0.059936523,0.514979647,1,False,0.723564423,0.723564423
16,it2_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,0.076660156,0.519155659,1,False,0.732211676,0.732211676
17,it2_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-0.677734375,0.336767154,0,True,0.410629150,0.410629150
18,it2_B057,perf_fpga_nodbg,0,benign,0,config_057/vfpga_c057_0.bin,-0.306518555,0.423964747,0,True,0.551586417,0.551586417
19,it2_B059,euclidean_nodbg,0,benign,0,config_059/vfpga_c059_0.bin,-0.021606445,0.494598599,0,True,0.682402312,0.682402312
20,it2_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-1.007812500,0.267408166,0,True,0.311166576,0.311166576
21,it2_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-1.282958984,0.217046960,0,True,0.244682559,0.244682559
22,it2_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-0.606201172,0.352926248,0,True,0.435295001,0.435295001
23,it1_S012,ro_19000,1,standalone,19000,config_087/vfpga_c087_0.bin,1.669799805,0.841549128,1,True,0.172510885,0.172510885
24,it1_S022,ro_10000,1,standalone,10000,config_097/vfpga_c097_0.bin,0.154296875,0.538497871,1,True,0.618971736,0.618971736
25,it1_S025,ro_16000,1,standalone,16000,config_100/vfpga_c100_0.bin,1.068603516,0.744331252,1,True,0.295269111,0.295269111
26,it1_S028,ro_20000,1,standalone,20000,config_103/vfpga_c103_0.bin,0.873168945,0.705404661,1,True,0.348983653,0.348983653
27,it1_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,1.213012695,0.770831577,1,True,0.260285377,0.260285377
28,it1_S042,ro_19000,1,standalone,19000,config_117/vfpga_c117_0.bin,1.437744141,0.808105076,1,True,0.213063185,0.213063185
29,it1_S052,ro_10000,1,standalone,10000,config_127/vfpga_c127_0.bin,0.629272461,0.652324477,1,True,0.427213177,0.427213177
30,it1_S056,ro_18000,1,standalone,18000,config_131/vfpga_c131_0.bin,1.114257812,0.752922047,1,True,0.283793580,0.283793580
31,it1_S058,ro_20000,1,standalone,20000,config_133/vfpga_c133_0.bin,0.610595703,0.648076678,1,True,0.433746259,0.433746259
32,it1_S071,ro_18000,1,standalone,18000,config_146/vfpga_c146_0.bin,1.114746094,0.753012871,1,True,0.283672959,0.283672959
33,it2_S002,ro_10000,1,standalone,10000,config_077/vfpga_c077_0.bin,0.833007812,0.696990540,1,True,0.360983441,0.360983441
34,it2_S003,ro_11000,1,standalone,11000,config_078/vfpga_c078_0.bin,0.656250000,0.658417501,1,True,0.417916050,0.417916050
35,it2_S005,ro_13000,1,standalone,13000,config_080/vfpga_c080_0.bin,1.028076172,0.736542752,1,True,0.305787998,0.305787998
36,it2_S007,ro_15000,1,standalone,15000,config_082/vfpga_c082_0.bin,1.145141602,0.758622392,1,True,0.276251132,0.276251132
37,it2_S017,ro_10000,1,standalone,10000,config_092/vfpga_c092_0.bin,0.294799805,0.573170796,1,True,0.556571533,0.556571533
38,it2_S018,ro_11000,1,standalone,11000,config_093/vfpga_c093_0.bin,1.004028320,0.731849857,1,True,0.312179900,0.312179900
39,it2_S019,ro_12000,1,standalone,12000,config_094/vfpga_c094_0.bin,0.576538086,0.640270432,1,True,0.445864643,0.445864643
40,it2_S022,ro_15000,1,standalone,15000,config_097/vfpga_c097_0.bin,1.089721680,0.748329308,1,True,0.289912146,0.289912146
41,it2_S026,ro_19000,1,standalone,19000,config_101/vfpga_c101_0.bin,1.463745117,0.812104812,1,True,0.208125868,0.208125868
42,it2_S034,ro_12000,1,standalone,12000,config_109/vfpga_c109_0.bin,0.604736328,0.646739154,1,True,0.435812227,0.435812227
43,it2_S035,ro_13000,1,standalone,13000,config_110/vfpga_c110_0.bin,0.607299805,0.647324605,1,True,0.434907402,0.434907402
44,it2_S054,ro_17000,1,standalone,17000,config_129/vfpga_c129_0.bin,0.849731445,0.700510804,1,True,0.355945490,0.355945490
45,it2_S060,ro_8000,1,standalone,8000,config_135/vfpga_c135_0.bin,-0.136840820,0.465843078,0,False,0.763906443,0.763906443
46,it2_S074,ro_22000,1,standalone,22000,config_149/vfpga_c149_0.bin,1.533813477,0.822563586,1,True,0.195329491,0.195329491
