sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.112152100,0.528008673,1,False,0.750794669,0.750794669
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-1.005157471,0.267928610,0,True,0.311877243,0.311877243
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.536590576,0.368981057,0,True,0.460419396,0.460419396
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-1.412933350,0.195771802,0,True,0.217872222,0.217872222
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-1.442687988,0.191129443,0,True,0.212116379,0.212116379
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-0.631874084,0.347085716,0,True,0.426309424,0.426309424
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-0.564086914,0.362602355,0,True,0.450361572,0.450361572
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-0.127822876,0.468087720,0,True,0.631276690,0.631276690
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,-0.788681030,0.312451948,0,True,0.374623558,0.374623558
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,-0.108535767,0.472892664,0,True,0.640351077,0.640351077
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-1.196083069,0.232172750,0,True,0.264190505,0.264190505
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-0.441352844,0.391418661,0,True,0.496624704,0.496624704
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.616302490,0.350622859,0,True,0.431741620,0.431741620
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.617225647,0.350412697,0,True,0.431418037,0.431418037
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.498382568,0.377920846,0,True,0.474687938,0.474687938
15,it2_B014,euclidean_nodbg,0,benign,0,config_014/vfpga_c014_0.bin,-0.727287292,0.325790294,0,True,0.394214081,0.394214081
16,it2_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,0.052886963,0.513218660,1,False,0.719940250,0.719940250
17,it2_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-1.288299561,0.216140767,0,True,0.243525824,0.243525824
18,it2_B037,cosine,0,benign,0,config_037/vfpga_c037_0.bin,-0.268089294,0.433376230,0,True,0.568059741,0.568059741
19,it2_B058,multithreading_aes_nodbg,0,benign,0,config_058/vfpga_c058_0.bin,-0.589286804,0.356798511,0,True,0.441297247,0.441297247
20,it2_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.870635986,0.295121984,0,True,0.349730518,0.349730518
21,it2_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.550521851,0.365743344,0,True,0.455301586,0.455301586
22,it2_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-0.173530579,0.456725893,0,True,0.610141286,0.610141286
23,it2_B071,user_interrupts_nodbg,0,benign,0,config_071/vfpga_c071_0.bin,-1.833908081,0.137773367,0,True,0.148237128,0.148237128
24,it1_S006,ro_8192,1,standalone,8192,config_081/vfpga_c081_0.bin,-0.035224915,0.491194682,0,False,0.710914729,0.710914729
25,it1_S011,ro_18000,1,standalone,18000,config_086/vfpga_c086_0.bin,0.842773438,0.699049012,1,True,0.358034421,0.358034421
26,it1_S023,ro_12000,1,standalone,12000,config_098/vfpga_c098_0.bin,-0.024116516,0.493971163,0,False,0.705278138,0.705278138
27,it1_S024,ro_14000,1,standalone,14000,config_099/vfpga_c099_0.bin,0.174919128,0.543618623,1,True,0.609507338,0.609507338
28,it1_S038,ro_12000,1,standalone,12000,config_113/vfpga_c113_0.bin,0.640800476,0.654934387,1,True,0.423220221,0.423220221
29,it1_S054,ro_14000,1,standalone,14000,config_129/vfpga_c129_0.bin,0.534141541,0.630448541,1,True,0.461323742,0.461323742
30,it1_S067,ro_10000,1,standalone,10000,config_142/vfpga_c142_0.bin,0.071777344,0.517936636,1,True,0.657902369,0.657902369
31,it1_S068,ro_12000,1,standalone,12000,config_143/vfpga_c143_0.bin,0.366821289,0.590690667,1,True,0.526462805,0.526462805
32,it1_S072,ro_19000,1,standalone,19000,config_147/vfpga_c147_0.bin,1.223999023,0.772766537,1,True,0.257778297,0.257778297
33,it1_S073,ro_20000,1,standalone,20000,config_148/vfpga_c148_0.bin,1.194633484,0.767568735,1,True,0.264527247,0.264527247
34,it2_S000,ro_8000,1,standalone,8000,config_075/vfpga_c075_0.bin,0.436775208,0.607490360,1,True,0.498418973,0.498418973
35,it2_S004,ro_12000,1,standalone,12000,config_079/vfpga_c079_0.bin,0.587242126,0.642732112,1,True,0.442027264,0.442027264
36,it2_S006,ro_14000,1,standalone,14000,config_081/vfpga_c081_0.bin,0.921089172,0.715263980,1,True,0.335103602,0.335103602
37,it2_S016,ro_9000,1,standalone,9000,config_091/vfpga_c091_0.bin,0.963630676,0.723848138,1,True,0.323173663,0.323173663
38,it2_S024,ro_17000,1,standalone,17000,config_099/vfpga_c099_0.bin,1.583343506,0.829677519,1,True,0.186718185,0.186718185
39,it2_S040,ro_18000,1,standalone,18000,config_115/vfpga_c115_0.bin,0.424774170,0.604625100,1,True,0.503146682,0.503146682
40,it2_S043,ro_21000,1,standalone,21000,config_118/vfpga_c118_0.bin,0.841369629,0.698753597,1,True,0.358457106,0.358457106
41,it2_S048,ro_11000,1,standalone,11000,config_123/vfpga_c123_0.bin,0.593765259,0.644228604,1,True,0.439701641,0.439701641
42,it2_S052,ro_15000,1,standalone,15000,config_127/vfpga_c127_0.bin,0.878898621,0.706593936,1,True,0.347299126,0.347299126
43,it2_S057,ro_20000,1,standalone,20000,config_132/vfpga_c132_0.bin,0.981140137,0.727334386,1,True,0.318368954,0.318368954
44,it2_S058,ro_21000,1,standalone,21000,config_133/vfpga_c133_0.bin,0.980735779,0.727254187,1,True,0.318479225,0.318479225
45,it2_S062,ro_10000,1,standalone,10000,config_137/vfpga_c137_0.bin,-0.654609680,0.341951510,0,False,1.073086337,1.073086337
46,it2_S070,ro_18000,1,standalone,18000,config_145/vfpga_c145_0.bin,0.515586853,0.626115247,1,True,0.468220824,0.468220824
