sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.310791016,0.577078327,1,False,0.860568288,0.860568288
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-0.863182068,0.296674949,0,True,0.351936118,0.351936118
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.782417297,0.313799137,0,True,0.376584891,0.376584891
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-1.673103333,0.158010863,0,True,0.171988166,0.171988166
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-1.442687988,0.191129443,0,True,0.212116379,0.212116379
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-0.581520081,0.358582898,0,True,0.444075329,0.444075329
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-0.326309204,0.419138921,0,True,0.543243657,0.543243657
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-0.566215515,0.362110533,0,True,0.449590259,0.449590259
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,-0.730651855,0.325051699,0,True,0.393119181,0.393119181
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,-0.347724915,0.413934232,0,True,0.534323263,0.534323263
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-1.063827515,0.256578691,0,True,0.296492358,0.296492358
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-0.162269592,0.459521385,0,True,0.615300207,0.615300207
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.616302490,0.350622859,0,True,0.431741620,0.431741620
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.617225647,0.350412697,0,True,0.431418037,0.431418037
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.326950073,0.418982902,0,True,0.542975094,0.542975094
15,it2_B014,euclidean_nodbg,0,benign,0,config_014/vfpga_c014_0.bin,-0.451057434,0.389109381,0,True,0.492837356,0.492837356
16,it2_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,0.052886963,0.513218660,1,False,0.719940250,0.719940250
17,it2_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-0.722557068,0.326830148,0,True,0.395757601,0.395757601
18,it2_B037,cosine,0,benign,0,config_037/vfpga_c037_0.bin,0.090141296,0.522520077,1,False,0.739233167,0.739233167
19,it2_B058,multithreading_aes_nodbg,0,benign,0,config_058/vfpga_c058_0.bin,-0.507583618,0.375760152,0,True,0.471220613,0.471220613
20,it2_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-1.211326599,0.229466409,0,True,0.260672028,0.260672028
21,it2_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.489486694,0.380014497,0,True,0.478059183,0.478059183
22,it2_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,0.137077332,0.534215773,1,False,0.764032784,0.764032784
23,it2_B071,user_interrupts_nodbg,0,benign,0,config_071/vfpga_c071_0.bin,-1.833908081,0.137773367,0,True,0.148237128,0.148237128
24,it1_S006,ro_8192,1,standalone,8192,config_081/vfpga_c081_0.bin,-0.035224915,0.491194682,0,False,0.710914729,0.710914729
25,it1_S011,ro_18000,1,standalone,18000,config_086/vfpga_c086_0.bin,1.109085083,0.751958503,1,True,0.285074138,0.285074138
26,it1_S023,ro_12000,1,standalone,12000,config_098/vfpga_c098_0.bin,-0.044403076,0.488901054,0,False,0.715595153,0.715595153
27,it1_S024,ro_14000,1,standalone,14000,config_099/vfpga_c099_0.bin,0.569961548,0.638754302,1,True,0.448235402,0.448235402
28,it1_S038,ro_12000,1,standalone,12000,config_113/vfpga_c113_0.bin,0.640800476,0.654934387,1,True,0.423220221,0.423220221
29,it1_S054,ro_14000,1,standalone,14000,config_129/vfpga_c129_0.bin,0.872657776,0.705298425,1,True,0.349134268,0.349134268
30,it1_S067,ro_10000,1,standalone,10000,config_142/vfpga_c142_0.bin,0.085113525,0.521265545,1,True,0.651495684,0.651495684
31,it1_S068,ro_12000,1,standalone,12000,config_143/vfpga_c143_0.bin,0.754005432,0.680050836,1,True,0.385587725,0.385587725
32,it1_S072,ro_19000,1,standalone,19000,config_147/vfpga_c147_0.bin,1.544487000,0.824116056,1,True,0.193443914,0.193443914
33,it1_S073,ro_20000,1,standalone,20000,config_148/vfpga_c148_0.bin,1.194633484,0.767568735,1,True,0.264527247,0.264527247
34,it2_S000,ro_8000,1,standalone,8000,config_075/vfpga_c075_0.bin,0.385185242,0.595123109,1,True,0.518986989,0.518986989
35,it2_S004,ro_12000,1,standalone,12000,config_079/vfpga_c079_0.bin,0.748901367,0.678939265,1,True,0.387223602,0.387223602
